 Date,OpenInterest,ProducerLong,ProducerShort,SwapDealersLong,SwapDealersShort,SwapDealersSpreading,ManagedMoneyLong,ManagedMoneyShort,ManagedMoneySpreading,OtherLong,OtherShort,OtherSpreading
20150106,1257693,267056,646591,267364,23932,38660,298017,77016,84565,130201,80752,68858
20150113,1274564,291491,621996,253931,26131,47663,285056,90374,85240,135272,86191,76353
20150120,1301166,307607,616591,250656,28141,53729,278775,93627,90248,137590,92659,83361
20150127,1304935,310369,595069,246800,28800,57643,256503,104088,98307,137951,74310,96831
20150203,1350370,325217,585205,252442,30983,62284,247007,150657,106024,149077,69595,100292
20150210,1358550,343199,595982,252490,32694,61483,226517,136248,107346,150319,74516,105343
20150217,1362156,344450,587802,255232,33309,67307,221154,141171,108905,143864,73768,109406
20150224,1294525,289376,558025,255758,29893,54483,217942,155056,100969,163372,62447,99534
20150303,1249063,266881,529375,256502,25269,55677,202746,168345,92518,176737,63388,93544
20150310,1245440,280990,517009,247759,25148,60727,198001,183135,87945,178791,64680,87723
20150317,1330967,323245,492007,241778,26909,64569,186082,249140,98660,200405,74467,106034
20150324,1333440,304367,523643,250075,26169,64721,193574,214501,113447,189710,72397,105323
20150331,1349885,315661,534360,246746,30117,75430,183238,189200,121776,182906,72570,113392
20150407,1358349,316927,520624,245803,28878,72287,178587,183058,127207,169953,75587,136268
20150414,1407876,346537,512262,241288,27809,65666,168163,231301,140792,195227,86064,127028
20150421,1369994,338715,484224,240899,26674,66263,157185,236922,122941,199563,92513,125026
20150428,1319827,295970,418860,236220,18955,66354,170718,282710,113784,197430,85063,117845
20150505,1325963,314222,416244,238800,16445,68002,185576,321767,103849,195492,89733,100920
20150512,1340706,314244,432176,246506,15191,70421,200466,336426,94343,197815,93007,94503
20150519,1399666,332402,439276,255253,14786,76771,213084,368463,98618,195848,93507,105326
20150526,1434318,340399,444660,258798,15868,77886,220551,378957,93586,204404,100447,111621
20150602,1454337,342691,450926,261864,14997,84128,223453,381446,104088,198869,104823,107251
20150609,1459091,331407,466944,262189,14863,84286,226214,338468,111215,187459,100445,125974
20150616,1456360,343242,451806,259323,8857,81408,219318,370585,115040,188850,102961,116181
20150623,1427005,328206,473804,269658,8611,77504,212334,335302,107471,172161,95506,125724
20150630,1308355,268038,535918,272238,18773,57768,256745,216415,99033,152459,82220,86236
