date open high low close volume
2016-01-04 3615 3645 3571 3603 120894
2016-01-05 3602 3624 3596 3614 89338
2016-01-06 3615 3620 3578 3596 139100
2016-01-07 3588 3630 3587 3596 106460
2016-01-08 3594 3620 3590 3607 105130
2016-01-11 3610 3616 3562 3578 145006
2016-01-12 3573 3589 3571 3582 72774
2016-01-13 3584 3619 3579 3613 174728
2016-01-14 3609 3611 3583 3590 104958
2016-01-15 3595 3600 3579 3590 66458
2016-01-18 3580 3614 3576 3601 110376
2016-01-19 3605 3644 3589 3636 132664
2016-01-20 3632 3648 3593 3603 109970
2016-01-21 3613 3613 3570 3591 126210
2016-01-22 3593 3612 3586 3607 88044
2016-01-25 3610 3618 3576 3582 99894
2016-01-26 3581 3583 3541 3554 190252
2016-01-27 3556 3574 3534 3564 137268
2016-01-28 3570 3570 3523 3529 139930
2016-01-29 3528 3534 3507 3516 121634
2016-02-01 3515 3533 3512 3517 59240
2016-02-02 3515 3515 3484 3508 91506
2016-02-03 3508 3528 3504 3516 78004
2016-02-04 3515 3516 3471 3487 122216
2016-02-05 3486 3491 3453 3479 104962
2016-02-15 3465 3487 3426 3453 75086
2016-02-16 3456 3474 3450 3462 74264
2016-02-17 3461 3483 3454 3480 86988
2016-02-18 3478 3488 3471 3481 65616
2016-02-19 3480 3500 3474 3491 75744
2016-02-22 3493 3557 3487 3542 128196
2016-02-23 3540 3552 3508 3538 77424
2016-02-24 3535 3542 3504 3518 75512
2016-02-25 3518 3526 3502 3508 70366
2016-02-26 3508 3548 3508 3531 114558
2016-02-29 3528 3541 3463 3510 127406
2016-03-01 3506 3534 3506 3527 70380
2016-03-02 3523 3568 3506 3548 127890
2016-03-03 3545 3638 3542 3624 210756
2016-03-04 3624 3645 3606 3639 136004
2016-03-07 3638 3688 3583 3601 198926
2016-03-08 3605 3636 3579 3592 111296
2016-03-09 3493 3506 3462 3471 94680
2016-03-10 3492 3492 3460 3470 67600
2016-03-11 3474 3474 3432 3451 61028
2016-03-14 3455 3469 3437 3444 64536
2016-03-15 3442 3455 3397 3402 135894
2016-03-16 3402 3411 3360 3376 143460
2016-03-17 3379 3397 3368 3390 131850
2016-03-18 3400 3470 3393 3441 213280
2016-03-21 3440 3454 3407 3422 106310
2016-03-22 3427 3506 3423 3491 211886
2016-03-23 3488 3540 3475 3480 229932
2016-03-24 3473 3512 3444 3470 232162
2016-03-25 3465 3529 3449 3513 217458
2016-03-28 3515 3532 3475 3478 207304
2016-03-29 3480 3494 3452 3456 172644
2016-03-30 3465 3489 3457 3475 163620
2016-03-31 3475 3483 3429 3447 160736
2016-04-01 3452 3452 3373 3379 275376
2016-04-06 3370 3370 3316 3322 301268
2016-04-07 3315 3340 3310 3322 172132
2016-04-08 3322 3335 3312 3318 168082
2016-04-11 3322 3367 3316 3339 229192
2016-04-12 3340 3374 3338 3369 182198
2016-04-13 3372 3448 3370 3416 364814
2016-04-14 3410 3479 3410 3444 286900
2016-04-15 3443 3464 3421 3422 216066
2016-04-18 3418 3498 3408 3476 315794
2016-04-19 3481 3510 3466 3483 303814
2016-04-20 3498 3625 3490 3611 687638
2016-04-21 3610 3723 3583 3723 358134
2016-04-22 3796 3869 3601 3681 1299000
2016-04-25 3695 3855 3660 3702 1019412
2016-04-26 3701 3765 3672 3707 561860
2016-04-27 3723 3743 3664 3683 447228
2016-04-28 3687 3695 3574 3600 476878
2016-04-29 3602 3657 3581 3586 341034
2016-05-03 3620 3708 3595 3704 314320
2016-05-04 3691 3731 3616 3631 350268
2016-05-05 3631 3655 3597 3610 266052
2016-05-06 3636 3645 3500 3520 382470
2016-05-09 3521 3579 3493 3530 420272
2016-05-10 3521 3536 3462 3508 296648
2016-05-11 3514 3667 3506 3667 553812
2016-05-12 3660 3723 3607 3645 781138
2016-05-13 3645 3676 3530 3567 561366
2016-05-16 3568 3642 3545 3614 372828
2016-05-17 3610 3678 3609 3676 337004
2016-05-18 3680 3780 3658 3689 560494
2016-05-19 3691 3753 3652 3742 639040
2016-05-20 3722 3734 3680 3721 346946
2016-05-23 3753 3770 3640 3653 388680
2016-05-24 3654 3664 3518 3537 441674
2016-05-25 3538 3588 3512 3569 302886
2016-05-26 3575 3669 3575 3661 345342
2016-05-27 3671 3693 3605 3661 313538
2016-05-30 3655 3755 3646 3720 324160
2016-05-31 3670 3763 3620 3717 460928
2016-06-01 3740 3808 3668 3713 663104
2016-06-02 3720 3806 3691 3766 448598
2016-06-03 3773 3837 3762 3833 439744
2016-06-06 3855 3865 3783 3830 344744
2016-06-07 3839 3849 3798 3831 322764
2016-06-08 3821 3840 3770 3826 343748
2016-06-13 3898 3992 3898 3944 290542
2016-06-14 3950 3971 3844 3879 344664
2016-06-15 3892 3905 3834 3868 263608
2016-06-16 3884 3907 3798 3813 276188
2016-06-17 3817 3849 3767 3848 213086
2016-06-20 3860 3875 3803 3847 194354
2016-06-21 3837 3892 3818 3849 201912
2016-06-22 3830 3867 3799 3867 147472
2016-06-23 3845 3900 3834 3845 200578
2016-06-24 3844 3896 3812 3814 233250
2016-06-27 3801 3919 3780 3903 200862
2016-06-28 3893 4009 3889 3986 278490
2016-06-29 4015 4015 3917 3932 223488
2016-06-30 3921 3968 3921 3940 159498
2016-07-01 3930 4026 3896 3924 257486
2016-07-04 3915 3968 3892 3908 294098
2016-07-05 3906 3927 3811 3859 258164
2016-07-06 3865 3888 3747 3768 246476
2016-07-07 3741 3826 3706 3733 196930
2016-07-08 3764 3792 3704 3741 208378
2016-07-11 3763 3840 3738 3780 161750
2016-07-12 3794 3803 3724 3754 184980
2016-07-13 3750 3861 3745 3841 198350
2016-07-14 3930 3930 3861 3912 75262
2016-07-15 3924 3932 3819 3850 83684
2016-07-18 3831 3865 3795 3807 75192
2016-07-19 3799 3849 3790 3830 71326
2016-07-20 3822 3834 3738 3780 117224
2016-07-21 3770 3784 3715 3732 153778
2016-07-22 3733 3739 3636 3652 199400
2016-07-25 3640 3658 3588 3634 166226
2016-07-26 3630 3651 3610 3641 117510
2016-07-27 3630 3665 3612 3635 119302
2016-07-28 3655 3670 3612 3635 134232
2016-07-29 3627 3642 3563 3595 151404
2016-08-01 3595 3665 3584 3634 142132
2016-08-02 3622 3645 3573 3612 134598
2016-08-03 3618 3627 3587 3611 96754
2016-08-04 3622 3630 3576 3626 122192
2016-08-05 3631 3669 3612 3651 138114
2016-08-08 3644 3694 3637 3659 150202
2016-08-09 3670 3685 3640 3676 114350
2016-08-10 3665 3740 3661 3731 151110
2016-08-11 3738 3745 3702 3724 103716
2016-08-12 3730 3751 3718 3749 87606
2016-08-15 3760 3810 3706 3802 190556
2016-08-16 3809 3824 3792 3820 103218
2016-08-17 3820 3904 3790 3887 212716
2016-08-18 3892 3915 3860 3875 172886
2016-08-19 3869 3882 3797 3826 194022
2016-08-22 3819 3885 3806 3828 172724
2016-08-23 3811 3854 3786 3788 110664
2016-08-24 3800 3806 3756 3777 161210
2016-08-25 3770 3799 3738 3786 151826
2016-08-26 3771 3787 3725 3744 133044
2016-08-29 3755 3780 3741 3759 102454
2016-08-30 3751 3789 3736 3757 108424
2016-08-31 3751 3768 3665 3676 182338
2016-09-01 3668 3688 3646 3657 131188
2016-09-02 3661 3689 3621 3626 166654
2016-09-05 3636 3640 3567 3585 211072
2016-09-06 3585 3605 3576 3596 106576
2016-09-07 3593 3640 3578 3630 156224
2016-09-08 3633 3650 3619 3628 132486
2016-09-09 3630 3642 3607 3632 121884
2016-09-12 3629 3667 3601 3644 210022
2016-09-13 3652 3674 3626 3645 136402
2016-09-14 3635 3679 3606 3675 170630
2016-09-19 3735 3807 3711 3797 191562
2016-09-20 3804 3818 3785 3807 169442
2016-09-21 3803 3830 3750 3766 197704
2016-09-22 3768 3797 3746 3772 151998
2016-09-23 3784 3794 3732 3748 131854
2016-09-26 3740 3773 3724 3752 136002
2016-09-27 3760 3760 3680 3689 159734
2016-09-28 3690 3698 3660 3665 127544
2016-09-29 3662 3710 3650 3687 117828
2016-09-30 3687 3749 3672 3749 160590
2016-10-10 3790 3790 3703 3752 102068
2016-10-11 3743 3758 3700 3712 161404
2016-10-12 3703 3728 3624 3633 216388
2016-10-13 3638 3648 3612 3624 193316
2016-10-14 3627 3673 3625 3660 146228
2016-10-17 3660 3706 3643 3681 197892
2016-10-18 3689 3702 3659 3675 147364
2016-10-19 3666 3683 3640 3674 205292
2016-10-20 3670 3743 3669 3742 283028
2016-10-21 3740 3779 3695 3761 253220
2016-10-24 3761 3816 3741 3805 220844
2016-10-25 3812 3850 3751 3762 235956
2016-10-26 3761 3890 3731 3876 369214
2016-10-27 3870 3918 3838 3865 352974
2016-10-28 3860 3886 3836 3851 188714
