date open high low close volume
2016-01-04 3302 3312 3250 3305 310492
2016-01-05 3303 3330 3294 3313 574222
2016-01-06 3315 3321 3296 3314 409052
2016-01-07 3320 3385 3308 3357 976372
2016-01-08 3360 3390 3345 3356 759474
2016-01-11 3343 3362 3322 3349 566072
2016-01-12 3343 3350 3280 3288 492728
2016-01-13 3283 3288 3262 3274 330408
2016-01-14 3275 3325 3270 3312 643000
2016-01-15 3296 3309 3284 3294 416502
2016-01-18 3296 3323 3296 3301 534562
2016-01-19 3305 3321 3299 3317 295732
2016-01-20 3317 3334 3311 3315 434388
2016-01-21 3338 3340 3322 3331 399366
2016-01-22 3319 3330 3301 3323 458828
2016-01-25 3327 3354 3314 3323 585878
2016-01-26 3331 3361 3326 3360 518926
2016-01-27 3356 3378 3346 3365 544132
2016-01-28 3361 3374 3347 3352 358048
2016-01-29 3347 3357 3329 3333 392284
2016-02-01 3329 3348 3322 3343 333956
2016-02-02 3345 3356 3329 3338 304078
2016-02-03 3337 3353 3329 3341 315100
2016-02-04 3350 3394 3335 3388 737350
2016-02-05 3399 3422 3386 3389 474598
2016-02-15 3480 3500 3456 3470 389252
2016-02-16 3464 3474 3442 3463 356966
2016-02-17 3470 3473 3449 3466 300972
2016-02-18 3465 3472 3455 3455 250364
2016-02-19 3455 3478 3452 3472 288542
2016-02-22 3476 3484 3443 3446 406224
2016-02-23 3425 3452 3424 3444 313294
2016-02-24 3444 3455 3438 3441 273304
2016-02-25 3451 3478 3428 3433 675372
2016-02-26 3430 3432 3392 3408 523638
2016-02-29 3409 3409 3304 3312 776704
2016-03-01 3321 3355 3307 3346 468556
2016-03-02 3353 3359 3313 3330 488806
2016-03-03 3334 3364 3328 3347 486506
2016-03-04 3350 3434 3339 3426 779882
2016-03-07 3425 3516 3384 3481 1664662
2016-03-08 3497 3550 3426 3450 1323092
2016-03-09 3459 3466 3366 3396 793226
2016-03-10 3400 3420 3380 3391 579998
2016-03-11 3389 3475 3372 3434 997188
2016-03-14 3429 3448 3413 3433 559172
2016-03-15 3446 3484 3383 3395 874896
2016-03-16 3392 3406 3378 3404 353844
2016-03-17 3396 3458 3387 3438 472724
2016-03-18 3449 3543 3443 3521 1425298
2016-03-21 3505 3508 3457 3470 741118
2016-03-22 3470 3520 3469 3516 568930
2016-03-23 3510 3515 3463 3469 627798
2016-03-24 3431 3434 3405 3409 685476
2016-03-25 3420 3425 3401 3410 293002
2016-03-28 3404 3420 3400 3406 256618
2016-03-29 3416 3428 3390 3393 349684
2016-03-30 3392 3433 3392 3424 522622
2016-03-31 3415 3428 3395 3406 345438
2016-04-01 3431 3436 3410 3421 392956
2016-04-05 3335 3378 3332 3336 296
2016-04-06 3384 3387 3367 3371 217914
2016-04-07 3357 3387 3355 3377 267182
2016-04-08 3394 3405 3378 3380 283456
2016-04-11 3386 3429 3381 3418 408412
2016-04-12 3448 3471 3441 3467 587910
2016-04-13 3489 3507 3472 3483 713772
2016-04-14 3491 3528 3465 3485 703608
2016-04-15 3492 3506 3476 3492 399568
2016-04-18 3488 3535 3472 3484 733228
2016-04-19 3505 3656 3490 3646 949978
2016-04-20 3689 3755 3650 3679 1648032
2016-04-21 3701 3849 3689 3811 1587208
2016-04-22 3862 3877 3668 3708 1490126
2016-04-25 3737 3768 3633 3693 1237514
2016-04-26 3686 3710 3666 3671 648582
2016-04-27 3677 3781 3675 3774 841362
2016-04-28 3778 3785 3710 3757 916786
2016-04-29 3757 3873 3745 3831 937576
2016-05-03 3810 3839 3782 3827 281040
2016-05-04 3801 3827 3739 3745 521412
2016-05-05 3774 3778 3737 3761 359362
2016-05-06 3793 3803 3706 3730 610562
2016-05-09 3859 3888 3821 3828 459094
2016-05-10 3793 3795 3721 3768 481554
2016-05-11 3756 3825 3746 3806 469730
2016-05-12 3838 3858 3810 3822 525870
2016-05-13 3812 3850 3747 3788 737412
2016-05-16 3756 3838 3750 3834 554168
2016-05-17 3845 3848 3796 3817 432048
2016-05-18 3800 3842 3788 3788 528952
2016-05-19 3786 3819 3698 3700 764358
2016-05-20 3672 3697 3651 3678 559092
2016-05-23 3699 3712 3630 3650 583802
2016-05-24 3648 3664 3617 3622 427062
2016-05-25 3630 3660 3612 3623 469250
2016-05-26 3623 3674 3623 3665 417958
2016-05-27 3672 3682 3600 3630 525244
2016-05-30 3622 3640 3546 3565 556390
2016-05-31 3571 3605 3560 3586 378000
2016-06-01 3579 3597 3574 3590 417804
2016-06-02 3588 3600 3561 3593 484758
2016-06-03 3591 3605 3580 3601 277354
2016-06-06 3660 3679 3651 3667 500138
2016-06-07 3684 3693 3658 3677 319352
2016-06-08 3665 3718 3661 3712 348458
2016-06-13 3834 3864 3804 3847 392728
2016-06-14 3867 3872 3831 3848 417450
2016-06-15 3859 3878 3845 3869 404858
2016-06-16 3871 3945 3835 3935 684578
2016-06-17 3937 3941 3810 3836 804894
2016-06-20 3846 3866 3816 3841 457478
2016-06-21 3843 3882 3835 3850 424710
2016-06-22 3813 3828 3780 3809 458680
2016-06-23 3803 3827 3800 3811 381220
2016-06-24 3810 3938 3808 3901 1024378
2016-06-27 3935 3960 3894 3925 684838
2016-06-28 3930 3934 3882 3909 393308
2016-06-29 3915 4065 3912 4056 1067420
2016-06-30 4078 4085 4021 4064 823344
2016-07-01 4070 4285 4056 4230 1518798
2016-07-04 4233 4419 4226 4419 849340
2016-07-05 4588 4599 4315 4427 1916788
2016-07-06 4382 4575 4338 4511 2088988
2016-07-07 4481 4508 4416 4455 1162692
2016-07-08 4419 4422 4320 4340 1276016
2016-07-11 4318 4580 4301 4506 1900034
2016-07-12 4481 4538 4459 4517 1181030
2016-07-13 4512 4537 4397 4523 1840992
2016-07-14 4518 4549 4459 4491 1328388
2016-07-15 4446 4493 4430 4466 884980
2016-07-18 4470 4472 4386 4395 982928
2016-07-19 4389 4421 4369 4392 769506
2016-07-20 4395 4416 4356 4358 693650
2016-07-21 4308 4319 4243 4273 958284
2016-07-22 4278 4402 4256 4333 1049482
2016-07-25 4336 4352 4266 4297 723750
2016-07-26 4293 4355 4266 4332 796298
2016-07-27 4327 4351 4312 4326 509950
2016-07-28 4340 4514 4338 4499 1266174
2016-07-29 4492 4492 4432 4442 791030
2016-08-01 4475 4558 4446 4530 1140446
2016-08-02 4527 4545 4492 4531 682914
2016-08-03 4578 4588 4545 4569 741214
2016-08-04 4549 4554 4441 4451 947548
2016-08-05 4494 4508 4469 4496 636060
2016-08-08 4421 4421 4335 4341 906608
2016-08-09 4368 4384 4336 4342 490220
2016-08-10 4338 4477 4327 4462 805430
2016-08-11 4487 4498 4400 4428 728440
2016-08-12 4439 4465 4404 4418 613898
2016-08-15 4450 4458 4352 4377 804808
2016-08-16 4365 4433 4361 4410 595176
2016-08-17 4390 4409 4348 4357 736386
2016-08-18 4357 4420 4304 4382 817088
2016-08-19 4375 4393 4349 4367 466792
2016-08-22 4306 4335 4196 4204 921556
2016-08-23 4214 4238 4204 4232 434706
2016-08-24 4240 4245 4201 4209 396934
2016-08-25 4200 4201 4040 4144 719096
2016-08-26 4133 4163 4126 4148 391840
2016-08-29 4172 4239 4101 4129 1264740
2016-08-30 4146 4196 4138 4160 569632
2016-08-31 4166 4194 4141 4164 604332
2016-09-01 4151 4188 4151 4172 427672
2016-09-02 4159 4240 4158 4209 723306
2016-09-05 4286 4323 4269 4317 806166
2016-09-06 4330 4348 4317 4345 379184
2016-09-07 4364 4458 4357 4416 867724
2016-09-08 4432 4432 4378 4412 511720
2016-09-09 4404 4405 4341 4351 603648
2016-09-12 4338 4348 4220 4248 790160
2016-09-13 4240 4312 4222 4280 660334
2016-09-14 4265 4273 4210 4265 627282
2016-09-19 4227 4308 4218 4284 373100
2016-09-20 4300 4316 4280 4302 408950
2016-09-21 4297 4352 4271 4345 664526
2016-09-22 4400 4430 4352 4385 959772
2016-09-23 4421 4444 4379 4394 668518
2016-09-26 4402 4402 4319 4342 591404
2016-09-27 4333 4365 4313 4335 508916
2016-09-28 4315 4317 4250 4258 747270
2016-09-29 4268 4310 4232 4269 534762
2016-09-30 4251 4293 4249 4266 466044
2016-10-10 3952 4001 3952 3981 483216
2016-10-11 3974 4024 3967 4015 568006
2016-10-12 3979 3999 3971 3987 501496
2016-10-13 3975 4007 3967 3992 510614
2016-10-14 3982 3996 3972 3981 380420
2016-10-17 3976 4005 3966 3986 521934
2016-10-18 3987 4042 3981 4033 559570
2016-10-19 4031 4045 4013 4024 424582
2016-10-20 4051 4063 4029 4044 480334
2016-10-21 4043 4053 3983 4000 527866
2016-10-24 4001 4035 3996 4030 384910
