date open high low close volume
2016-01-04 10850 10850 10605 10630 218568
2016-01-05 10600 10780 10565 10770 262764
2016-01-06 10720 10745 10640 10685 203524
2016-01-07 10665 10725 10610 10675 233816
2016-01-08 10660 10765 10590 10745 293130
2016-01-11 10745 10890 10740 10815 354386
2016-01-12 10805 10860 10565 10580 455630
2016-01-13 10605 10660 10500 10595 425636
2016-01-14 10565 10770 10555 10700 279564
2016-01-15 10695 10750 10645 10650 194338
2016-01-18 10630 10795 10625 10725 179042
2016-01-19 10715 10815 10700 10810 154372
2016-01-20 10810 10820 10650 10690 176180
2016-01-21 10685 10695 10615 10655 121300
2016-01-22 10675 10815 10650 10815 198820
2016-01-25 10835 10950 10680 10710 191878
2016-01-26 10725 10750 10685 10725 84460
2016-01-27 10750 10835 10720 10785 111832
2016-01-28 10815 10870 10745 10760 86776
2016-01-29 10760 10810 10715 10755 53342
2016-02-01 10760 10830 10590 10645 116952
2016-02-02 10640 10705 10620 10675 64828
2016-02-03 10700 10745 10635 10710 105984
2016-02-04 10710 10930 10705 10900 157238
2016-02-05 10890 10900 10785 10800 114566
2016-02-15 10750 10880 10715 10875 76200
2016-02-16 10880 11070 10830 11045 282232
2016-02-17 11050 11120 10930 10980 230950
2016-02-18 10990 11055 10945 10965 122812
2016-02-19 10970 11085 10925 11060 139926
2016-02-22 11090 11275 11055 11210 220932
2016-02-23 11240 11285 11155 11225 161226
2016-02-24 11205 11210 11085 11150 140616
2016-02-25 11130 11325 11130 11230 190750
2016-02-26 11290 11340 11170 11265 218430
2016-02-29 11310 11420 11290 11300 150710
2016-03-01 11360 11375 11120 11225 170132
2016-03-02 11260 11340 11155 11325 181264
2016-03-03 11305 11370 11280 11365 126498
2016-03-04 11365 11485 11330 11435 227818
2016-03-07 11430 11645 11365 11455 353800
2016-03-08 11475 11595 11410 11535 324148
2016-03-09 11535 11545 11055 11370 296444
2016-03-10 11355 11415 11265 11315 168332
2016-03-11 11300 11375 11245 11375 145504
2016-03-14 11335 11455 11320 11335 141928
2016-03-15 11310 11355 11270 11300 125840
2016-03-16 11245 11305 11200 11275 110250
2016-03-17 11230 11365 11230 11340 94516
2016-03-18 11325 11500 11320 11455 158696
2016-03-21 11425 11580 11400 11485 154720
2016-03-22 11530 11550 11470 11515 94936
2016-03-23 11495 11545 11460 11500 95008
2016-03-24 11495 11640 11465 11525 241820
2016-03-25 11520 11715 11510 11700 174076
2016-03-28 11720 11830 11680 11740 164850
2016-03-29 11750 11880 11700 11755 183126
2016-03-30 11775 11780 11690 11740 107466
2016-03-31 11700 11780 11675 11750 88830
2016-04-01 11765 11900 11750 11865 104802
2016-04-05 11875 11910 11840 11850 7170
2016-04-06 11825 11910 11750 11765 149362
2016-04-07 11765 11815 11745 11780 121118
2016-04-08 11750 11755 11520 11635 162978
2016-04-11 11670 11820 11665 11775 143912
2016-04-12 11750 11820 11750 11785 87924
2016-04-13 11835 12075 11825 11945 274114
2016-04-14 12000 12070 11915 11960 168504
2016-04-15 11995 12020 11925 11960 131570
2016-04-18 11950 12010 11830 11955 140130
2016-04-19 12000 12045 11955 12035 126866
2016-04-20 12055 12120 12025 12075 149904
2016-04-21 12115 12540 12115 12400 339418
2016-04-22 12450 12805 12260 12805 548556
2016-04-25 12850 13075 12700 12885 525606
2016-04-26 12900 12955 12740 12790 258076
2016-04-27 12810 12980 12765 12820 225278
2016-04-28 12830 12915 12430 12480 373434
2016-04-29 12560 12710 12470 12680 159098
2016-05-03 12660 12820 12660 12755 111152
2016-05-04 12715 12740 12455 12475 207928
2016-05-05 12505 12570 12400 12455 161326
2016-05-06 12490 12535 12200 12340 274898
2016-05-09 12315 12490 11980 12055 254028
2016-05-10 12080 12080 11770 11910 240472
2016-05-11 11875 12130 11875 12120 189674
2016-05-12 12145 12245 12050 12170 190054
2016-05-13 12080 12165 11855 12070 252344
2016-05-16 12070 12290 12015 12225 211712
2016-05-17 12220 12440 12195 12435 219754
2016-05-18 12365 12460 12260 12270 191306
2016-05-19 12305 12400 12220 12325 181804
2016-05-20 12285 12445 12265 12435 154288
2016-05-23 12485 12560 12225 12275 229128
2016-05-24 12310 12350 12135 12270 171758
2016-05-25 12355 12380 11995 12065 302810
2016-05-26 12095 12195 11900 12185 292252
2016-05-27 12210 12265 12005 12220 271156
2016-05-30 12200 12345 12170 12295 180440
2016-05-31 12325 12370 12225 12260 148640
2016-06-01 12290 12300 12065 12090 138866
2016-06-02 11930 12165 11875 12145 178172
2016-06-03 12100 12130 11850 11905 234004
2016-06-06 11990 12000 11720 11780 309120
2016-06-07 11805 11840 11610 11655 298698
2016-06-08 11640 11895 11590 11870 241406
2016-06-13 11805 11960 11740 11850 136040
2016-06-14 11890 12030 11780 11855 255184
2016-06-15 11850 11880 11765 11870 118516
2016-06-16 11920 11970 11875 11915 148418
2016-06-17 11870 11990 11830 11985 128992
2016-06-20 11965 12125 11910 12100 192464
2016-06-21 12165 12215 12095 12205 217738
2016-06-22 12180 12360 12165 12345 238118
2016-06-23 12370 12385 12250 12335 154820
2016-06-24 12350 12405 12140 12170 192334
2016-06-27 12155 12460 12130 12375 170286
2016-06-28 12340 12480 12305 12385 116112
2016-06-29 12425 12475 12340 12365 131212
2016-06-30 12360 12575 12320 12530 170332
2016-07-01 12550 12770 12500 12760 147724
2016-07-04 12600 12785 12505 12535 265260
2016-07-05 12530 12590 12270 12480 243116
2016-07-06 12480 12550 12310 12480 268018
2016-07-07 12410 12630 12390 12460 279126
2016-07-08 12450 12615 12420 12565 190794
2016-07-11 12605 12665 12555 12650 182850
2016-07-12 12640 12660 12465 12500 186242
2016-07-13 12555 12725 12515 12655 257226
2016-07-14 12645 12705 12570 12700 148452
2016-07-15 12720 12735 12625 12685 121236
2016-07-18 12725 12745 12500 12515 142020
2016-07-19 12505 12520 12205 12280 211724
2016-07-20 12275 12370 12215 12330 149712
2016-07-21 12300 12405 12215 12390 152210
2016-07-22 12365 12430 12150 12160 151792
2016-07-25 12190 12240 12070 12190 144064
2016-07-26 12175 12210 12115 12120 86604
2016-07-27 12115 12160 12020 12070 141782
2016-07-28 12095 12345 12040 12345 153174
2016-07-29 12360 12390 12180 12260 110912
2016-08-01 12290 12360 12240 12325 81400
2016-08-02 12235 12245 12100 12205 79720
2016-08-03 12240 12260 12010 12050 108294
2016-08-04 12100 12135 12030 12065 100416
2016-08-05 12065 12235 12000 12220 136198
2016-08-08 12235 12395 12190 12385 171128
2016-08-09 12380 12400 12270 12310 128862
2016-08-10 12310 12480 12295 12465 123252
2016-08-11 12485 12495 12355 12390 103748
2016-08-12 12395 12395 12300 12350 75136
2016-08-15 12270 12380 12225 12295 119434
2016-08-16 12335 12470 12310 12430 115670
2016-08-17 12465 12465 12385 12450 106126
2016-08-18 12455 12795 12435 12780 235560
2016-08-19 12780 12780 12605 12685 168504
2016-08-22 12600 12625 12360 12375 195852
2016-08-23 12380 12450 12230 12440 95362
2016-08-24 12425 12495 12385 12420 71036
2016-08-25 12440 12440 12280 12340 114524
2016-08-26 12300 12450 12295 12370 111038
2016-08-29 12330 12450 12310 12345 102356
