date open high low close volume
2016-10-10 273.6 274.2 272.35 274 151026
2016-10-11 273.3 274.1 273.05 273.9 180290
2016-10-12 273.05 274.05 272.95 273.3 142370
2016-10-13 273.05 274.7 272.5 274.2 211380
2016-10-14 273.75 274.9 273.25 273.45 156426
2016-10-17 272.8 274.25 272.6 273.7 194610
2016-10-18 273.65 275.4 273.45 275.2 150702
2016-10-19 275.05 275.75 274.15 275.2 136832
2016-10-20 276.8 277.7 276.5 277.25 156082
2016-10-21 277.25 277.95 275.7 276.3 165012
2016-10-24 277.1 277.4 276.5 277.05 130816
2016-10-25 278.25 278.8 276.6 277.9 170374
2016-10-26 278.15 279.9 277.9 279.2 186498
2016-10-27 278.6 279.1 277.4 278.25 154518
2016-10-28 279.1 279.45 277.95 278.5 146162
2016-10-10 15330 15825 15310 15770 16526
2016-10-11 15740 15915 15680 15880 15414
2016-10-12 15760 15790 15580 15625 13952
2016-10-13 15665 15780 15340 15375 16860
2016-10-14 15325 15485 15270 15480 10198
2016-10-17 15440 15645 15400 15510 9584
2016-10-18 15435 15650 15420 15610 5522
2016-10-19 15575 15615 15405 15445 5734
2016-10-20 15390 15650 15290 15410 19750
2016-10-21 15455 15800 15430 15760 25208
2016-10-24 15725 15875 15620 15755 22420
2016-10-25 15830 16370 15800 16370 28534
2016-10-26 16380 16620 16025 16230 31504
2016-10-27 16305 16560 16175 16245 27774
2016-10-28 16320 16500 16250 16455 19882
2016-10-10 18200 18480 18040 18390 154682
2016-10-11 18310 18370 18095 18170 285246
2016-10-12 18020 18020 17735 17790 400856
2016-10-13 17855 17975 17705 17750 335120
2016-10-14 17660 17910 17520 17825 419444
2016-10-17 17815 18090 17810 17990 403608
2016-10-18 18050 18280 17885 18210 390584
2016-10-19 18200 18295 18090 18160 341726
2016-10-20 18170 18380 18020 18275 364932
2016-10-21 18200 18290 18120 18200 289800
2016-10-24 18100 18235 18040 18175 361996
2016-10-25 18305 19045 18295 19010 535570
2016-10-26 19075 19130 18720 18885 395938
2016-10-27 18825 19000 18700 18875 341180
2016-10-28 18935 19180 18840 19095 307016
2016-10-10 12305 12605 12290 12580 95090
2016-10-11 12600 12725 12575 12710 130360
2016-10-12 12685 12710 12540 12665 170886
2016-10-13 12695 12815 12660 12765 164466
2016-10-14 12765 12960 12725 12865 192156
2016-10-17 12875 12895 12655 12720 188756
2016-10-18 12660 12790 12625 12785 126208
2016-10-19 12735 12815 12560 12590 189492
2016-10-20 12560 12670 12555 12575 127564
2016-10-21 12545 12695 12465 12630 143252
2016-10-24 12625 12945 12580 12930 200718
2016-10-25 12920 13300 12900 13300 196192
2016-10-26 13390 13995 13350 13620 543864
2016-10-27 13660 13715 13390 13530 309382
2016-10-28 13585 13960 13540 13860 332560
2016-10-10 37660 37670 37430 37650 69828
2016-10-11 37670 38180 37660 38160 197110
2016-10-12 38060 38080 37760 37950 160384
2016-10-13 37990 38150 37580 37630 197824
2016-10-14 37210 37460 37110 37370 226982
2016-10-17 37210 37400 37160 37320 183592
2016-10-18 37250 37410 37200 37400 108748
2016-10-19 37310 37410 37150 37190 168580
2016-10-20 37200 37440 36970 37310 198066
2016-10-21 37240 37270 37000 37180 147892
2016-10-24 37110 37430 37100 37350 147972
2016-10-25 37300 38170 37250 38010 354232
2016-10-26 38110 38250 37700 37760 228692
2016-10-27 37790 37960 37720 37820 139948
2016-10-28 38020 38340 37950 38270 183386
