date open high low close volume
2016-01-06 3178 3156 3156 3178 0
2016-01-08 3178 3178 3178 3180 2
2016-01-11 3353 3353 3235 3294 0
2016-01-12 3298 3298 3200 3249 0
2016-01-13 3298 3298 3200 3249 4
2016-01-14 3298 3298 3200 3249 0
2016-01-15 3298 3298 3200 3249 4
2016-01-25 3275 3275 3160 3217 0
2016-01-27 3275 3345 3166 3280 0
2016-01-28 3275 3345 3166 3280 74
2016-01-29 3275 3345 3166 3280 0
2016-02-01 3200 3240 3200 3240 20
2016-02-02 3344 3344 3238 3238 4
2016-02-03 3344 3344 3238 3290 0
2016-02-04 3280 3344 3238 3280 4
2016-02-16 3314 3330 3302 3321 14
2016-02-17 3314 3330 3302 3315 0
2016-02-18 3314 3330 3302 3315 14
2016-02-22 3256 3274 3158 3274 8
2016-02-24 3268 3274 3158 3222 8
2016-02-29 3276 3276 3276 3276 4
2016-03-01 3276 3276 3276 3276 0
2016-03-02 3276 3276 3276 3276 4
2016-03-04 3278 3366 3203 3277 306
2016-03-08 3360 3360 3230 3288 46
2016-03-09 3360 3360 3230 3256 0
2016-03-10 3230 3230 3230 3230 2
2016-03-11 3230 3230 3230 3230 0
2016-03-14 3130 3130 3130 3130 2
2016-03-16 3147 3147 2939 2939 4
2016-03-17 3159 3225 2874 3150 16
2016-03-22 3355 3355 3301 3327 0
2016-03-23 3152 3152 3152 3200 0
2016-03-24 3150 3150 3150 3150 2
2016-03-25 3150 3150 3150 3210 0
2016-03-28 3150 3150 3150 3210 2
2016-03-30 3350 3350 3335 3338 0
2016-03-31 3150 3150 3150 3210 0
2016-04-01 3150 3150 3150 3210 2
2016-04-06 3179 3200 3116 3174 12
2016-04-07 3174 3201 3174 3201 14
2016-04-08 3245 3280 3200 3241 40
2016-04-11 3130 3130 3130 3210 0
2016-04-12 3130 3130 3130 3231 2
2016-04-13 3270 3300 3270 3300 6
2016-04-14 3330 3369 3330 3364 12
2016-04-15 3379 3380 3303 3350 32
2016-04-18 3358 3424 3343 3380 10
2016-04-19 3358 3424 3343 3375 0
2016-04-20 3409 3424 3343 3375 10
2016-04-21 3545 3545 3545 3545 10
2016-04-22 3450 3715 3439 3540 228
2016-04-25 3459 3522 3459 3467 56
2016-04-26 3516 3516 3516 3516 0
2016-04-27 3300 3340 3300 3340 6
2016-04-29 3599 3599 3401 3401 6
2016-05-03 3445 3445 3313 3383 26
2016-05-04 3319 3359 3319 3350 6
2016-05-05 3400 3400 3400 3400 10
2016-05-09 3481 3481 3481 3481 0
2016-05-10 3400 3400 3400 3400 0
2016-05-11 3400 3400 3400 3536 10
2016-05-12 3400 3400 3400 3536 0
2016-05-13 3400 3400 3400 3536 10
2016-05-16 3399 3399 3399 3399 2
2016-05-17 3399 3399 3399 3399 0
2016-05-18 3534 3534 3399 3534 2
2016-05-19 3534 3534 3534 3534 0
2016-05-20 3420 3420 3420 3420 2
2016-05-23 3412 3420 3412 3412 8
2016-05-24 3478 3548 3478 3548 20
2016-05-26 3471 3549 3471 3521 0
2016-05-27 3729 3750 3569 3750 28
2016-06-01 3690 3690 3690 3690 2
2016-06-02 3780 3780 3780 3780 0
2016-06-03 3780 3780 3780 3780 4
2016-06-06 3929 3931 3929 3931 6
2016-06-08 3656 3838 3656 3825 8
2016-06-14 3970 3971 3886 3915 8
2016-06-15 4063 4063 3886 3910 4
2016-06-16 3961 4155 3961 4150 6
2016-06-17 4100 4100 4100 4100 12
2016-06-20 3957 4186 3957 4186 4
2016-06-21 4150 4150 3983 3983 4
2016-06-22 4150 4150 3983 4068 0
2016-06-23 3950 4140 3950 4091 20
2016-06-28 3954 4058 3954 4006 40
2016-06-29 3971 3989 3971 3989 10
2016-06-30 3911 4098 3911 4098 34
2016-07-01 4002 4280 4002 4280 44
2016-07-04 3992 3992 3992 3992 2
2016-07-06 3929 3929 3929 3928 0
2016-07-07 4232 4232 4232 4232 0
2016-07-08 4232 4232 4232 4232 2
2016-07-11 4232 4232 4232 4232 0
2016-07-12 4260 4260 4260 4260 76
2016-07-13 4260 4260 4260 4260 0
2016-07-14 4005 4065 3949 4005 4
2016-07-19 4100 4100 4100 4100 0
2016-07-20 3960 4100 3950 3950 4
2016-07-21 3960 3960 3920 3920 6
2016-07-22 3960 3960 3920 3933 0
2016-07-26 3776 3869 3776 3860 0
2016-07-27 3776 3869 3776 3871 6
2016-07-28 3891 3891 3891 3891 0
2016-07-29 3738 3899 3736 3899 12
2016-08-01 3738 3899 3736 3813 0
2016-08-02 3738 3899 3736 3813 12
2016-08-04 3886 3886 3886 3886 0
2016-08-05 3738 3899 3736 3813 0
2016-08-08 3738 3899 3736 3813 12
2016-08-09 3738 3899 3736 3813 0
2016-08-10 3860 3865 3830 3850 16
2016-08-11 3867 3867 3830 3865 10
2016-08-12 3801 3803 3791 3800 22
2016-08-15 3801 3860 3766 3833 28
2016-08-17 3795 4040 3795 3917 0
2016-08-18 3850 3850 3850 3850 2
2016-08-19 3805 3850 3795 3795 4
2016-08-22 3785 3790 3785 3790 6
2016-08-23 3800 3803 3797 3797 6
2016-08-24 3785 3786 3785 3786 6
2016-08-26 3795 4040 3795 3917 32
2016-08-30 3795 4040 3795 3917 32
2016-09-01 3795 4040 3795 3917 32
2016-09-02 3742 3742 3742 3742 2
2016-09-05 3742 3742 3742 3678 0
2016-09-06 3742 3742 3742 3678 2
2016-09-07 3714 3714 3712 3712 4
2016-09-09 3795 4040 3795 3917 32
2016-09-12 3714 3714 3712 3713 0
2016-09-13 3714 3714 3712 3713 4
2016-09-21 3778 3778 3634 3706 4
2016-09-22 3778 3778 3706 3742 0
2016-09-23 3778 3778 3706 3742 4
2016-09-26 3778 3778 3706 3742 0
2016-09-27 3778 3778 3706 3742 4
2016-09-28 3778 3778 3706 3742 0
2016-09-29 3778 3778 3706 3742 4
2016-09-30 3778 3778 3706 3742 0
2016-10-11 3600 3600 3600 3600 2
2016-10-12 3900 3900 3873 3886 0
2016-10-14 3744 3744 3650 3703 0
2016-10-17 3744 3744 3650 3703 8
2016-10-18 3700 3789 3650 3789 4
2016-10-19 3701 3701 3701 3720 0
2016-10-20 3781 3786 3701 3786 6
2016-10-21 3816 3816 3816 3816 2
2016-10-24 3840 3850 3816 3850 4
2016-10-27 3840 3850 3840 3845 0
