date open high low close volume
2016-01-04 1895 1902 1881 1893 289822
2016-01-05 1891 1914 1889 1912 360552
2016-01-06 1912 1929 1909 1927 458790
2016-01-07 1928 1929 1908 1913 503474
2016-01-08 1914 1920 1906 1911 278044
2016-01-11 1900 1911 1893 1907 318936
2016-01-12 1905 1915 1900 1913 321724
2016-01-13 1911 1914 1902 1908 181734
2016-01-14 1908 1913 1898 1904 254414
2016-01-15 1904 1912 1899 1910 205602
2016-01-18 1910 1922 1904 1918 320392
2016-01-19 1916 1918 1901 1905 276730
2016-01-20 1904 1915 1898 1909 255460
2016-01-21 1907 1909 1901 1908 139306
2016-01-22 1908 1920 1907 1914 162684
2016-01-25 1916 1921 1913 1917 89432
2016-01-26 1917 1927 1914 1921 210658
2016-01-27 1924 1947 1921 1944 305628
2016-01-28 1940 1950 1923 1945 318386
2016-01-29 1939 1948 1927 1933 293574
2016-02-01 1935 1943 1932 1936 121076
2016-02-02 1937 1941 1930 1937 102084
2016-02-03 1937 1948 1933 1946 139872
2016-02-04 1949 1971 1944 1968 217014
2016-02-05 1966 1966 1955 1958 102596
2016-02-15 1962 1972 1948 1971 126430
2016-02-16 1969 1981 1965 1966 211096
2016-02-17 1965 1966 1939 1943 308132
2016-02-18 1948 1954 1944 1950 222422
2016-02-19 1950 1956 1934 1934 230160
2016-02-22 1660 1664 1641 1643 385484
2016-02-23 1647 1649 1626 1642 402216
2016-02-24 1643 1644 1600 1601 502166
2016-02-25 1601 1615 1597 1603 396832
2016-02-26 1600 1610 1573 1574 573824
2016-02-29 1568 1569 1526 1551 984236
2016-03-01 1560 1603 1553 1603 828722
2016-03-02 1608 1618 1595 1600 604876
2016-03-03 1600 1624 1593 1617 517958
2016-03-04 1623 1631 1615 1628 294436
2016-03-07 1624 1630 1576 1586 997910
2016-03-08 1585 1605 1576 1589 732866
2016-03-09 1581 1598 1578 1589 534544
2016-03-10 1585 1595 1553 1567 846838
2016-03-11 1554 1590 1554 1583 580736
2016-03-14 1581 1586 1560 1564 390262
2016-03-15 1564 1573 1556 1565 374652
2016-03-16 1565 1569 1550 1561 351904
2016-03-17 1564 1568 1548 1556 432536
2016-03-18 1560 1618 1560 1609 1105178
2016-03-21 1524 1524 1508 1518 275074
2016-03-22 1525 1527 1516 1520 145638
2016-03-23 1520 1530 1512 1516 315488
2016-03-24 1599 1623 1588 1615 689626
2016-03-25 1619 1628 1606 1621 559642
2016-03-28 1460 1469 1440 1444 738262
2016-03-29 1421 1438 1413 1437 949176
2016-03-30 1435 1447 1431 1435 372620
2016-03-31 1432 1438 1422 1430 383826
2016-04-01 1415 1432 1407 1425 440412
2016-04-05 1708 1740 1708 1715 123764
2016-04-06 1432 1435 1426 1433 199062
2016-04-07 1434 1435 1427 1432 166246
2016-04-08 1433 1435 1423 1429 206138
2016-04-11 1431 1444 1425 1435 544374
2016-04-12 1440 1445 1435 1443 328682
2016-04-13 1450 1467 1446 1452 928156
2016-04-14 1462 1485 1458 1482 941422
2016-04-15 1479 1481 1456 1460 699432
2016-04-18 1463 1499 1462 1481 1494158
2016-04-19 1488 1497 1481 1490 649890
2016-04-20 1500 1542 1500 1530 1946162
2016-04-21 1551 1579 1551 1579 1006476
