date open high low close volume
2016-01-04 11410 11445 11125 11280 177808
2016-01-05 11275 11295 11180 11200 146416
2016-01-06 11200 11350 11185 11320 219414
2016-01-07 11305 11360 11270 11335 143916
2016-01-08 11310 11385 11280 11315 118988
2016-01-11 11315 11345 11255 11280 95608
2016-01-12 11295 11315 11230 11280 77734
2016-01-13 11280 11350 11275 11310 101350
2016-01-14 11305 11340 11290 11305 65470
2016-01-15 11295 11305 11190 11215 156428
2016-01-18 11205 11245 11165 11200 115348
2016-01-19 11205 11285 11200 11270 103898
2016-01-20 11280 11415 11270 11375 248062
2016-01-21 11355 11395 11345 11380 80958
2016-01-22 11380 11445 11330 11420 112738
2016-01-25 11425 11480 11380 11415 55476
2016-01-26 11395 11445 11395 11420 58822
2016-01-27 11425 11470 11400 11450 57896
2016-01-28 11445 11475 11395 11405 48442
2016-01-29 11400 11440 11355 11375 69040
2016-02-01 11385 11395 11360 11375 44622
2016-02-02 11385 11505 11340 11470 103664
2016-02-03 10880 10880 10685 10715 114332
2016-02-04 10710 10755 10570 10590 94706
2016-02-05 10535 10680 10535 10565 97084
2016-02-15 10485 10495 10370 10390 94426
2016-02-16 10390 10500 10385 10485 119874
2016-02-17 10495 10570 10470 10530 111692
2016-02-18 10530 10595 10505 10565 79068
2016-02-19 10560 10575 10440 10460 153268
2016-02-22 10440 10565 10440 10505 141444
2016-02-23 10510 10550 10455 10485 144190
2016-02-24 10480 10500 10290 10325 235958
2016-02-25 10330 10330 10040 10160 413552
2016-02-26 10155 10205 10065 10080 201882
2016-02-29 10075 10145 9975 9990 268786
2016-03-01 10000 10105 9890 10045 363740
2016-03-02 10060 10110 10000 10045 231974
2016-03-03 10055 10215 10000 10155 342894
2016-03-04 10165 10255 10115 10235 259056
2016-03-07 10240 10610 10220 10540 687610
2016-03-08 10550 10640 10275 10410 514552
2016-03-09 10400 10455 10235 10290 330476
2016-03-10 10300 10390 10165 10180 296882
2016-03-11 10180 10180 10040 10110 336550
2016-03-14 10140 10245 10100 10115 300680
2016-03-15 10095 10215 10080 10100 278398
2016-03-16 10100 10155 10060 10110 237762
2016-03-17 10100 10245 10090 10185 243394
2016-03-18 10185 10460 10185 10380 500574
2016-03-21 10380 10510 10270 10500 491512
2016-03-22 10520 10605 10440 10450 396126
2016-03-23 10435 10610 10410 10535 315354
2016-03-24 10500 10560 10350 10355 302250
2016-03-25 10360 10430 10340 10420 208124
2016-03-28 10440 10495 10350 10355 219608
2016-03-29 10360 10430 10220 10235 292840
2016-03-30 10250 10325 10210 10295 150764
2016-03-31 10320 10350 10120 10200 261980
2016-04-01 10215 10270 10185 10240 169286
2016-04-05 10960 10995 10875 10895 3434
2016-04-06 10335 10470 10320 10430 275470
2016-04-07 10430 10450 10315 10375 214218
2016-04-08 10380 10425 10330 10395 188040
2016-04-11 10445 10790 10440 10790 464400
2016-04-12 11000 11010 10810 10880 613854
2016-04-13 10980 11325 10950 11325 471990
