date open high low close volume
2016-01-04 36480 36570 35820 35970 224740
2016-01-05 36000 36550 35820 36510 411016
2016-01-06 36410 36530 36140 36240 476828
2016-01-07 36140 36580 35910 36090 646922
2016-01-08 35810 36090 35230 35680 974450
2016-01-11 35630 35790 34760 34770 647856
2016-01-12 34900 35140 34610 34630 668706
2016-01-13 34740 35070 34660 34810 611038
2016-01-14 34760 35030 34350 34930 713142
2016-01-15 34840 35330 34730 34800 598056
2016-01-18 34480 35200 34450 34990 672146
2016-01-19 34970 35600 34840 35360 636590
2016-01-20 35400 35470 34970 35080 495406
2016-01-21 35000 35280 34810 34850 556644
2016-01-22 35000 35410 34910 35190 549800
2016-01-25 35350 35400 34920 35020 406458
2016-01-26 35050 35190 34840 35100 414594
2016-01-27 35480 35840 35280 35780 551904
2016-01-28 35670 35980 35570 35600 418618
2016-01-29 35640 35800 35470 35680 447376
2016-02-01 35690 35900 35440 35540 137634
2016-02-02 35590 35820 35460 35760 105406
2016-02-03 35880 35910 35500 35810 167454
2016-02-04 35830 36570 35780 36500 218918
2016-02-05 36400 36680 36250 36510 144804
2016-02-15 35800 35940 35510 35750 190342
2016-02-16 35670 36010 35650 35750 274046
2016-02-17 35760 35910 35470 35480 343700
2016-02-18 35590 35820 35550 35700 251418
2016-02-19 35700 36030 35510 35920 379600
2016-02-22 35780 36380 35700 36350 398280
2016-02-23 36450 36560 36090 36200 313264
2016-02-24 36280 36280 35700 35810 332556
2016-02-25 35780 36290 35680 35920 408926
2016-02-26 36020 36060 35550 35840 399770
2016-02-29 36250 36680 35680 35880 428862
2016-03-01 36080 36160 35550 36010 354354
2016-03-02 36160 36960 36020 36940 529086
2016-03-03 36830 37150 36800 37000 490662
2016-03-04 37110 38010 37020 37950 712994
2016-03-07 37910 39400 37640 38090 1078126
2016-03-08 38250 38620 37460 37750 910538
2016-03-09 37920 37920 36800 37320 852456
2016-03-10 37440 37670 37250 37300 521714
2016-03-11 37350 37740 37040 37710 506820
2016-03-14 37540 38150 37490 37750 527542
2016-03-15 37700 37710 37130 37250 484084
2016-03-16 37200 37620 37080 37570 448986
2016-03-17 37450 37970 37370 37940 467704
2016-03-18 37870 38690 37830 38380 800538
2016-03-21 38300 38440 37930 38160 493144
2016-03-22 38180 38430 38060 38150 418080
2016-03-23 38200 38420 38040 38160 341424
2016-03-24 38110 38120 37430 37630 532272
2016-03-25 37490 37800 37400 37750 212472
2016-03-28 37750 37870 37500 37510 171106
2016-03-29 37660 38090 37490 37590 185848
2016-03-30 37660 37660 36850 36990 357590
2016-03-31 37040 37290 36640 36860 335052
2016-04-01 36780 37150 36730 37120 323898
2016-04-05 36680 36840 36550 36720 18330
2016-04-06 36600 36810 36550 36730 237194
2016-04-07 36560 36880 36560 36650 260044
2016-04-08 36400 36400 35610 35760 506212
2016-04-11 35760 36150 35730 35830 442994
2016-04-12 35800 36060 35600 35980 384698
2016-04-13 36110 37360 36040 36830 786206
2016-04-14 36930 37150 36780 36850 366646
2016-04-15 37030 37130 36740 36780 357608
2016-04-18 36690 37080 36560 36610 421168
2016-04-19 36770 37170 36730 36940 430730
2016-04-20 37010 37740 36950 37360 669188
2016-04-21 37520 38220 37350 38100 595434
2016-04-22 38400 38570 37460 37970 560744
2016-04-25 38110 39010 37880 38120 539090
2016-04-26 38200 38230 37530 37710 232600
2016-04-27 37710 37950 37510 37630 188230
2016-04-28 37600 37720 37010 37280 261212
2016-04-29 37290 37800 37180 37660 214126
2016-05-03 37780 37970 37420 37910 199440
2016-05-04 37680 37780 37140 37230 325310
2016-05-05 37220 37340 36820 36840 380366
2016-05-06 36810 36920 36330 36620 371676
2016-05-09 36540 36970 35780 35840 574206
2016-05-10 35780 36080 35670 35950 384000
2016-05-11 35880 36080 35690 35960 328504
2016-05-12 36080 36520 35820 36240 456792
2016-05-13 36240 36380 35030 35480 644522
2016-05-16 35390 35770 35120 35610 384188
2016-05-17 35500 35960 35500 35900 332574
2016-05-18 35700 35940 35290 35380 469084
2016-05-19 35210 35640 35110 35200 402516
2016-05-20 35160 35440 34820 35320 391992
2016-05-23 35480 35570 34880 35170 433462
2016-05-24 35200 35370 35030 35190 304944
2016-05-25 35460 35700 35280 35490 350164
2016-05-26 35750 36080 35640 36060 302290
2016-05-27 36090 36210 35610 35840 229682
2016-05-30 35990 36060 35630 35710 172624
2016-05-31 35780 35990 35640 35750 173512
2016-06-01 35810 35890 35120 35190 323974
2016-06-02 35180 35460 35070 35280 273418
2016-06-03 35250 35760 35170 35720 296102
2016-06-06 36110 36300 35800 36260 318566
2016-06-07 36150 36300 35800 35840 267268
2016-06-08 35340 35390 35100 35230 331978
2016-06-13 34880 35540 34850 35250 272286
2016-06-14 35200 35540 35080 35110 286756
2016-06-15 35100 35370 34980 35320 257364
2016-06-16 35890 36000 35330 35410 313520
2016-06-17 35210 35600 35160 35560 259350
2016-06-20 35410 35630 35320 35460 226642
2016-06-21 35610 35880 35480 35570 252478
2016-06-22 35650 36270 35530 36260 345406
2016-06-23 36280 36390 36060 36270 251632
2016-06-24 36550 36760 35850 35970 472024
2016-06-27 36120 36730 36020 36720 337584
2016-06-28 36500 37280 36460 37200 263022
2016-06-29 37300 37500 37010 37220 215762
2016-06-30 37250 37690 37080 37530 261792
2016-07-01 37440 37630 37140 37300 320148
2016-07-04 37290 38510 37220 38410 682034
2016-07-05 38440 38540 37470 37790 492320
2016-07-06 37760 37850 36950 37380 485598
2016-07-07 36880 37290 36820 36910 371704
2016-07-08 36960 37100 36450 36620 381592
2016-07-11 36800 37130 36540 37020 302506
2016-07-12 37140 37260 36900 37180 253784
2016-07-13 37500 39210 37260 38580 876672
2016-07-14 38660 38820 38190 38640 448580
2016-07-15 38530 38710 38230 38500 361670
2016-07-18 38700 38930 37800 37850 497462
2016-07-19 37790 38550 37790 38300 415374
2016-07-20 38380 38800 38110 38280 463442
2016-07-21 38020 38690 37870 38650 351616
2016-07-22 38570 38840 38160 38180 336090
2016-07-25 38350 38650 37830 38160 420530
2016-07-26 38170 38250 37600 37810 322706
2016-07-27 37770 38090 37620 37740 308300
2016-07-28 37700 37890 37430 37820 307786
2016-07-29 37880 38060 37430 37470 297570
2016-08-01 37690 38330 37500 38280 265488
2016-08-02 38140 38160 37680 38020 245842
2016-08-03 38120 38450 37680 37790 341054
2016-08-04 37710 37910 37430 37620 350780
2016-08-05 37300 37770 37280 37620 307212
2016-08-08 37510 37680 37370 37540 257108
2016-08-09 37560 37760 37180 37220 290706
2016-08-10 37160 37530 37100 37470 236298
2016-08-11 37790 37800 37450 37530 248324
2016-08-12 37550 37690 37450 37560 175934
2016-08-15 37230 37350 37000 37070 244612
2016-08-16 37070 37290 37020 37220 212270
2016-08-17 37330 37390 37180 37220 177690
2016-08-18 37180 37400 37090 37370 180484
2016-08-19 37480 37490 37230 37390 159022
2016-08-22 37290 37390 37080 37140 176644
2016-08-23 37020 37180 36910 37120 146416
2016-08-24 36970 37040 36640 36650 248346
2016-08-25 36530 36640 36050 36370 308008
2016-08-26 36290 36530 36180 36430 167726
2016-08-29 36380 36620 36210 36420 184566
2016-08-30 36350 36520 36240 36260 119618
2016-08-31 36250 36390 36140 36270 142170
2016-09-01 36260 36670 36230 36530 139762
2016-09-02 36490 36690 36400 36670 139928
2016-09-05 36640 36660 36440 36510 147262
2016-09-06 36460 36620 36390 36570 136530
2016-09-07 36600 36870 36460 36750 205396
2016-09-08 36750 36850 36530 36570 176616
2016-09-09 36560 36730 36460 36620 149500
2016-09-12 36560 36630 36130 36170 256900
2016-09-13 36250 36620 36250 36600 192602
2016-09-14 36630 36800 36470 36730 189584
2016-09-19 37100 37240 36930 37230 158336
2016-09-20 37260 37350 37160 37280 129424
2016-09-21 37300 37500 37190 37300 172558
2016-09-22 37310 37680 37240 37650 202334
2016-09-23 37770 37900 37650 37860 172102
2016-09-26 37820 37900 37690 37760 132548
2016-09-27 37750 37830 37470 37680 178872
2016-09-28 37550 37610 37270 37520 80366
2016-09-29 37600 37960 37530 37650 106982
2016-09-30 37680 37880 37560 37710 82256
2016-10-10 37660 37670 37430 37650 69828
2016-10-11 37670 38180 37660 38160 197110
2016-10-12 38060 38080 37760 37950 160384
2016-10-13 37990 38150 37580 37630 197824
2016-10-14 37210 37460 37110 37370 226982
2016-10-17 37210 37400 37160 37320 183592
2016-10-18 37250 37410 37200 37400 108748
2016-10-19 37310 37410 37150 37190 168580
2016-10-20 37200 37440 36970 37310 198066
2016-10-21 37240 37270 37000 37180 147892
2016-10-24 37110 37430 37100 37350 147972
2016-10-25 37300 38170 37250 38010 354232
