date open high low close volume
2016-01-04 833 839 822 823 222522
2016-01-05 823 830 822 829 183616
2016-01-06 829 831 820 823 175958
2016-01-07 822 830 821 830 211016
2016-01-08 829 848 827 841 631398
2016-01-11 841 850 833 834 523548
2016-01-12 835 837 825 831 368078
2016-01-13 831 834 828 830 193860
2016-01-14 830 834 823 833 269898
2016-01-15 832 840 832 836 196738
2016-01-18 836 857 834 854 422570
2016-01-19 855 861 850 860 295336
2016-01-20 860 861 852 853 201092
2016-01-21 852 860 851 857 183392
2016-01-22 858 873 856 868 442562
2016-01-25 868 870 851 856 280866
2016-01-26 854 862 853 855 164560
2016-01-27 856 865 855 862 157114
2016-01-28 862 863 853 854 132116
2016-01-29 855 858 846 851 195086
2016-02-01 852 857 846 849 148128
2016-02-02 850 851 842 850 136660
2016-02-03 851 855 847 850 99364
2016-02-04 850 865 849 865 134300
2016-02-05 865 867 857 863 74488
2016-02-15 861 871 859 868 92098
2016-02-16 869 869 862 862 87136
2016-02-17 862 885 860 884 273876
2016-02-18 884 890 881 886 220512
2016-02-19 886 897 883 889 244892
2016-02-22 888 923 888 905 312944
2016-02-23 905 909 892 901 226470
2016-02-24 901 907 895 906 170128
2016-02-25 905 924 903 914 373580
2016-02-26 915 923 904 921 283228
2016-02-29 922 922 907 918 234654
2016-03-01 922 933 915 930 298444
2016-03-02 931 933 924 929 219824
2016-03-03 928 937 921 923 227502
2016-03-04 923 932 921 929 224784
2016-03-07 930 966 928 966 356532
2016-03-08 979 1019 949 974 1615136
2016-03-09 967 984 952 973 477926
2016-03-10 973 996 958 959 448858
2016-03-11 957 970 953 959 210556
2016-03-14 956 985 954 958 323326
2016-03-15 957 962 942 947 316010
2016-03-16 945 953 938 945 208930
2016-03-17 945 958 933 941 368344
2016-03-18 941 968 938 953 569422
2016-03-21 952 960 935 936 421148
2016-03-22 935 941 926 928 338930
2016-03-23 928 946 927 934 255578
2016-03-24 934 939 918 919 334168
2016-03-25 918 927 913 924 206274
2016-03-28 924 929 916 916 133666
2016-03-29 916 925 916 919 101090
2016-03-30 919 933 918 930 149818
2016-03-31 931 933 923 929 90506
2016-04-01 930 939 926 930 131410
2016-04-06 924 928 919 924 60644
