date open high low close volume
2016-01-04 0 2472 2472 2472 0
2016-01-05 0 2472 2472 2472 0
2016-01-06 0 2472 2472 2472 0
2016-01-07 0 2472 2472 2472 0
2016-01-08 2452 2452 2452 2452 4
2016-01-11 2411 2574 2411 2565 22
2016-01-12 2505 2583 2505 2564 14
2016-01-13 0 2472 2472 2472 0
2016-01-14 0 2472 2472 2472 0
2016-01-15 0 2472 2472 2472 0
2016-01-18 0 2472 2472 2472 0
2016-01-19 0 2472 2472 2472 0
2016-01-20 0 2472 2472 2472 0
2016-01-21 0 2472 2472 2472 0
2016-01-22 0 2472 2472 2472 0
2016-01-25 0 2472 2472 2472 0
2016-01-26 0 2472 2472 2472 0
2016-01-27 0 2472 2472 2472 0
2016-01-28 0 2472 2472 2472 0
2016-01-29 0 2472 2472 2472 0
2016-02-01 0 2472 2472 2472 0
2016-02-02 0 2472 2472 2472 0
2016-02-03 0 2472 2472 2472 0
2016-02-04 0 2472 2472 2472 0
2016-02-05 2608 2608 2561 2561 34
2016-02-15 2470 2599 2470 2599 8
2016-02-16 2470 2599 2470 2599 0
2016-02-17 2520 2520 2520 2520 2
2016-02-18 0 2472 2472 2472 0
2016-02-19 0 2472 2472 2472 0
2016-02-22 0 2472 2472 2472 0
2016-02-23 0 2472 2472 2472 0
2016-02-24 0 2472 2472 2472 0
2016-02-25 0 2472 2472 2472 0
2016-02-26 0 2472 2472 2472 0
2016-02-29 0 2472 2472 2472 0
2016-03-01 0 2472 2472 2472 0
2016-03-02 0 2472 2472 2472 0
2016-03-03 0 2472 2472 2472 0
2016-03-04 0 2472 2472 2472 0
2016-03-07 0 2472 2472 2472 0
2016-03-08 0 2472 2472 2472 0
2016-03-09 0 2472 2472 2472 0
2016-03-10 0 2472 2472 2472 0
2016-03-11 0 2472 2472 2472 0
2016-03-14 0 2472 2472 2472 0
2016-03-15 0 2472 2472 2472 0
2016-03-16 0 2472 2472 2472 0
2016-03-17 0 2472 2472 2472 0
2016-03-18 0 2472 2472 2472 0
2016-03-21 0 2472 2472 2472 0
2016-03-22 0 2472 2472 2472 0
2016-03-23 0 2472 2472 2472 0
2016-03-24 0 2472 2472 2472 0
2016-03-25 0 2472 2472 2472 0
2016-03-28 0 2472 2472 2472 0
2016-03-29 0 2472 2472 2472 0
2016-03-30 0 2472 2472 2472 0
2016-03-31 2265 2374 2265 2369 52
2016-04-01 0 2472 2472 2472 0
2016-04-05 0 2410 2410 2410 0
2016-04-06 2512 2512 2444 2444 8
2016-04-07 0 2512 2444 2461 0
2016-04-08 2430 2512 2430 2461 8
2016-04-11 2430 2430 2430 2430 2
2016-04-12 0 2484 2484 2484 0
2016-04-13 0 2484 2484 2484 0
2016-04-14 0 2484 2484 2484 0
2016-04-15 0 2484 2484 2484 0
2016-04-18 0 2484 2484 2484 0
2016-04-19 0 2484 2484 2484 0
2016-04-20 0 2484 2484 2484 0
2016-04-21 0 2484 2484 2484 0
2016-04-22 0 2484 2484 2484 0
2016-04-25 0 2484 2484 2484 0
2016-04-26 0 2484 2484 2484 0
2016-04-27 0 2484 2484 2484 0
2016-04-28 0 2484 2484 2484 0
2016-04-29 0 2499 2147 2499 0
2016-05-03 0 2380 2147 2380 0
2016-05-04 2147 2380 2147 2380 4
2016-05-05 2147 2380 2147 2380 0
2016-05-06 2450 2450 2355 2390 80
2016-05-09 2450 2450 2355 2390 0
2016-05-10 2339 2450 2339 2389 80
2016-05-11 2339 2339 2339 2339 2
2016-05-12 2339 2339 2339 2339 0
2016-05-13 2339 2339 2339 2339 2
2016-05-16 0 2340 2339 2340 0
2016-05-17 2230 2410 2230 2410 6
2016-05-18 2528 2528 2528 2528 4
2016-05-19 2562 2562 2560 2560 0
2016-05-20 2562 2562 2560 2561 6
2016-05-23 0 2562 2560 2561 0
2016-05-24 2533 2533 2433 2433 4
2016-05-25 2360 2607 2360 2601 22
2016-05-26 2630 2630 2360 2579 6
2016-05-27 2576 2576 2471 2575 8
2016-05-30 2553 2599 2471 2596 8
2016-05-31 2553 2599 2553 2596 0
2016-06-01 2567 2599 2553 2579 8
2016-06-02 2439 2599 2439 2567 8
2016-06-03 2599 2599 2598 2598 6
2016-06-06 2584 2620 2584 2594 20
2016-06-07 2608 2645 2608 2621 44
2016-06-08 2585 2641 2585 2613 8
2016-06-13 2500 2749 2500 2632 16
2016-06-14 2587 2617 2587 2617 6
2016-06-15 2568 2595 2568 2595 4
2016-06-16 2459 2612 2459 2592 10
2016-06-17 2486 2615 2615 2615 0
2016-06-20 2594 2598 2486 2593 14
2016-06-21 0 2617 2611 2617 0
2016-06-22 2511 2637 2511 2626 8
2016-06-23 0 2598 2593 2594 0
2016-06-24 0 2594 2594 2594 0
2016-06-27 0 2594 2594 2594 0
2016-06-28 2615 2624 2594 2598 10
2016-06-29 0 2624 2598 2598 0
2016-06-30 2615 2624 2598 2613 10
2016-07-01 2644 2644 2598 2631 18
2016-07-04 2635 2635 2550 2550 0
2016-07-05 2635 2635 2550 2592 32
2016-07-06 2635 2635 2550 2592 0
2016-07-07 2635 2635 2550 2592 32
2016-07-08 2635 2635 2550 2592 0
2016-07-11 2635 2635 2550 2592 32
2016-07-12 2635 2635 2550 2592 0
2016-07-13 2635 2635 2550 2592 32
2016-07-14 2635 2635 2550 2592 0
2016-07-15 2635 2635 2550 2592 32
2016-07-18 0 2592 2592 2592 0
2016-07-19 0 2592 2592 2592 0
2016-07-20 0 2592 2592 2592 0
2016-07-21 0 2592 2592 2592 0
2016-07-22 0 2592 2592 2592 0
2016-07-25 0 2592 2592 2592 0
2016-07-26 0 2592 2592 2592 0
2016-07-27 0 2592 2592 2592 0
2016-07-28 0 2592 2592 2592 0
2016-07-29 0 2592 2592 2592 0
2016-08-01 0 2592 2592 2592 0
2016-08-02 0 2592 2592 2592 0
2016-08-03 0 2592 2592 2592 0
2016-08-04 0 2592 2592 2592 0
2016-08-05 0 2592 2592 2592 0
2016-08-08 0 2592 2592 2592 0
2016-08-09 0 2592 2592 2592 0
2016-08-10 0 2592 2592 2592 0
2016-08-11 0 2592 2592 2592 0
2016-08-12 0 2592 2592 2592 0
2016-08-15 0 2592 2592 2592 0
2016-08-16 0 2592 2592 2592 0
2016-08-17 0 2592 2592 2592 0
2016-08-18 0 2592 2592 2592 0
2016-08-19 0 2592 2592 2592 0
2016-08-22 0 2592 2592 2592 0
2016-08-23 0 2592 2592 2592 0
2016-08-24 0 2592 2592 2592 0
2016-08-25 0 2592 2592 2592 0
2016-08-26 0 2592 2592 2592 0
2016-08-29 0 2592 2592 2592 0
2016-08-30 0 2592 2592 2592 0
2016-08-31 0 2592 2592 2592 0
2016-09-01 0 2592 2592 2592 0
2016-09-02 0 2592 2592 2592 0
2016-09-05 0 2592 2592 2592 0
2016-09-06 0 2592 2592 2592 0
2016-09-07 0 2592 2592 2592 0
2016-09-08 0 2592 2592 2592 0
2016-09-09 0 2592 2592 2592 0
2016-09-12 0 2592 2592 2592 0
2016-09-13 2607 2697 2584 2685 24
2016-09-14 0 2592 2592 2592 0
2016-09-19 0 2592 2592 2592 0
2016-09-20 0 2592 2592 2592 0
2016-09-21 0 2592 2592 2592 0
2016-09-22 0 2592 2592 2592 0
2016-09-23 0 2592 2592 2592 0
2016-09-26 0 2592 2592 2592 0
2016-09-27 0 2592 2592 2592 0
2016-09-28 0 2592 2592 2592 0
2016-09-29 0 2592 2592 2592 0
2016-09-30 0 2592 2592 2592 0
2016-10-10 0 2592 2592 2592 0
2016-10-11 0 2592 2592 2592 0
2016-10-12 0 2592 2592 2592 0
2016-10-13 0 2592 2592 2592 0
2016-10-14 0 2592 2592 2592 0
2016-10-17 0 2592 2592 2592 0
2016-10-18 0 2592 2592 2592 0
