date open high low close volume
2016-01-04 647 652 635 636 106882
2016-01-05 636 641 633.5 640 98744
2016-01-06 640 640 625 625.5 160180
2016-01-07 624 629 619 621 142258
2016-01-08 621 627 618 624 132160
2016-01-11 623 630 620.5 623.5 109482
2016-01-12 624 625 611 612.5 169100
2016-01-13 614 620 612.5 617 159480
2016-01-14 618 622 610 621 178218
2016-01-15 620 632 619.5 626.5 200056
2016-01-18 625 641 622.5 639 227946
2016-01-19 639 643 633.5 641.5 158360
2016-01-20 642 643 632 633.5 159460
2016-01-21 633 641 628 637 161820
2016-01-22 639 653 634 646 302786
2016-01-25 647 655 644 645 182216
2016-01-26 643 649 640.5 647.5 146142
2016-01-27 649 655 645 653 160500
2016-01-28 653 654 642.5 644.5 127382
2016-01-29 645 647 636.5 639.5 144602
2016-02-01 638 650 638 643 137850
2016-02-02 643 645 640.5 642 64974
2016-02-03 644 645 640.5 644.5 56478
2016-02-04 644 652 643.5 649.5 126700
2016-02-05 650 651 640 641.5 72672
2016-02-15 639 649 632 642 93436
2016-02-16 643 659 642.5 657 238846
2016-02-17 657 662 653 654 193194
2016-02-18 655 659 651 658 107708
2016-02-19 658 671 656 668 210776
2016-02-22 667 690 664 690 314672
2016-02-23 690 701 684.5 691.5 304090
2016-02-24 693 710 687.5 705.5 456038
2016-02-25 706 708 696.5 701 339488
2016-02-26 702 705 687.5 701.5 369686
2016-02-29 703 713 693 712 405854
2016-03-01 717 717 703.5 710 390972
2016-03-02 710 712 703.5 710 280908
2016-03-03 709 718 701.5 702 307740
2016-03-04 703 708 693 705.5 382976
2016-03-07 707 729 707 729 331190
2016-03-08 765 765 711 752 921452
2016-03-09 734.5 737 715.5 722 706954
2016-03-10 725 753 723 727 597090
2016-03-11 726 744 722.5 736.5 361312
2016-03-14 734 766 730.5 745 844846
2016-03-15 747 763 743 744 610466
2016-03-16 746 755 743.5 753.5 320642
2016-03-17 755 770 749 761 361594
2016-03-18 760 786 755.5 772.5 663158
2016-03-21 770 790 765 766 493760
