date open high low close volume
2016-01-04 567 570 554 555 148054
2016-01-05 556 562 554 561 116352
2016-01-06 560 562 550 551 166848
2016-01-07 550 556 546 550 140108
2016-01-08 550 553 543 551 180704
2016-01-11 551 555 545 550 169952
2016-01-12 550 552 533 535 210930
2016-01-13 534 541 524 529 320568
2016-01-14 528 532 520 531 263334
2016-01-15 531 537 527 528 195504
2016-01-18 527 545 524 542 264198
2016-01-19 543 546 533 543 251260
2016-01-20 543 545 534 537 182424
2016-01-21 537 538 530 531 196672
2016-01-22 532 548 531 545 251668
2016-01-25 547 552 543 545 214272
2016-01-26 544 553 540 551 181682
2016-01-27 554 563 551 560 220004
2016-01-28 561 562 552 552 153902
2016-01-29 554 558 549 555 139516
2016-02-01 555 564 554 558 155264
2016-02-02 558 559 553 558 105388
2016-02-03 559 561 555 559 91570
2016-02-04 568 568 562 564 104818
2016-02-05 565 565 556 558 75730
2016-02-15 556 567 553 558 69596
2016-02-16 559 572 558 566 185282
2016-02-17 566 572 561 563 157624
2016-02-18 565 570 562 568 74948
2016-02-19 568 579 564 571 204088
2016-02-22 572 594 569 594 309264
2016-02-23 595 607 591 600 301162
2016-02-24 602 614 598 612 593906
2016-02-25 612 615 603 608 417636
2016-02-26 609 610 593 606 369234
2016-02-29 607 613 596 612 326356
2016-03-01 615 620 606 613 293820
2016-03-02 613 614 602 608 306134
2016-03-03 606 613 600 602 270702
2016-03-04 603 603 583 591 458482
2016-03-07 597 617 595 616 341572
2016-03-08 644 645 599 622 839250
2016-03-09 612 619 599 600 446108
2016-03-10 607 623 594 601 554278
2016-03-11 602 619 599 612 359338
2016-03-14 611 634 606 614 611750
2016-03-15 615 620 610 613 209718
2016-03-16 613 622 612 613 184134
2016-03-17 614 628 603 623 320276
2016-03-18 622 642 620 633 292584
2016-03-21 633 646 624 624 278250
2016-03-22 626 634 623 627 158904
2016-03-23 628 642 621 622 241428
2016-03-24 621 624 609 609 179020
2016-03-25 609 617 607 616 105674
2016-03-28 619 626 610 610 171186
2016-03-29 613 616 608 611 92228
2016-03-30 613 618 604 609 104578
2016-03-31 618 643 617 642 344496
2016-04-01 643 657 642 656 635786
2016-04-06 653 669 652 655 537502
2016-04-07 655 662 644 654 605586
2016-04-08 652 658 646 655 533190
2016-04-11 658 679 657 674 866698
2016-04-12 675 697 672 696 693860
2016-04-13 700 725 689 711 1141994
2016-04-14 710 729 705 711 969904
2016-04-15 713 718 688 688 747594
2016-04-18 684 742 681 719.5 834378
2016-04-19 729 739 702.5 720 1273194
2016-04-20 724 759 714.5 755 1465558
2016-04-21 750 781 734 772.5 1127234
2016-04-22 777 800 752 765.5 1171816
2016-04-25 765 819 764 818.5 1273602
2016-04-26 819 838 773 797.5 1508004
2016-04-27 795 800 761 761 723502
2016-04-28 753 754 729.5 729.5 622330
2016-04-29 730 777 730 773.5 520316
2016-05-03 770 776 707.5 727 330438
2016-05-04 720 736 710 730.5 271030
2016-05-05 731 743 701 706.5 305054
2016-05-06 705 719 676 694.5 339832
2016-05-09 695 722 650.5 664 550702
2016-05-10 660 697 655 688.5 455944
2016-05-11 690 703 676.5 688 335300
2016-05-12 688 703 680 684 240462
2016-05-13 688 698 645 664.5 437634
2016-05-16 667 698 664 685.5 292688
2016-05-17 686 729 685.5 720 316176
2016-05-18 719 728 695.5 704 262868
2016-05-19 703 722 685 709 314302
2016-05-20 709 734 703.5 727.5 322722
2016-05-23 728 738 671.5 691.5 485986
2016-05-24 695 695 651.5 660 387760
2016-05-25 667 671 647.5 656 290192
2016-05-26 660 685 657 684 264898
2016-05-27 684 690 662 685 284806
2016-05-30 684 691 664 688.5 173640
2016-05-31 691 705 681.5 683 180108
2016-06-01 686 688 666 685.5 126038
2016-06-02 685 698 675.5 688 118964
2016-06-03 685 707 682.5 697.5 137908
2016-06-06 701 708 675.5 704.5 235644
2016-06-07 706 711 690.5 695 129028
2016-06-08 696 699 679 681 121726
2016-06-13 684 694 662 662.5 193878
2016-06-14 663 672 630.5 645 283406
2016-06-15 645 663 637.5 656 165038
2016-06-16 658 670 654 659 140286
2016-06-17 658 675 654.5 673.5 113250
2016-06-20 672 684 665 668 77252
2016-06-21 669 689 663.5 677.5 90438
2016-06-22 678 725 676.5 701.5 130488
2016-06-23 704 709 696 708 105896
2016-06-24 706 722 692 705.5 178772
2016-06-27 705 737 704 734 204594
2016-06-28 730 735 715.5 727 123960
2016-06-29 727 729 704 716 167588
2016-06-30 715 726 711 719 117800
2016-07-01 718 723 710 717 96088
2016-07-04 717 742 713 728.5 155870
2016-07-05 730 735 697 717 116260
2016-07-06 716 729 700.5 721 131104
2016-07-07 716 737 710 722 156094
2016-07-08 726 734 709 733.5 115270
2016-07-11 736 741 720 739 87992
2016-07-12 741 778 735 771.5 211974
2016-07-13 774 777 752.5 755 144008
2016-07-14 761 762 730 739.5 121026
2016-07-15 743 757 735 744.5 59248
2016-07-18 748 754 705.5 715 112530
2016-07-19 712 730 710 722.5 100050
2016-07-20 725 731 719 720.5 52650
2016-07-21 718 750 713 742.5 81812
2016-07-22 741 744 726 731 62926
2016-07-25 732 758 722 751 105802
2016-07-26 743 753 735 742 44884
2016-07-27 741 763 740 753.5 78418
2016-07-28 755 772 747 771 75896
2016-07-29 762 776 750.5 763.5 73112
2016-08-01 762 785 755.5 780 97314
2016-08-02 773 797 772.5 787 68560
2016-08-03 786 793 777.5 780.5 56180
2016-08-04 781 782 759 769.5 67078
2016-08-05 765 790 765 784.5 53184
2016-08-08 786 832 780 821 100552
2016-08-09 823 840 795 808.5 103774
2016-08-10 808 833 798.5 810 101326
2016-08-11 815 821 795 815 65344
2016-08-12 812 818 805 813 59484
2016-08-15 876 885 845 865 168618
2016-08-16 865 899 852.5 877 169712
2016-08-17 881 892 864 866 125268
2016-08-18 868 882 829 845 192764
2016-08-19 842 857 838.5 848.5 118548
2016-08-22 849 871 848 857.5 116328
2016-08-23 856 885 848 868.5 118678
2016-08-24 873 880 863 867 79054
2016-08-25 868 878 840 859 168716
2016-08-26 860 871 846.5 861.5 119940
2016-08-29 860 876 839.5 874 186142
2016-08-30 874 888 869 883 210532
2016-08-31 886 895 854 859.5 295310
2016-09-01 860 880 840 876.5 282356
2016-09-02 878 913 872 901 363796
2016-09-05 903 944 902 936.5 304790
2016-09-06 940 947 929.5 946 199054
2016-09-07 946 949 895 903.5 429294
2016-09-08 900 920 883 909.5 372742
2016-09-09 910 915 884 902 324686
2016-09-12 902 906 862 865.5 303924
2016-09-13 868 882 846 855 275244
2016-09-14 855 871 850 866.5 196344
2016-09-19 862 894 851.5 891.5 172494
2016-09-20 890 939 887 926.5 347464
2016-09-21 927 945 914 931.5 312300
2016-09-22 932 965 916 921.5 432164
2016-09-23 922 945 909 943 400418
2016-09-26 943 973 937.5 963 372714
2016-09-27 964 969 944 960.5 299508
2016-09-28 960 972 940 970.5 304890
2016-09-29 967 1020 967 999.5 443270
2016-09-30 1000 1016 988.5 1011.5 293422
