date open high low close volume
2016-01-04 8075 8095 7960 8030 1096256
2016-01-05 8010 8145 7980 8050 1025808
2016-01-06 8020 8070 7940 7970 1148230
2016-01-07 7905 7955 7810 7895 957560
2016-01-08 7910 7940 7840 7905 860966
2016-01-11 7865 7875 7760 7850 1024802
2016-01-12 7790 7885 7745 7875 1227180
2016-01-13 7875 7890 7710 7800 1360308
2016-01-14 7780 7835 7740 7795 953256
2016-01-15 7815 7845 7755 7820 936456
2016-01-18 7765 8045 7740 8035 1492578
2016-01-19 8010 8280 8005 8275 1361454
2016-01-20 8205 8240 8155 8210 1044442
2016-01-21 8210 8285 8155 8200 1145412
2016-01-22 8280 8340 8195 8225 1014620
2016-01-25 8260 8270 8160 8205 777508
2016-01-26 8160 8350 8150 8350 1059276
2016-01-27 8370 8500 8355 8470 1345184
2016-01-28 8465 8485 8390 8415 879260
2016-01-29 8425 8425 8310 8410 970698
2016-02-01 8425 8475 8360 8380 918766
2016-02-02 8375 8490 8340 8465 1007642
2016-02-03 8425 8515 8410 8490 794146
2016-02-04 8540 8710 8520 8700 894438
2016-02-05 8645 8695 8590 8685 646356
2016-02-15 8625 8735 8560 8625 756280
2016-02-16 8645 8650 8550 8615 748270
2016-02-17 8600 8630 8485 8530 763928
2016-02-18 8555 8605 8530 8580 505838
2016-02-19 8565 8870 8505 8845 1615470
2016-02-22 8870 8950 8740 8770 1092360
2016-02-23 8785 8820 8730 8780 754440
2016-02-24 8745 8870 8735 8840 933270
2016-02-25 8875 9010 8825 8885 1188700
2016-02-26 8850 8875 8740 8820 1228444
2016-02-29 8820 8920 8760 8875 1218468
2016-03-01 8930 9035 8860 9000 1305668
2016-03-02 8960 9095 8940 9035 1206872
2016-03-03 9050 9110 8970 9015 897014
2016-03-04 9055 9275 9050 9150 1529002
2016-03-07 9400 9480 9000 9010 1696840
2016-03-08 9045 9095 8765 9020 1361628
2016-03-09 8860 9275 8820 9210 1383218
2016-03-10 9280 9305 8860 8880 1169814
2016-03-11 8860 9000 8850 8905 838778
2016-03-14 8925 8960 8690 8720 1140238
2016-03-15 8750 8855 8725 8800 875738
2016-03-16 8870 9175 8855 9145 1320494
2016-03-17 9200 9385 9200 9380 979274
2016-03-18 9470 9545 9370 9525 1197942
2016-03-21 9480 9630 9430 9535 991700
2016-03-22 9555 9570 9190 9230 1352510
2016-03-23 9240 9375 9175 9235 830374
2016-03-24 9150 9385 9115 9240 958376
2016-03-25 8610 8745 8605 8725 486212
2016-03-28 8780 8800 8495 8565 526468
2016-03-29 8570 8610 8410 8435 745440
2016-03-30 8475 8535 8375 8475 683976
2016-03-31 8450 8585 8385 8575 1059860
2016-04-01 8600 8825 8550 8775 1013148
2016-04-06 8615 8635 8355 8395 1084802
2016-04-07 8450 8470 8290 8295 937272
2016-04-08 8260 8340 8195 8335 987092
2016-04-11 8450 8465 8275 8340 1278882
2016-04-12 8360 8405 8235 8375 924562
2016-04-13 8495 8665 8240 8245 1743216
2016-04-14 8230 8375 8205 8355 998060
2016-04-15 8380 8470 8295 8335 1116096
2016-04-18 8210 8410 8205 8325 979432
2016-04-19 8410 8440 8135 8225 1280926
2016-04-20 8280 8325 8150 8210 1184994
2016-04-21 8290 8645 8270 8600 1945914
2016-04-22 8460 8585 8395 8475 1102282
2016-04-25 8455 8780 8425 8730 1415372
2016-04-26 8750 8945 8635 8770 1131962
2016-04-27 8845 8985 8635 8685 997982
2016-04-28 8650 8755 8555 8635 732764
2016-04-29 8710 8760 8555 8595 725234
2016-05-03 8515 8560 8290 8320 720778
2016-05-04 8280 8345 8250 8290 541680
2016-05-05 8345 8345 8170 8210 609982
2016-05-06 8100 8255 8055 8145 633006
2016-05-09 8195 8205 7900 8070 896826
2016-05-10 8025 8200 7950 8165 855686
2016-05-11 8210 8260 8140 8175 570372
2016-05-12 8205 8280 8125 8205 598256
2016-05-13 8100 8190 7980 8155 908082
2016-05-16 8155 8185 7870 7905 914904
2016-05-17 7945 7995 7900 7970 619398
2016-05-18 8000 8100 7880 7935 719624
2016-05-19 7895 8000 7850 7915 634530
2016-05-20 7970 8035 7920 7965 513356
2016-05-23 7850 7945 7760 7850 757888
2016-05-24 7850 7975 7825 7940 555062
2016-05-25 7995 8095 7960 8000 638964
2016-05-26 8040 8085 7960 7995 596938
2016-05-27 7960 7960 7825 7835 669076
2016-05-30 7830 8040 7800 8025 525392
2016-05-31 8040 8150 8005 8105 518504
2016-06-01 8075 8140 8005 8035 422890
2016-06-02 8075 8100 7910 7960 492056
2016-06-03 7985 8135 7975 8135 493440
2016-06-06 8140 8200 8115 8160 454806
2016-06-07 8170 8175 8080 8145 325436
2016-06-08 8105 8255 8095 8175 408508
2016-06-13 8145 8345 8105 8340 437766
2016-06-14 8350 8370 8235 8255 488288
2016-06-15 8220 8410 8200 8390 533482
2016-06-16 8360 8510 8355 8470 564062
2016-06-17 8430 8675 8390 8650 627492
2016-06-20 8690 8790 8635 8780 535094
2016-06-21 8765 8850 8680 8755 651458
2016-06-22 8780 8870 8705 8855 537674
2016-06-23 8850 8885 8780 8835 464488
2016-06-24 8800 8950 8780 8875 785462
2016-06-27 8870 9155 8860 9080 943940
2016-06-28 9055 9280 8980 9215 666338
2016-06-29 9215 9230 8895 8905 853690
2016-06-30 8930 9260 8890 8915 1159030
2016-07-01 8905 9115 8810 9055 776998
2016-07-04 9175 9435 9120 9435 723662
2016-07-05 9330 9565 9150 9515 1238200
2016-07-06 9250 9475 9205 9405 1161354
2016-07-07 9450 9540 9345 9400 739716
2016-07-08 9230 9240 8995 9010 869502
2016-07-11 9035 9140 8950 9095 527926
2016-07-12 9080 9345 9060 9315 589034
2016-07-13 9380 9420 9090 9115 740420
2016-07-14 9075 9270 9020 9190 758252
2016-07-15 9160 9190 9010 9130 567424
2016-07-18 9070 9230 8920 9010 572708
2016-07-19 9030 9045 8765 8845 622486
2016-07-20 8850 8910 8770 8875 425988
2016-07-21 8915 9050 8870 9020 428408
2016-07-22 8975 9105 8955 9020 422630
2016-07-25 8680 8710 8530 8575 153042
2016-07-26 8525 8530 8345 8415 272740
2016-07-27 8460 8500 8370 8425 180796
2016-07-28 8410 8810 8400 8805 379346
2016-07-29 8795 8810 8680 8750 254068
2016-08-01 8850 9115 8825 9060 405212
2016-08-02 9005 9160 8845 8885 630172
2016-08-03 8840 8985 8840 8975 504810
2016-08-04 9030 9050 8800 8900 454854
2016-08-05 8955 9120 8925 9085 514182
2016-08-08 9100 9145 8920 9070 519952
2016-08-09 9075 9180 8980 9050 633762
2016-08-10 9040 9100 8825 8905 614314
2016-08-11 8850 8960 8775 8890 464312
2016-08-12 8960 8975 8860 8900 299916
2016-08-15 8880 9075 8845 8970 420172
2016-08-16 9000 9040 8855 8910 418652
2016-08-17 8930 8935 8835 8840 357212
2016-08-18 8855 9060 8830 8950 527020
2016-08-19 8985 9085 8935 9025 431020
2016-08-22 9025 9040 8880 8915 350826
2016-08-23 8950 9115 8910 9105 419328
2016-08-24 9120 9270 9045 9060 761252
2016-08-25 9005 9120 8960 9080 487978
2016-08-26 9090 9150 9040 9110 458692
2016-08-29 9100 9130 8785 8795 758262
2016-08-30 8795 8850 8730 8755 494440
2016-08-31 8755 8820 8720 8795 401438
2016-09-01 8790 8820 8685 8735 485448
2016-09-02 8750 8800 8700 8730 476926
2016-09-05 8760 8825 8630 8655 504608
2016-09-06 8665 8860 8655 8835 582312
2016-09-07 8840 8880 8790 8865 372134
2016-09-08 8865 9015 8840 9005 620034
2016-09-09 9020 9045 8950 8980 412668
2016-09-12 8950 8975 8715 8740 655782
2016-09-13 8770 8795 8705 8745 367338
2016-09-14 8730 8820 8690 8750 380338
2016-09-19 8710 8780 8680 8730 349738
2016-09-20 8740 8795 8640 8715 526398
2016-09-21 8750 8785 8685 8705 459858
2016-09-22 8735 8795 8570 8625 879274
2016-09-23 8630 8645 8520 8585 522324
2016-09-26 8610 8635 8550 8590 307886
2016-09-27 8610 8675 8535 8635 408110
2016-09-28 8635 8675 8610 8660 269746
2016-09-29 8730 8875 8695 8745 528332
2016-09-30 8750 8810 8730 8800 201660
2016-10-10 8980 9195 8960 9170 532374
2016-10-11 9260 9345 9205 9285 517602
2016-10-12 9265 9335 9225 9330 319846
2016-10-13 9300 9315 9165 9265 490960
2016-10-14 9285 9325 9180 9285 454306
2016-10-17 9300 9420 9205 9245 491848
2016-10-18 9220 9500 9155 9495 525090
2016-10-19 9550 9580 9365 9460 468804
2016-10-20 9475 9580 9420 9435 376528
2016-10-21 9380 9510 9350 9485 338970
2016-10-24 9490 9660 9460 9610 384694
2016-10-25 9625 9935 9610 9675 635252
2016-10-26 9615 9670 9525 9625 439698
2016-10-27 9645 9660 9545 9565 336396
2016-10-28 9595 9895 9565 9870 519192
