date open high low close volume
2016-01-04 2370 2377 2321 2326 1335646
2016-01-05 2328 2347 2325 2343 1139054
2016-01-06 2344 2352 2327 2347 1367216
2016-01-07 2344 2386 2339 2376 1975726
2016-01-08 2373 2407 2363 2404 1978374
2016-01-11 2406 2413 2377 2383 1490070
2016-01-12 2383 2397 2372 2378 1498406
2016-01-13 2380 2413 2376 2382 1877026
2016-01-14 2386 2415 2376 2406 1860008
2016-01-15 2406 2416 2395 2404 1355476
2016-01-18 2396 2462 2394 2458 2383820
2016-01-19 2458 2470 2450 2462 1453138
2016-01-20 2462 2471 2440 2453 1575738
2016-01-21 2448 2452 2419 2425 1485312
2016-01-22 2428 2459 2425 2452 1164004
2016-01-25 2452 2463 2428 2434 1147520
2016-01-26 2432 2453 2423 2443 839828
2016-01-27 2440 2452 2428 2448 1050482
2016-01-28 2446 2460 2435 2443 1263326
2016-01-29 2442 2444 2411 2419 1063362
2016-02-01 2422 2451 2416 2444 822598
2016-02-02 2440 2461 2437 2456 675808
2016-02-03 2450 2457 2439 2453 738972
2016-02-04 2451 2457 2437 2445 746966
2016-02-05 2445 2449 2425 2437 630870
2016-02-15 2428 2445 2417 2421 390118
2016-02-16 2420 2443 2405 2410 1089252
2016-02-17 2410 2420 2382 2383 1084588
2016-02-18 2383 2399 2379 2383 907500
2016-02-19 2384 2404 2376 2393 1213280
2016-02-22 2388 2411 2387 2402 825530
2016-02-23 2404 2415 2382 2385 843964
2016-02-24 2388 2390 2340 2355 1844618
2016-02-25 2351 2358 2333 2344 898664
2016-02-26 2347 2357 2325 2330 955594
2016-02-29 2330 2339 2288 2301 1441490
2016-03-01 2302 2316 2294 2312 927854
2016-03-02 2317 2335 2305 2309 1262446
2016-03-03 2287 2310 2280 2304 531814
2016-03-04 2301 2332 2300 2331 677346
2016-03-07 2338 2396 2334 2357 1617010
2016-03-08 2357 2372 2317 2323 1152860
2016-03-09 2326 2337 2307 2317 874140
2016-03-10 2322 2329 2299 2303 959714
2016-03-11 2306 2317 2277 2308 1168022
2016-03-14 2311 2326 2307 2309 940512
2016-03-15 2308 2333 2297 2306 1312680
2016-03-16 2301 2311 2288 2295 943644
2016-03-17 2293 2313 2287 2311 1001444
2016-03-18 2315 2340 2311 2331 2073382
2016-03-21 2328 2338 2310 2328 1454114
2016-03-22 2329 2364 2327 2355 2041412
2016-03-23 2358 2391 2351 2357 2439888
2016-03-24 2348 2385 2341 2362 2463374
2016-03-25 2360 2401 2351 2399 2748008
2016-03-28 2403 2407 2366 2368 2350692
2016-03-29 2372 2375 2346 2353 2152844
2016-03-30 2354 2370 2348 2363 1686342
2016-03-31 2368 2371 2326 2331 1930872
2016-04-01 2334 2358 2324 2340 1822526
2016-04-05 2299 2318 2290 2316 61454
2016-04-06 2349 2368 2337 2343 1666084
2016-04-07 2340 2356 2335 2342 1203654
2016-04-08 2347 2351 2325 2326 1254452
2016-04-11 2331 2375 2330 2362 2287002
2016-04-12 2366 2405 2360 2404 2929244
2016-04-13 2409 2470 2407 2445 3955702
2016-04-14 2448 2492 2443 2465 3333270
2016-04-15 2461 2483 2454 2473 2903132
2016-04-18 2465 2535 2450 2519 4196672
2016-04-19 2515 2528 2502 2518 2791206
2016-04-20 2526 2613 2524 2586 5584146
2016-04-21 2578 2680 2563 2680 4500404
2016-04-22 2668 2710 2573 2589 5148334
2016-04-25 2591 2647 2534 2571 4073896
2016-04-26 2570 2643 2558 2615 4014198
2016-04-27 2626 2655 2598 2627 4263234
2016-04-28 2632 2639 2581 2629 3509610
