date open high low close volume
2016-01-04 5696 5726 5626 5656 68736
2016-01-05 5648 5700 5638 5696 58130
2016-01-06 5692 5694 5622 5632 63920
2016-01-07 5606 5666 5606 5624 61236
2016-01-08 5616 5656 5610 5622 52940
2016-01-11 5622 5626 5576 5584 102906
2016-01-12 5578 5596 5528 5534 86410
2016-01-13 5542 5560 5528 5540 52442
2016-01-14 5554 5568 5520 5540 72796
2016-01-15 5538 5560 5520 5538 51704
2016-01-18 5522 5584 5516 5568 76596
2016-01-19 5570 5602 5556 5582 59874
2016-01-20 5592 5608 5536 5548 69928
2016-01-21 5548 5568 5530 5532 112590
2016-01-22 5536 5576 5532 5572 69220
2016-01-25 5580 5598 5556 5574 47806
2016-01-26 5560 5596 5556 5580 51086
2016-01-27 5588 5594 5556 5584 57446
2016-01-28 5590 5594 5560 5568 44312
2016-01-29 5572 5584 5540 5546 74066
2016-02-01 5550 5572 5540 5546 47436
2016-02-02 5550 5580 5536 5578 46346
2016-02-03 5584 5588 5542 5552 46072
2016-02-04 5562 5580 5536 5570 48494
2016-02-05 5568 5586 5554 5576 40814
2016-02-15 5610 5680 5608 5642 70424
2016-02-16 5636 5650 5606 5626 68664
2016-02-17 5614 5624 5596 5612 39574
2016-02-18 5620 5648 5612 5622 38936
2016-02-19 5616 5620 5580 5588 79014
2016-02-22 5572 5600 5560 5592 71712
2016-02-23 5588 5592 5550 5560 52836
2016-02-24 5558 5576 5516 5526 67918
2016-02-25 5510 5538 5492 5514 36824
2016-02-26 5520 5520 5482 5494 69124
2016-02-29 5494 5510 5452 5492 56896
2016-03-01 5494 5500 5454 5484 49452
2016-03-02 5496 5518 5440 5458 82530
2016-03-03 5448 5480 5444 5468 59212
2016-03-04 5478 5510 5474 5494 72976
2016-03-07 5498 5604 5492 5558 100510
2016-03-08 5684 5724 5640 5644 80830
2016-03-09 5656 5660 5592 5660 49664
2016-03-10 5666 5696 5638 5640 69388
2016-03-11 5642 5794 5630 5760 125418
2016-03-14 5760 5826 5750 5770 114574
2016-03-15 5778 5790 5732 5750 105600
2016-03-16 5752 5796 5728 5750 82036
2016-03-17 5754 5868 5752 5856 114100
2016-03-18 5864 5930 5850 5896 112400
2016-03-21 5900 5974 5852 5938 108164
2016-03-22 5942 6000 5924 5980 91584
2016-03-23 5982 6014 5922 5928 80362
2016-03-24 5926 5926 5844 5854 94270
2016-03-25 5850 5930 5824 5920 78846
2016-03-28 5922 5960 5878 5902 83558
2016-03-29 5916 5940 5866 5894 70442
2016-03-30 5916 5932 5816 5850 95688
2016-03-31 5840 5880 5822 5862 57282
2016-04-01 5860 5974 5832 5966 105270
2016-04-06 5932 5940 5870 5890 70828
2016-04-07 5878 5950 5866 5924 84130
2016-04-08 5912 5914 5870 5886 63228
2016-04-11 5880 6050 5876 5972 216074
2016-04-12 5976 6026 5932 5972 165618
2016-04-13 5970 6132 5946 6012 224172
2016-04-14 6000 6066 5996 6062 132280
2016-04-15 6068 6098 5990 5998 138344
2016-04-18 5982 6008 5930 5994 174974
2016-04-19 6018 6090 6012 6066 145678
2016-04-20 6080 6228 6072 6166 221870
2016-04-21 6150 6382 6102 6310 305322
2016-04-22 6302 6336 6140 6234 298832
2016-04-25 6192 6296 6122 6202 232840
2016-04-26 6196 6272 6160 6194 198230
2016-04-27 6208 6238 6162 6186 152760
2016-04-28 6160 6180 6024 6070 208136
2016-04-29 6082 6118 6006 6006 156406
2016-05-03 5650 5814 5640 5686 754
2016-05-04 6022 6096 5988 6084 211156
2016-05-05 6104 6130 6056 6074 152286
2016-05-06 6100 6110 5916 5978 175114
2016-05-09 5980 6148 5980 6112 204368
2016-05-10 6096 6148 6022 6118 220128
2016-05-11 6118 6320 6092 6286 264696
2016-05-12 6266 6302 6174 6240 220860
2016-05-13 6238 6288 5986 5986 390118
2016-05-16 5972 6076 5962 6002 232222
2016-05-17 6038 6136 6024 6132 127800
2016-05-18 6116 6294 6038 6122 358106
2016-05-19 6120 6200 6072 6074 259474
2016-05-20 6024 6072 6004 6038 172898
2016-05-23 6056 6072 5832 5856 292524
2016-05-24 5870 5908 5812 5872 202828
2016-05-25 5878 5916 5830 5852 127490
2016-05-26 5896 5986 5888 5974 137236
2016-05-27 5978 6000 5902 5946 108232
2016-05-30 5948 6106 5922 6096 213172
2016-05-31 6108 6200 6058 6060 231142
2016-06-01 6090 6118 6052 6086 132142
2016-06-02 6060 6144 6014 6122 162176
2016-06-03 6144 6280 6130 6276 214106
2016-06-06 6288 6350 6266 6320 170406
2016-06-07 6330 6396 6258 6386 192014
2016-06-08 6342 6368 6274 6318 127588
2016-06-13 6390 6400 6254 6272 102794
2016-06-14 6264 6308 6176 6210 137176
2016-06-15 6210 6282 6158 6170 129286
2016-06-16 6182 6198 6076 6090 124898
2016-06-17 6100 6100 5992 6086 158840
2016-06-20 6100 6132 6054 6102 117490
2016-06-21 6090 6182 6064 6078 137402
2016-06-22 6060 6152 6030 6134 102734
2016-06-23 6120 6172 6092 6110 103428
2016-06-24 6122 6156 6032 6036 140628
2016-06-27 6026 6146 6012 6144 99934
2016-06-28 6128 6220 6120 6196 146358
2016-06-29 6200 6232 6142 6172 107578
2016-06-30 6160 6246 6150 6240 136966
2016-07-01 6250 6336 6200 6278 168320
2016-07-04 6418 6676 6418 6676 114656
2016-07-05 6700 6860 6422 6666 329942
2016-07-06 6672 6726 6418 6418 202480
2016-07-07 6370 6434 6278 6322 187098
2016-07-08 6368 6424 6252 6328 143908
2016-07-11 6364 6408 6302 6392 105652
2016-07-12 6418 6442 6308 6342 117558
2016-07-13 6334 6548 6320 6488 173768
2016-07-14 6528 6538 6408 6518 191798
2016-07-15 6532 6536 6418 6494 159746
2016-07-18 6468 6596 6434 6482 325298
2016-07-19 6472 6500 6380 6432 208136
2016-07-20 6444 6492 6364 6492 204588
2016-07-21 6486 6534 6462 6490 200414
2016-07-22 6502 6520 6366 6396 172312
2016-07-25 6380 6398 6280 6324 164244
2016-07-26 6300 6312 6220 6264 132022
2016-07-27 6262 6326 6234 6248 137294
2016-07-28 6262 6290 6192 6198 147044
2016-07-29 6186 6238 6142 6146 166676
2016-08-01 6158 6276 6148 6252 149672
2016-08-02 6248 6266 6208 6258 121886
2016-08-03 6258 6300 6232 6268 100264
2016-08-04 6324 6348 6240 6288 99574
2016-08-05 6310 6316 6228 6244 106594
2016-08-08 6248 6306 6222 6292 100898
2016-08-09 6300 6342 6260 6318 130354
2016-08-10 6310 6338 6274 6290 88554
2016-08-11 6336 6336 6212 6216 114508
2016-08-12 6216 6262 6210 6252 94812
2016-08-15 6242 6424 6220 6404 190470
2016-08-16 6418 6444 6376 6438 149288
2016-08-17 6440 6496 6390 6464 157286
2016-08-18 6488 6518 6454 6466 143454
2016-08-19 6450 6538 6436 6538 141844
2016-08-22 6518 6534 6428 6432 137156
2016-08-23 6420 6446 6406 6420 101702
2016-08-24 6440 6530 6436 6508 157266
2016-08-25 6512 6514 6322 6382 185090
2016-08-26 6370 6378 6310 6344 99762
2016-08-29 6358 6386 6326 6338 88006
2016-08-30 6330 6372 6310 6354 68996
2016-08-31 6348 6400 6200 6218 190280
2016-09-01 6208 6242 6182 6212 93536
2016-09-02 6216 6258 6204 6230 87562
2016-09-05 6248 6300 6240 6264 112790
2016-09-06 6270 6306 6266 6278 108674
2016-09-07 6262 6302 6242 6284 101452
2016-09-08 6280 6314 6246 6286 103234
2016-09-09 6296 6330 6282 6330 103726
2016-09-12 6322 6328 6196 6198 126540
2016-09-13 6200 6236 6170 6232 115654
2016-09-14 6200 6204 6098 6104 127478
2016-09-19 6148 6190 6136 6184 70856
2016-09-20 6200 6404 6198 6390 220016
2016-09-21 6368 6390 6336 6356 134234
2016-09-22 6340 6428 6332 6370 149722
2016-09-23 6398 6442 6372 6422 131694
2016-09-26 6398 6488 6368 6460 140330
2016-09-27 6452 6472 6364 6406 96006
2016-09-28 6376 6384 6304 6326 112260
2016-09-29 6330 6372 6298 6322 102196
2016-09-30 6336 6348 6262 6308 97780
2016-10-10 6252 6290 6228 6256 89222
2016-10-11 6246 6392 6244 6380 148008
2016-10-12 6378 6472 6352 6422 217052
2016-10-13 6432 6526 6376 6386 241752
2016-10-14 6382 6514 6322 6510 179846
2016-10-17 6520 6670 6510 6670 100426
2016-10-18 6780 6886 6756 6822 494776
2016-10-19 6770 6980 6694 6948 478362
2016-10-20 6946 7066 6902 6906 641318
2016-10-21 6914 6922 6782 6842 538686
2016-10-24 6860 6990 6818 6974 467484
2016-10-25 7020 7144 6936 6950 628968
2016-10-26 6950 7016 6872 6988 430834
2016-10-27 6986 7008 6888 6892 307794
