date open high low close volume
2016-01-04 4850 4930 4764 4804 1175296
2016-01-05 4790 4840 4782 4836 1356374
2016-01-06 4830 4842 4722 4724 1517222
2016-01-07 4732 4768 4682 4732 1648008
2016-01-08 4730 4778 4698 4728 1410710
2016-01-11 4740 4750 4662 4694 1483374
2016-01-12 4680 4702 4612 4624 1350496
2016-01-13 4634 4674 4626 4630 1116442
2016-01-14 4660 4684 4620 4640 1229900
2016-01-15 4626 4676 4612 4654 1053500
2016-01-18 4646 4724 4630 4696 1368502
2016-01-19 4690 4730 4676 4710 1077016
2016-01-20 4718 4740 4630 4632 1108754
2016-01-21 4632 4650 4540 4560 1642328
2016-01-22 4562 4642 4558 4632 1303448
2016-01-25 4650 4684 4642 4658 866604
2016-01-26 4648 4696 4638 4692 1030528
2016-01-27 4700 4750 4686 4750 1084532
2016-01-28 4748 4772 4734 4742 943498
2016-01-29 4740 4776 4690 4704 1061744
2016-02-01 4702 4726 4692 4720 715954
2016-02-02 4714 4780 4702 4778 706536
2016-02-03 4780 4784 4738 4768 700608
2016-02-04 4770 4814 4764 4792 554480
2016-02-05 4790 4848 4774 4834 488836
2016-02-15 4930 5042 4888 4998 751468
2016-02-16 4980 5030 4966 4988 818834
2016-02-17 4974 4986 4938 4970 701982
2016-02-18 4990 5050 4986 5000 1054656
2016-02-19 5006 5036 4974 5034 961806
2016-02-22 5000 5086 4986 5072 1095094
2016-02-23 5044 5050 4978 5010 893020
2016-02-24 5000 5022 4884 4902 1130490
2016-02-25 4882 4960 4878 4926 913056
2016-02-26 4932 4942 4886 4934 880508
2016-02-29 4928 4982 4892 4948 1009136
2016-03-01 4948 4962 4906 4952 883994
2016-03-02 4962 5022 4908 4918 1279460
2016-03-03 4900 4966 4864 4962 1197592
2016-03-04 4970 5072 4970 5054 1380220
2016-03-07 5050 5168 5008 5112 1315460
2016-03-08 5108 5184 5050 5102 1349814
2016-03-09 5110 5142 5034 5142 755170
2016-03-10 5152 5192 5062 5070 878500
2016-03-11 5072 5156 5048 5118 660144
2016-03-14 5140 5214 5130 5144 697624
2016-03-15 5198 5244 5168 5178 855650
2016-03-16 5192 5248 5162 5172 1030674
2016-03-17 5204 5318 5192 5316 1138352
2016-03-18 5320 5388 5314 5344 1078110
2016-03-21 5350 5394 5306 5384 884040
2016-03-22 5380 5496 5376 5460 1671076
2016-03-23 5450 5516 5408 5410 1304558
2016-03-24 5404 5416 5328 5354 1142368
2016-03-25 5338 5494 5338 5484 1402500
2016-03-28 5498 5552 5464 5488 1488476
2016-03-29 5512 5572 5502 5540 1434356
2016-03-30 5570 5584 5474 5506 1614498
2016-03-31 5494 5528 5448 5528 1293100
2016-04-01 5498 5616 5474 5584 1399722
2016-04-06 5572 5584 5504 5518 1023360
2016-04-07 5504 5554 5482 5534 832794
2016-04-08 5522 5524 5440 5462 967898
2016-04-11 5450 5562 5418 5434 1492044
2016-04-12 5434 5468 5410 5450 1084424
2016-04-13 5432 5642 5430 5516 1619588
2016-04-14 5504 5588 5504 5548 953266
2016-04-15 5556 5594 5510 5522 933980
2016-04-18 5510 5584 5492 5582 1142056
2016-04-19 5610 5694 5598 5686 1310328
2016-04-20 5692 5850 5678 5766 1535476
2016-04-21 5744 5924 5704 5846 1443360
2016-04-22 5850 5866 5660 5700 1204378
2016-04-25 5700 5800 5646 5684 962604
2016-04-26 5658 5738 5616 5662 1052916
2016-04-27 5690 5696 5594 5618 800674
2016-04-28 5584 5592 5428 5462 1180184
2016-04-29 5480 5520 5402 5450 924012
2016-05-03 5400 5486 5394 5440 775896
2016-05-04 5398 5462 5328 5444 1200704
2016-05-05 5472 5510 5436 5458 858278
2016-05-06 5480 5502 5276 5352 1042572
2016-05-09 5388 5532 5378 5506 1401508
2016-05-10 5490 5504 5364 5488 1268328
2016-05-11 5470 5626 5442 5544 1358460
2016-05-12 5520 5522 5374 5378 1332716
2016-05-13 5352 5392 5214 5214 1077738
2016-05-16 5104 5252 5104 5176 1057704
2016-05-17 5200 5278 5200 5268 776014
2016-05-18 5258 5336 5120 5174 1369028
2016-05-19 5170 5226 5108 5112 1010576
2016-05-20 5052 5164 5036 5146 750316
2016-05-23 5150 5170 4932 4990 965802
2016-05-24 5000 5084 4980 5058 830054
2016-05-25 5060 5090 5032 5074 656106
2016-05-26 5120 5212 5120 5208 823516
2016-05-27 5250 5254 5118 5228 828580
2016-05-30 5204 5288 5192 5284 648636
2016-05-31 5268 5326 5200 5204 656092
2016-06-01 5246 5292 5224 5246 734992
2016-06-02 5210 5334 5170 5312 871652
2016-06-03 5330 5380 5312 5366 758114
2016-06-06 5388 5410 5318 5394 575278
2016-06-07 5398 5494 5356 5490 875390
2016-06-08 5430 5444 5346 5394 796322
2016-06-13 5436 5452 5248 5250 708480
2016-06-14 5230 5278 5160 5170 761986
2016-06-15 5160 5192 5078 5086 731046
2016-06-16 5106 5128 5042 5054 659596
2016-06-17 5040 5110 4998 5096 644638
2016-06-20 5118 5148 5076 5114 576050
2016-06-21 5086 5144 5030 5048 891504
2016-06-22 5012 5124 5008 5110 653962
2016-06-23 5108 5156 5052 5076 732928
2016-06-24 5096 5126 5000 5022 810070
2016-06-27 5008 5138 5000 5130 528364
2016-06-28 5100 5242 5096 5226 871886
2016-06-29 5234 5252 5126 5172 713368
2016-06-30 5160 5244 5118 5230 897430
2016-07-01 5222 5298 5208 5224 858536
2016-07-04 5232 5446 5216 5336 1259318
2016-07-05 5364 5408 5116 5270 1167922
2016-07-06 5218 5246 5032 5032 339404
2016-07-07 4990 5006 4852 4856 396732
2016-07-08 4894 4946 4776 4842 428712
2016-07-11 4858 4942 4842 4924 303438
2016-07-12 4926 4958 4850 4878 386808
2016-07-13 4850 4990 4838 4938 426572
2016-07-14 4950 5000 4874 4994 492696
2016-07-15 5012 5068 4956 5052 654578
2016-07-18 5050 5108 5010 5082 594454
2016-07-19 5070 5094 4984 5050 578946
2016-07-20 5064 5152 5024 5130 870376
2016-07-21 5112 5132 5072 5080 716254
2016-07-22 5080 5106 4930 4948 883846
2016-07-25 4922 4962 4886 4908 580694
2016-07-26 4876 4918 4844 4902 545940
2016-07-27 4918 4972 4906 4950 601798
2016-07-28 4956 4966 4910 4922 512592
2016-07-29 4910 5030 4880 4988 953886
2016-08-01 4992 5134 4992 5108 787964
2016-08-02 5100 5136 5024 5116 884424
2016-08-03 5120 5192 5088 5162 1023008
2016-08-04 5220 5246 5140 5220 1104760
2016-08-05 5230 5236 5166 5180 934776
2016-08-08 5166 5234 5122 5216 798852
2016-08-09 5216 5326 5208 5314 893980
2016-08-10 5298 5338 5262 5294 838610
2016-08-11 5348 5362 5222 5228 957286
2016-08-12 5238 5346 5230 5336 894656
2016-08-15 5328 5488 5294 5488 1281106
2016-08-16 5500 5544 5486 5498 882340
2016-08-17 5496 5594 5466 5564 1167370
2016-08-18 5600 5606 5546 5572 1073340
2016-08-19 5550 5596 5516 5570 986022
2016-08-22 5546 5584 5480 5496 953410
2016-08-23 5478 5526 5460 5508 829816
2016-08-24 5532 5632 5524 5612 1205392
2016-08-25 5604 5616 5446 5530 1314670
2016-08-26 5518 5522 5404 5474 1119344
2016-08-29 5490 5538 5444 5464 1008534
2016-08-30 5428 5490 5426 5446 909550
2016-08-31 5446 5464 5336 5344 1074646
2016-09-01 5344 5374 5304 5344 843112
2016-09-02 5346 5454 5336 5432 962246
2016-09-05 5462 5584 5462 5566 1163300
2016-09-06 5580 5620 5554 5590 926982
2016-09-07 5568 5576 5520 5544 908298
2016-09-08 5532 5592 5506 5532 1133338
2016-09-09 5542 5612 5524 5608 1177138
2016-09-12 5598 5602 5470 5486 1106656
2016-09-13 5476 5562 5448 5558 1113042
2016-09-14 5500 5506 5354 5358 1059540
2016-09-19 5410 5496 5410 5494 549796
2016-09-20 5534 5676 5528 5676 959748
2016-09-21 5686 5760 5676 5712 1132948
2016-09-22 5688 5794 5672 5700 1305156
2016-09-23 5752 5784 5706 5734 1028704
2016-09-26 5706 5832 5686 5814 1284008
2016-09-27 5802 5812 5714 5756 959886
2016-09-28 5716 5730 5634 5658 1206830
2016-09-29 5600 5678 5560 5576 982798
2016-09-30 5594 5596 5496 5516 710366
2016-10-10 5430 5492 5404 5466 529912
2016-10-11 5448 5544 5444 5532 819254
2016-10-12 5554 5558 5476 5498 773608
2016-10-13 5530 5578 5422 5452 1047004
2016-10-14 5460 5526 5386 5510 835538
2016-10-17 5520 5722 5518 5722 775828
2016-10-18 5800 5874 5762 5866 1225180
2016-10-19 5784 5858 5680 5832 1359334
2016-10-20 5816 5880 5766 5796 1169530
2016-10-21 5776 5808 5660 5720 1111282
2016-10-24 5738 5946 5726 5934 1165514
2016-10-25 6000 6092 5890 5900 1719228
2016-10-26 5892 6064 5876 6062 1559104
2016-10-27 6050 6068 5942 5954 1069942
2016-10-28 5974 6038 5896 6030 1062768
