date open high low close volume
2016-01-04 13130 13335 13080 13145 9506
2016-01-05 13130 13300 13115 13300 6486
2016-01-06 13255 13270 13120 13220 4112
2016-01-07 13165 13195 12765 12865 4704
2016-01-08 12730 13030 12715 12960 5176
2016-01-11 12880 12980 12750 12765 3496
2016-01-12 12685 12735 12520 12555 8866
2016-01-13 12580 12735 12560 12715 8480
2016-01-14 12700 12875 12655 12835 9312
2016-01-15 12815 12925 12575 12585 12156
2016-01-18 12545 12900 12535 12890 12434
2016-01-19 12880 13020 12790 12995 9888
2016-01-20 13010 13055 12805 12870 8354
2016-01-21 12885 12910 12750 12775 7214
2016-01-22 12795 12890 12725 12795 10364
2016-01-25 12855 12895 12780 12810 5586
2016-01-26 12790 12980 12785 12920 7744
2016-01-27 13015 13250 12985 13215 10974
2016-01-28 13240 13265 13105 13145 6728
2016-01-29 13200 13695 13155 13475 21334
2016-02-01 13525 13770 13520 13650 21510
2016-02-02 13665 13735 13615 13680 15300
2016-02-03 13705 13825 13600 13775 14192
2016-02-04 13750 14115 13720 14045 12776
2016-02-05 14055 14055 13605 13815 7412
2016-02-15 13975 14125 13810 13875 4306
2016-02-16 13840 13880 13690 13695 4654
2016-02-17 13625 13685 13470 13510 9774
2016-02-18 13545 13550 13370 13485 12370
2016-02-19 13410 13700 13370 13655 17210
2016-02-22 13595 13870 13565 13860 15512
2016-02-23 13900 13930 13465 13590 13966
2016-02-24 13620 13630 13490 13555 8822
2016-02-25 13545 13760 13485 13520 13376
2016-02-26 13535 13660 13450 13610 13218
2016-02-29 13670 13835 13565 13650 16522
2016-03-01 13740 13795 13500 13660 8424
2016-03-02 13690 13800 13625 13740 7518
2016-03-03 13725 13955 13725 13835 8864
2016-03-04 13885 13950 13765 13890 10946
2016-03-07 13870 14115 13765 13880 10462
2016-03-08 14000 14275 13715 13755 20670
2016-03-09 13795 13860 13485 13570 13082
2016-03-10 13635 13795 13600 13605 8284
2016-03-11 13630 13770 13520 13770 7014
2016-03-14 13750 13815 13605 13695 7806
2016-03-15 13720 13745 13605 13615 4968
2016-03-16 13530 13600 13465 13525 9472
2016-03-17 13485 13710 13415 13685 8458
2016-03-18 13685 13790 13620 13630 12836
2016-03-21 13600 13740 13470 13595 8784
2016-03-22 13605 13700 13595 13600 6704
2016-03-23 13595 13710 13540 13570 6854
2016-03-24 13545 13595 13465 13520 8002
2016-03-25 13495 13575 13435 13540 4546
2016-03-28 13550 13620 13525 13575 4188
2016-03-29 13575 13650 13530 13550 4220
2016-03-30 13550 13575 13285 13295 7590
2016-03-31 13305 13385 13110 13240 9630
2016-04-01 13240 13375 13170 13370 6380
2016-04-05 13375 13375 13290 13290 460
2016-04-06 13230 13270 13155 13170 2642
2016-04-07 13160 13300 13115 13230 3850
2016-04-08 13230 13230 13000 13025 5162
2016-04-11 13025 13270 12935 13165 4160
2016-04-12 13140 13140 13000 13070 3704
