date open high low close volume
2016-01-04 1821 1846 1773 1777 6700936
2016-01-05 1779 1789 1761 1789 6413148
2016-01-06 1787 1790 1769 1775 4603662
2016-01-07 1770 1786 1766 1773 4652628
2016-01-08 1769 1775 1747 1759 6658038
2016-01-11 1757 1772 1748 1758 5081394
2016-01-12 1759 1765 1739 1741 5333022
2016-01-13 1741 1752 1735 1740 3591540
2016-01-14 1742 1759 1732 1758 4110300
2016-01-15 1758 1787 1754 1778 6649864
2016-01-18 1777 1832 1770 1827 9156242
2016-01-19 1825 1841 1817 1839 6967734
2016-01-20 1838 1842 1813 1818 6237726
2016-01-21 1815 1824 1805 1808 5493208
2016-01-22 1810 1856 1807 1823 7687002
2016-01-25 1828 1856 1823 1840 7650122
2016-01-26 1840 1848 1832 1845 4321346
2016-01-27 1850 1871 1840 1863 7017400
2016-01-28 1861 1862 1811 1815 7189268
2016-01-29 1813 1827 1805 1814 5938474
2016-02-01 1816 1845 1815 1819 5697330
2016-02-02 1820 1824 1801 1815 4090540
2016-02-03 1820 1830 1807 1826 3099622
2016-02-04 1826 1855 1825 1851 3515826
2016-02-05 1853 1862 1826 1843 2790060
2016-02-15 1835 1880 1833 1872 2680436
2016-02-16 1872 1880 1861 1865 2707824
2016-02-17 1866 1876 1855 1861 3197078
2016-02-18 1864 1871 1855 1870 2833084
2016-02-19 1872 1899 1864 1897 4259322
2016-02-22 1897 1968 1892 1962 6568536
2016-02-23 1957 1965 1921 1926 5118530
2016-02-24 1922 1937 1916 1929 3504668
2016-02-25 1929 1961 1924 1928 4325944
2016-02-26 1932 1939 1898 1922 4146132
2016-02-29 1922 1973 1912 1969 6078558
2016-03-01 1975 2010 1961 1994 6064250
2016-03-02 1997 2009 1984 1993 5582604
2016-03-03 1990 1999 1967 1974 4325658
2016-03-04 1972 1997 1952 1987 4750600
2016-03-07 1990 2073 1983 2073 3279116
2016-03-08 2194 2194 2077 2194 6192598
2016-03-09 2149 2163 2035 2104 8678072
2016-03-10 2112 2201 2107 2130 11325298
2016-03-11 2111 2133 2068 2085 4663174
2016-03-14 2000 2076 1985 1986 7468574
2016-03-15 1980 2006 1967 1972 6206632
2016-03-16 1969 2011 1968 2008 5064118
2016-03-17 2010 2086 2006 2078 8370102
2016-03-18 2082 2149 2073 2118 12070078
2016-03-21 2117 2210 2087 2147 15519554
2016-03-22 2153 2180 2144 2158 10235742
2016-03-23 2155 2240 2138 2193 15313536
2016-03-24 2198 2205 2106 2120 17616140
2016-03-25 2117 2185 2114 2184 13761106
2016-03-28 2190 2219 2127 2132 15282150
2016-03-29 2140 2172 2123 2159 12704180
2016-03-30 2163 2165 2091 2113 15421990
2016-03-31 2109 2140 2105 2136 10882762
2016-04-01 2140 2196 2136 2193 11332698
2016-04-05 2263 2350 2263 2350 240
2016-04-06 2194 2207 2162 2182 9508160
2016-04-07 2180 2212 2171 2191 8191230
2016-04-08 2188 2199 2178 2196 7519084
2016-04-11 2201 2315 2199 2293 13939432
2016-04-12 2302 2344 2287 2344 12889096
2016-04-13 2351 2435 2332 2353 19138022
2016-04-14 2355 2377 2315 2324 11451662
2016-04-15 2320 2340 2296 2300 10863312
2016-04-18 2287 2417 2287 2391 11825572
2016-04-19 2397 2494 2396 2494 14327034
2016-04-20 2501 2592 2501 2592 15687854
2016-04-21 2612 2787 2610 2750 22361400
2016-04-22 2735 2740 2591 2619 21928680
2016-04-25 2608 2781 2585 2643 19860714
2016-04-26 2607 2650 2518 2554 13828216
2016-04-27 2550 2587 2451 2500 14117966
2016-04-28 2503 2548 2456 2539 12590112
2016-04-29 2548 2590 2533 2580 11065856
2016-05-03 2545 2546 2432 2451 6087006
2016-05-04 2439 2448 2365 2381 8158556
2016-05-05 2373 2404 2299 2309 8843630
2016-05-06 2320 2339 2281 2336 9851786
2016-05-09 2343 2352 2175 2175 8700040
2016-05-10 2105 2165 2085 2147 10220650
2016-05-11 2155 2175 2118 2146 9657606
2016-05-12 2154 2159 2072 2074 8472638
2016-05-13 2064 2078 2000 2030 10298962
2016-05-16 2022 2086 2013 2052 8318498
2016-05-17 2058 2118 2042 2114 8366662
2016-05-18 2109 2134 2036 2055 10649982
2016-05-19 2050 2073 2024 2043 8679626
2016-05-20 2030 2079 2016 2062 7550934
2016-05-23 2065 2069 1930 1947 7824686
2016-05-24 1945 1965 1917 1958 6755808
2016-05-25 1963 1973 1912 1916 6905020
2016-05-26 1920 1958 1907 1953 7416702
2016-05-27 1965 2048 1926 2033 11215608
2016-05-30 2033 2054 1894 1990 10207570
2016-05-31 1985 2028 1973 1978 7125598
2016-06-01 1975 1985 1939 1955 5423698
2016-06-02 1940 1980 1938 1954 4834340
2016-06-03 1952 2003 1950 1988 5065658
2016-06-06 2009 2082 1982 2059 7362346
2016-06-07 2065 2103 2055 2077 6342670
2016-06-08 2076 2115 2038 2099 7473444
2016-06-13 2092 2189 2090 2170 6223922
2016-06-14 2170 2184 2071 2072 8418904
2016-06-15 2062 2101 2053 2067 5505990
2016-06-16 2082 2118 2068 2074 5954174
2016-06-17 2069 2080 2028 2074 5880856
2016-06-20 2072 2099 2056 2062 4848484
2016-06-21 2053 2115 2048 2082 5592902
2016-06-22 2080 2143 2075 2143 6999164
2016-06-23 2148 2161 2131 2141 5478706
2016-06-24 2153 2168 2100 2126 5838818
2016-06-27 2125 2268 2124 2268 7599160
2016-06-28 2268 2288 2234 2265 5887680
2016-06-29 2264 2280 2226 2241 5861356
2016-06-30 2237 2345 2233 2337 7704152
2016-07-01 2341 2374 2309 2349 7083518
2016-07-04 2349 2468 2349 2424 9112380
2016-07-05 2430 2454 2311 2402 7311714
2016-07-06 2393 2429 2326 2378 8042726
2016-07-07 2370 2456 2349 2387 8375194
2016-07-08 2387 2447 2365 2445 8376194
2016-07-11 2464 2484 2361 2430 7469210
2016-07-12 2435 2563 2416 2558 7774606
2016-07-13 2540 2589 2512 2516 6880472
2016-07-14 2523 2542 2478 2524 5581728
2016-07-15 2515 2556 2479 2527 6070020
2016-07-18 2528 2535 2362 2362 7009522
2016-07-19 2354 2358 2264 2297 7458256
2016-07-20 2304 2336 2282 2310 5487648
2016-07-21 2309 2432 2278 2396 7426584
2016-07-22 2390 2399 2296 2310 6666442
2016-07-25 2311 2368 2279 2342 7003380
2016-07-26 2350 2379 2309 2379 5557718
2016-07-27 2377 2449 2367 2418 7734528
2016-07-28 2421 2503 2412 2480 7475414
2016-07-29 2475 2484 2396 2412 5494102
2016-08-01 2420 2521 2383 2495 6510646
2016-08-02 2500 2529 2478 2514 4636956
2016-08-03 2517 2522 2471 2497 4146122
2016-08-04 2495 2504 2417 2453 5642740
2016-08-05 2461 2555 2450 2538 5161852
2016-08-08 2538 2618 2516 2607 4988876
2016-08-09 2607 2628 2549 2589 4572794
2016-08-10 2580 2639 2561 2587 4624264
2016-08-11 2587 2602 2535 2594 4269190
2016-08-12 2580 2590 2555 2577 3689742
2016-08-15 2561 2582 2505 2571 4053394
