date open high low close volume
2016-01-07 2909 2909 2909 2909 0
2016-01-08 2909 2909 2909 2909 2
2016-01-11 2909 2909 2909 2909 0
2016-01-12 2909 2909 2909 2909 2
2016-01-13 2909 2909 2909 2909 0
2016-01-14 2909 2909 2909 2909 2
2016-01-15 2909 2909 2909 2909 0
2016-01-20 2454 2750 2360 2535 40
2016-01-21 2497 2658 2454 2531 8
2016-01-22 2520 2558 2497 2520 2
2016-01-25 2520 2520 2520 2521 0
2016-01-26 2520 2520 2520 2521 2
2016-01-27 2472 2582 2472 2543 26
2016-01-28 2472 2582 2472 2523 0
2016-01-29 2472 2582 2472 2523 26
2016-02-01 2586 2586 2535 2535 0
2016-02-02 2586 2586 2586 2586 2
2016-02-03 2533 2533 2533 2533 0
2016-02-04 2533 2533 2533 2533 2
2016-02-05 2533 2533 2533 2533 0
2016-02-22 2618 2618 2618 2618 0
2016-02-23 2515 2618 2515 2609 4
2016-02-24 2515 2609 2515 2562 0
2016-02-25 2515 2609 2515 2562 4
2016-02-26 2641 2641 2515 2619 10
2016-02-29 2552 2641 2552 2552 2
2016-03-01 2553 2623 2553 2560 20
2016-03-02 2553 2623 2543 2554 10
2016-03-03 2553 2598 2543 2558 0
2016-03-04 2553 2598 2543 2558 10
2016-03-07 2653 2653 2464 2500 8
2016-03-08 2482 2653 2464 2577 4
2016-03-09 2482 2588 2482 2530 12
2016-03-10 2482 2588 2482 2530 0
2016-03-11 2482 2588 2482 2530 12
2016-03-14 2503 2588 2482 2503 2
2016-03-15 2503 2503 2503 2503 0
2016-03-16 2598 2598 2470 2553 16
2016-03-17 2509 2598 2470 2535 8
2016-03-18 2592 2592 2509 2592 2
2016-03-21 2580 2592 2580 2580 0
2016-03-22 2508 2580 2508 2508 2
2016-03-23 2508 2508 2508 2508 0
2016-03-24 2508 2508 2508 2508 2
2016-03-25 2508 2508 2508 2513 0
2016-03-28 2508 2508 2508 2513 2
2016-03-29 2508 2508 2508 2513 0
2016-03-30 2508 2508 2508 2513 2
2016-03-31 2508 2508 2508 2513 0
2016-04-01 2508 2508 2508 2513 2
2016-04-05 2475 2475 2430 2430 6
2016-04-06 2533 2593 2533 2555 12
2016-04-07 2533 2593 2533 2564 0
2016-04-08 2533 2593 2533 2564 12
2016-04-11 2533 2593 2533 2566 0
2016-04-12 2533 2593 2533 2566 12
2016-04-13 2533 2593 2533 2566 0
2016-04-14 2688 2688 2523 2632 0
2016-04-15 2688 2688 2523 2632 12
2016-04-18 2737 2738 2523 2738 12
2016-04-19 2848 2848 2737 2821 62
2016-04-20 2897 2897 2746 2861 78
2016-04-21 2969 2978 2802 2978 12
2016-04-22 3076 3090 2934 2951 124
2016-04-25 3122 3122 2934 3040 22
2016-04-26 3083 3122 2964 3100 6
2016-04-27 2988 3177 2988 3100 12
2016-04-29 2560 2750 2560 2655 0
2016-05-03 2767 2767 2560 2767 2
2016-05-04 2767 2767 2767 2767 0
2016-05-05 2767 2767 2767 2767 2
2016-05-06 2657 2767 2657 2657 0
2016-05-09 2657 2657 2657 2657 2
2016-05-10 2657 2657 2657 2657 0
2016-05-11 2557 2759 2557 2663 18
2016-05-12 2747 2759 2557 2684 6
2016-05-13 2747 2747 2684 2710 0
2016-05-16 2605 2808 2605 2677 6
2016-05-17 2649 2790 2649 2689 4
2016-05-18 2649 2790 2649 2689 0
2016-05-19 2790 2790 2649 2759 4
2016-05-20 2790 2790 2759 2775 0
2016-05-23 2790 2790 2759 2775 4
2016-05-24 2790 2790 2759 2775 0
2016-05-25 3175 3373 3175 2707 14
2016-05-26 3175 3373 3175 2707 0
2016-05-27 3175 3373 3175 2707 14
2016-05-30 3175 3373 3175 2707 0
2016-06-01 2554 2761 2554 2658 0
2016-06-02 2554 2761 2554 2658 4
