date open high low close volume
2016-01-04 1911 1924 1866 1870 683492
2016-01-05 1868 1885 1854 1883 950922
2016-01-06 1883 1886 1859 1872 945564
2016-01-07 1867 1902 1864 1893 1155884
2016-01-08 1893 1913 1885 1909 990160
2016-01-11 1910 1918 1888 1895 787338
2016-01-12 1895 1922 1885 1898 1381250
2016-01-13 1898 1928 1877 1886 1794782
2016-01-14 1889 1914 1878 1909 1360570
2016-01-15 1909 1922 1903 1910 1167196
2016-01-18 1902 1983 1900 1974 1804450
2016-01-19 1973 1976 1954 1962 1312468
2016-01-20 1956 1972 1944 1957 1199604
2016-01-21 1955 1960 1936 1944 1116288
2016-01-22 1945 1973 1943 1965 1003374
2016-01-25 1968 1978 1950 1954 876910
2016-01-26 1955 1969 1946 1959 645746
2016-01-27 1962 1968 1949 1964 771944
2016-01-28 1965 1985 1956 1963 1224576
2016-01-29 1965 1965 1929 1932 948928
2016-02-01 1930 1961 1930 1952 665332
2016-02-02 1948 1963 1942 1962 520216
2016-02-03 1959 1966 1951 1958 400924
2016-02-04 1959 1960 1940 1945 471340
2016-02-05 1946 1948 1913 1921 428712
2016-02-15 1901 1925 1892 1893 364630
2016-02-16 1895 1923 1893 1913 724918
2016-02-17 1914 1927 1897 1900 739154
2016-02-18 1900 1913 1895 1904 650750
2016-02-19 1904 1911 1880 1897 937312
2016-02-22 1896 1932 1891 1929 895464
2016-02-23 1930 1940 1914 1918 766174
2016-02-24 1919 1927 1882 1884 901272
2016-02-25 1885 1891 1873 1880 906360
2016-02-26 1884 1893 1861 1870 799178
2016-02-29 1871 1884 1824 1836 1112942
2016-03-01 1838 1851 1829 1848 837200
2016-03-02 1854 1874 1848 1859 977998
2016-03-03 1860 1892 1855 1887 1015976
2016-03-04 1884 1912 1882 1909 993140
2016-03-07 1913 1974 1912 1965 1753242
2016-03-08 1965 1998 1919 1927 1423306
2016-03-09 1930 1947 1910 1930 776928
2016-03-10 1935 1951 1896 1897 971216
2016-03-11 1899 1925 1878 1915 757268
2016-03-14 1918 1940 1914 1915 359046
2016-03-15 1914 1926 1896 1898 469436
2016-03-16 1894 1902 1881 1885 357976
2016-03-17 1885 1914 1875 1912 555088
2016-03-18 1918 1948 1906 1939 1197182
2016-03-21 1937 1945 1914 1926 905496
2016-03-22 1927 1988 1926 1975 1868526
2016-03-23 1975 2010 1968 1977 2027936
2016-03-24 1970 2026 1960 2009 2707410
2016-03-25 2000 2035 1999 2012 2954438
2016-03-28 2015 2031 1986 1990 2196130
2016-03-29 1988 2014 1978 1981 2040738
2016-03-30 1982 1996 1968 1984 1663068
2016-03-31 1990 1994 1938 1943 1627472
2016-04-01 1943 1961 1934 1946 1378382
2016-04-05 1861 1892 1842 1885 59554
2016-04-06 1967 1980 1948 1955 1209004
2016-04-07 1950 1972 1947 1961 847298
2016-04-08 1964 1975 1947 1952 908954
2016-04-11 1956 1999 1956 1984 1506566
2016-04-12 1986 2026 1981 2025 1780190
2016-04-13 2033 2083 2028 2050 2503406
2016-04-14 2054 2098 2047 2070 1836596
2016-04-15 2068 2081 2056 2065 1326138
