date open high low close volume
2016-01-04 3930 4002 3852 3914 146
2016-01-05 3917 4044 3880 3948 218
2016-01-06 3915 3986 3915 3957 28
2016-01-07 3985 3986 3915 3957 18
2016-01-08 3918 3935 3864 3906 58
2016-01-11 3909 3935 3864 3883 14
2016-01-12 3801 3878 3801 3878 6
2016-01-13 3900 3900 3846 3871 18
2016-01-14 3871 3999 3839 3888 56
2016-01-15 3893 3999 3839 3869 10
2016-01-18 3893 3893 3869 3880 0
2016-01-19 3885 3893 3858 3872 18
2016-01-20 3875 3892 3858 3882 8
2016-01-21 3875 3882 3875 3879 0
2016-01-22 3935 3935 3875 3916 78
2016-01-25 3941 3942 3879 3879 12
2016-01-26 3924 3942 3879 3924 2
2016-01-27 3925 3935 3883 3920 38
2016-01-28 4000 4000 3903 3927 116
2016-01-29 4000 4000 3903 3944 0
2016-02-01 3906 3916 3906 3916 8
2016-02-02 3906 3916 3906 3911 0
2016-02-03 3906 3916 3906 3906 8
2016-02-04 3869 3920 3869 3920 6
2016-02-05 3878 3902 3878 3885 8
2016-02-15 3878 3902 3878 3888 8
2016-02-16 3898 3913 3881 3881 12
2016-02-17 3899 3913 3870 3890 8
2016-02-18 3903 3936 3870 3913 22
2016-02-23 4050 4050 3802 3935 22
2016-02-24 3919 4050 3802 3927 12
2016-02-25 3897 3927 3891 3892 6
2016-03-01 3928 3928 3892 3928 4
2016-03-02 3928 3928 3928 3928 0
2016-03-03 3897 3928 3897 3897 4
2016-03-04 3949 3957 3877 3898 14
2016-03-07 3892 3993 3892 3961 54
2016-03-08 3939 4050 3871 4001 158
2016-03-09 3905 3962 3905 3957 16
2016-03-10 4039 4039 3941 3965 32
2016-03-11 3936 4010 3936 3993 12
2016-03-14 3983 3990 3958 3960 28
2016-03-15 3996 3996 3927 3932 36
2016-03-16 3908 3996 3908 3935 32
2016-03-21 3924 3945 3913 3935 92
2016-03-22 3935 3945 3924 3945 36
2016-03-23 3939 3978 3939 3948 58
2016-03-24 3889 3937 3887 3921 46
2016-03-25 3923 4012 3900 3999 1018
2016-03-28 3986 3998 3972 3973 54
2016-03-29 3973 3973 3920 3958 32
2016-03-30 3940 3973 3920 3946 8
2016-03-31 3930 3946 3902 3915 48
2016-04-01 3910 3931 3886 3931 88
2016-04-05 3979 3979 3886 3931 88
2016-04-06 3920 3979 3911 3928 40
