date open high low close volume
2016-01-04 10585 10605 10100 10160 682378
2016-01-05 10220 10235 10100 10190 634596
2016-01-06 10150 10225 10050 10070 664940
2016-01-07 10030 10150 9960 10080 784090
2016-01-08 10030 10195 9980 10090 688222
2016-01-11 10050 10150 9700 9700 787438
2016-01-12 9705 9780 9590 9640 663010
2016-01-13 9730 9905 9715 9850 771850
2016-01-14 9845 9930 9690 9885 701512
2016-01-15 9860 9960 9765 9795 672864
2016-01-18 9725 10195 9720 10150 894570
2016-01-19 10145 10400 10050 10345 813596
2016-01-20 10345 10385 10160 10265 673990
2016-01-21 10190 10300 10165 10200 691006
2016-01-22 10235 10450 10190 10385 747726
2016-01-25 10435 10500 10260 10320 583260
2016-01-26 10300 10325 10120 10155 554126
2016-01-27 10200 10415 10190 10400 573732
2016-01-28 10400 10415 10160 10190 515740
2016-01-29 10200 10320 10130 10210 590514
2016-02-01 10210 10340 10150 10190 554042
2016-02-02 10215 10235 10060 10200 565680
2016-02-03 10200 10220 10060 10155 469956
2016-02-04 10150 10385 10140 10335 520782
2016-02-05 10300 10320 10140 10195 342124
2016-02-15 10100 10540 10055 10530 528802
2016-02-16 10525 10660 10465 10535 565878
2016-02-17 10530 10575 10415 10450 427986
2016-02-18 10480 10600 10435 10470 467492
2016-02-19 10480 10635 10390 10615 591054
2016-02-22 10600 10840 10560 10705 628840
2016-02-23 10750 10820 10570 10645 526924
2016-02-24 10660 10695 10520 10585 532834
2016-02-25 10550 10800 10520 10540 717396
2016-02-26 10550 10585 10230 10360 779100
2016-02-29 10410 10475 10220 10280 728186
2016-03-01 10310 10405 10205 10355 671824
2016-03-02 10400 10660 10365 10560 794450
2016-03-03 10580 10760 10555 10675 714790
2016-03-04 10710 11310 10695 11310 1046478
2016-03-07 11425 12065 11400 11705 1230652
2016-03-08 11730 11970 11360 11610 1228004
2016-03-09 11580 11610 11115 11350 752776
2016-03-10 11365 11585 11135 11185 802798
2016-03-11 11165 11435 11125 11345 642000
2016-03-14 11375 11630 11270 11270 606240
2016-03-15 11270 11320 11015 11085 577988
2016-03-16 11080 11280 11055 11270 487330
2016-03-17 11585 11935 11555 11775 426434
2016-03-18 11795 12110 11690 11700 674960
2016-03-21 11790 12050 11640 11845 801300
2016-03-22 11900 11995 11755 11775 679382
2016-03-23 11800 11930 11550 11550 696086
2016-03-24 11550 11660 11420 11505 791522
2016-03-25 11490 11720 11460 11710 565170
2016-03-28 11745 11935 11530 11540 734200
2016-03-29 11550 11680 11265 11310 800266
2016-03-30 11335 11455 11250 11370 717530
2016-03-31 11385 11495 11135 11370 788474
2016-04-01 11400 11565 11350 11440 706596
2016-04-05 11090 11090 10970 10970 16
2016-04-06 11700 11765 11535 11615 754984
2016-04-07 11550 11740 11540 11590 606462
2016-04-08 11540 11660 11430 11650 771198
2016-04-11 11710 12220 11710 12220 1113094
2016-04-12 12310 12430 12110 12425 885342
2016-04-13 12500 12950 12380 12525 1265352
2016-04-14 12480 12710 12470 12550 804540
2016-04-15 12580 12740 12310 12350 904940
2016-04-18 12320 12715 12260 12510 892652
2016-04-19 12570 12870 12470 12740 1080744
2016-04-20 12710 13295 12640 13170 1621426
2016-04-21 13130 13670 12950 13445 1390600
2016-04-22 13305 13480 12710 12930 1254392
2016-04-25 12960 13450 12825 13055 996268
2016-04-26 13065 13180 12865 13015 844072
2016-04-27 13055 13245 12745 12945 989580
2016-04-28 13000 13030 12585 12710 896656
2016-04-29 12730 12905 12665 12755 687952
2016-05-03 12600 13045 12550 13000 637296
2016-05-04 12960 13035 12620 12725 735482
2016-05-05 12745 12825 12360 12360 805118
2016-05-06 12435 12465 12150 12260 796520
2016-05-09 12290 12420 11685 11785 1046986
2016-05-10 11750 11960 11665 11895 801594
2016-05-11 11905 12035 11735 11875 759224
2016-05-12 11905 12015 11655 11800 899328
2016-05-13 11795 11820 11150 11245 1018986
2016-05-16 11215 11370 11110 11240 697416
2016-05-17 11265 11390 11230 11355 590762
2016-05-18 11320 11480 11035 11100 884950
2016-05-19 11100 11180 10810 10845 802596
2016-05-20 10795 10955 10755 10860 641670
2016-05-23 10875 10920 10210 10295 890038
2016-05-24 10320 10395 10220 10330 540920
2016-05-25 10440 10455 10170 10255 622680
2016-05-26 10320 10615 10270 10600 702878
2016-05-27 10600 10685 10325 10535 833422
2016-05-30 10510 10625 10390 10555 653852
2016-05-31 10595 10700 10440 10455 707822
2016-06-01 10420 10460 10200 10245 662828
2016-06-02 10240 10470 10145 10445 622626
2016-06-03 10415 10575 10400 10515 604786
2016-06-06 10595 10735 10470 10705 644022
2016-06-07 10710 10750 10515 10560 536642
2016-06-08 10550 10575 10300 10455 618652
2016-06-13 10355 10660 10275 10535 538800
2016-06-14 10500 10700 10350 10355 718564
2016-06-15 10355 10465 10315 10410 562794
2016-06-16 10460 10595 10425 10500 623540
2016-06-17 10490 10945 10320 10935 1034276
2016-06-20 10945 11025 10860 10975 733772
2016-06-21 10985 11085 10765 10835 690966
2016-06-22 10805 11160 10800 11150 661248
2016-06-23 11165 11195 10960 11035 613858
2016-06-24 11100 11145 10775 10845 880730
2016-06-27 10860 11355 10850 11270 791246
2016-06-28 11210 11405 11110 11310 766214
2016-06-29 11360 11425 11160 11250 716572
2016-06-30 11230 11520 11210 11425 786070
2016-07-01 11410 11620 11305 11450 770478
2016-07-04 11445 12135 11435 12075 960566
2016-07-05 12100 12210 11590 11840 873444
2016-07-06 11800 11955 11170 11170 897476
2016-07-07 11060 11380 10975 10985 755692
2016-07-08 11010 11135 10540 10680 763910
2016-07-11 10780 10960 10615 10880 584888
2016-07-12 10930 11100 10810 11000 707402
2016-07-13 11065 11495 10965 11140 988942
2016-07-14 11190 11250 10875 11210 785032
2016-07-15 11450 11550 11240 11405 917242
2016-07-18 11465 11475 11100 11185 661324
2016-07-19 11130 11385 11030 11355 755998
2016-07-20 11360 11660 11310 11445 920826
2016-07-21 11435 11715 11320 11630 761156
2016-07-22 11600 11695 11395 11420 603388
