date open high low close volume
2016-01-04 5663 5696 5585 5613 943326
2016-01-05 5603 5621 5580 5599 1026492
2016-01-06 5590 5600 5530 5545 1355252
2016-01-07 5539 5573 5492 5530 1440974
2016-01-08 5534 5578 5526 5559 1120572
2016-01-11 5568 5576 5465 5470 1525062
2016-01-12 5466 5480 5444 5451 1124232
2016-01-13 5455 5488 5416 5465 1547032
2016-01-14 5478 5480 5429 5456 1227242
2016-01-15 5449 5476 5420 5421 1310750
2016-01-18 5417 5495 5409 5481 1468948
2016-01-19 5485 5535 5462 5519 1275412
2016-01-20 5517 5535 5465 5471 1125852
2016-01-21 5471 5487 5431 5441 1304794
2016-01-22 5453 5508 5445 5474 1213904
2016-01-25 5488 5507 5431 5435 1200984
2016-01-26 5432 5454 5417 5444 1161134
2016-01-27 5455 5473 5384 5462 2032138
2016-01-28 5452 5460 5423 5431 1181924
2016-01-29 5430 5448 5382 5387 1360650
2016-02-01 5394 5409 5357 5370 1177322
2016-02-02 5369 5386 5356 5384 912770
2016-02-03 5385 5408 5371 5387 934140
2016-02-04 5391 5430 5363 5411 884834
2016-02-05 5409 5433 5392 5433 456816
2016-02-15 5430 5460 5393 5399 404998
2016-02-16 5400 5416 5346 5353 1163378
2016-02-17 5355 5361 5306 5311 1157668
2016-02-18 5309 5342 5306 5310 747904
2016-02-19 5318 5359 5297 5354 1098380
2016-02-22 5348 5365 5318 5346 930636
2016-02-23 5348 5393 5340 5385 982674
2016-02-24 5400 5452 5399 5434 1398460
2016-02-25 5428 5442 5408 5411 718494
2016-02-26 5411 5443 5409 5420 816604
2016-02-29 5425 5438 5320 5338 1376758
2016-03-01 5459 5477 5427 5466 357152
2016-03-02 5474 5510 5439 5478 470668
2016-03-03 5473 5508 5457 5460 377292
2016-03-04 5460 5517 5460 5488 554868
2016-03-07 5494 5582 5451 5452 840362
2016-03-08 5450 5486 5405 5407 897738
2016-03-09 5408 5482 5372 5474 954718
2016-03-10 5481 5493 5409 5420 1000506
2016-03-11 5427 5481 5418 5475 833168
2016-03-14 5480 5511 5440 5473 1298434
2016-03-15 5480 5506 5451 5477 1065162
2016-03-16 5470 5494 5462 5490 719380
2016-03-17 5487 5542 5481 5538 1148902
2016-03-18 5544 5591 5535 5564 1237550
2016-03-21 5562 5606 5536 5592 938632
2016-03-22 5592 5628 5578 5618 946506
2016-03-23 5616 5645 5583 5588 855762
2016-03-24 5588 5608 5556 5579 878302
2016-03-25 5553 5608 5540 5605 778744
2016-03-28 5610 5625 5583 5586 715464
2016-03-29 5594 5621 5551 5557 858720
2016-03-30 5555 5585 5548 5577 502874
2016-03-31 5590 5590 5553 5575 564416
2016-04-01 5573 5622 5561 5610 891094
2016-04-05 5440 5486 5425 5482 27034
2016-04-06 5630 5638 5596 5607 622166
2016-04-07 5605 5629 5602 5623 532826
2016-04-08 5620 5623 5556 5571 786452
2016-04-11 5568 5601 5561 5561 724882
2016-04-12 5555 5584 5546 5561 602662
2016-04-13 5562 5627 5562 5575 1248080
2016-04-14 5574 5624 5563 5621 861088
2016-04-15 5625 5674 5575 5615 1360326
2016-04-18 5625 5725 5609 5691 1780296
2016-04-19 5695 5720 5659 5676 1230276
2016-04-20 5679 5710 5656 5695 1634604
2016-04-21 5701 5775 5683 5716 2406604
2016-04-22 5723 5743 5497 5573 2004002
2016-04-25 5598 5646 5573 5592 953158
2016-04-26 5604 5631 5589 5622 727424
2016-04-27 5625 5632 5604 5615 562438
2016-04-28 5613 5619 5523 5527 840838
2016-04-29 5530 5552 5491 5503 861382
