date open high low close volume
2016-01-04 4490 4516 4432 4440 852296
2016-01-05 4448 4498 4436 4488 1181148
2016-01-06 4480 4504 4444 4468 864752
2016-01-07 4436 4460 4410 4424 947844
2016-01-08 4420 4440 4388 4428 994430
2016-01-11 4424 4444 4378 4382 850118
2016-01-12 4388 4406 4240 4248 1583248
2016-01-13 4262 4302 4240 4254 1184310
2016-01-14 4262 4280 4220 4262 1131228
2016-01-15 4258 4298 4244 4254 979332
2016-01-18 4202 4268 4200 4250 1452992
2016-01-19 4260 4346 4240 4328 1780936
2016-01-20 4330 4336 4258 4264 1421512
2016-01-21 4268 4314 4260 4284 1417192
2016-01-22 4286 4362 4284 4346 1760480
2016-01-25 4362 4376 4330 4344 1163732
2016-01-26 4330 4338 4298 4318 884036
2016-01-27 4332 4354 4322 4348 921222
2016-01-28 4346 4360 4316 4316 818428
2016-01-29 4330 4380 4324 4368 1571794
2016-02-01 4374 4392 4342 4342 834632
2016-02-02 4338 4356 4320 4342 753192
2016-02-03 4336 4352 4302 4326 856580
2016-02-04 4330 4402 4322 4398 953682
2016-02-05 4388 4420 4372 4408 616648
2016-02-15 4392 4440 4382 4438 517974
2016-02-16 4450 4458 4418 4434 648234
2016-02-17 4422 4430 4400 4402 677950
2016-02-18 4420 4450 4414 4424 678604
2016-02-19 4430 4466 4408 4448 847260
2016-02-22 4446 4482 4430 4448 1067234
2016-02-23 4460 4486 4430 4438 851440
2016-02-24 4448 4454 4410 4426 641700
2016-02-25 4416 4460 4406 4428 823974
2016-02-26 4432 4436 4332 4362 1035412
2016-02-29 4372 4420 4360 4386 949478
2016-03-01 4394 4564 4394 4564 2124126
2016-03-02 4578 4586 4518 4552 1511548
2016-03-03 4546 4626 4538 4572 1617252
2016-03-04 4576 4644 4562 4620 1710068
2016-03-07 4622 4790 4622 4758 1968968
2016-03-08 4770 4808 4652 4704 1693058
2016-03-09 4744 4744 4588 4668 1344430
2016-03-10 4686 4714 4602 4608 1206348
2016-03-11 4610 4648 4606 4628 800410
2016-03-14 4636 4686 4592 4592 969738
2016-03-15 4578 4600 4556 4566 699296
2016-03-16 4552 4614 4526 4584 981772
2016-03-17 4584 4662 4578 4642 821882
2016-03-18 4636 4760 4636 4710 1292402
2016-03-21 4724 4736 4662 4664 711984
2016-03-22 4682 4728 4656 4692 765366
2016-03-23 4688 4734 4656 4664 725500
2016-03-24 4652 4660 4520 4522 829996
2016-03-25 4522 4606 4504 4598 504238
2016-03-28 4608 4690 4600 4656 624950
2016-03-29 4674 4700 4642 4674 402882
2016-03-30 4804 4818 4750 4768 959088
2016-03-31 4782 4864 4782 4854 1490922
2016-04-01 4866 4944 4834 4896 2476834
2016-04-06 4730 4788 4730 4762 920024
2016-04-07 4754 4806 4742 4746 890842
2016-04-08 4726 4726 4662 4710 1155680
2016-04-11 4744 4800 4732 4754 1460308
2016-04-12 4770 4796 4712 4750 1180484
2016-04-13 4760 4882 4752 4816 2526478
2016-04-14 4820 4932 4798 4924 2067814
2016-04-15 4950 4990 4818 4822 2771784
2016-04-18 4792 4848 4750 4804 1979856
