date open high low close volume
2016-01-04 4850 4870 4810 4820 10108
2016-01-05 4820 4845 4775 4810 20086
2016-01-06 4800 4820 4760 4785 15482
2016-01-07 4775 4775 4675 4695 29602
2016-01-08 4685 4725 4655 4660 17748
2016-01-11 4660 4665 4585 4595 23592
2016-01-12 4580 4615 4570 4590 14594
2016-01-13 4590 4635 4585 4625 13924
2016-01-14 4615 4655 4595 4650 11578
2016-01-15 4655 4690 4610 4615 11572
2016-01-18 4590 4665 4590 4655 19020
2016-01-19 4655 4750 4645 4740 23374
2016-01-20 4725 4755 4685 4715 17050
2016-01-21 4710 4740 4655 4700 15698
2016-01-22 4750 4780 4730 4775 15912
2016-01-25 4830 4845 4790 4830 16754
2016-01-26 4805 4820 4755 4785 21428
2016-01-27 4805 4830 4790 4815 10692
2016-01-28 4820 4830 4785 4815 15484
2016-01-29 4825 4880 4795 4865 20324
2016-02-01 4855 4890 4855 4860 10216
2016-02-02 4845 4890 4825 4870 11238
2016-02-03 4855 4910 4850 4880 8122
2016-02-04 4905 4960 4890 4935 16304
2016-02-05 4925 4960 4900 4915 6346
2016-02-15 4910 4975 4875 4960 10032
2016-02-16 4980 4990 4955 4980 8404
2016-02-17 4970 4980 4905 4905 10184
2016-02-18 4930 4960 4910 4950 9056
2016-02-19 4945 5080 4925 5075 23206
2016-02-22 5055 5115 5050 5090 12342
2016-02-23 5090 5130 5065 5125 10134
2016-02-24 5090 5135 5085 5110 13326
2016-02-25 5110 5180 5085 5165 18348
2016-02-26 5145 5175 5095 5155 14500
2016-02-29 5130 5180 5115 5145 14292
2016-03-01 5160 5200 5145 5185 14746
2016-03-02 5185 5185 5150 5175 11728
2016-03-03 5175 5220 5165 5200 19012
2016-03-04 5195 5265 5195 5230 18894
2016-03-07 5410 5420 5300 5310 26136
2016-03-08 5400 5400 5205 5240 34886
2016-03-09 5150 5305 5130 5300 25118
2016-03-10 5320 5340 5240 5250 14494
2016-03-11 5260 5300 5235 5260 13596
2016-03-14 5260 5320 5260 5290 24014
2016-03-15 5315 5325 5245 5265 15024
2016-03-16 5275 5380 5275 5375 17996
2016-03-17 5400 5525 5400 5475 34488
2016-03-18 5500 5540 5485 5535 20812
2016-03-21 5515 5525 5475 5490 11094
2016-03-22 5510 5515 5410 5425 12030
2016-03-23 5430 5480 5420 5445 8152
2016-03-24 5380 5400 5300 5310 16504
2016-03-25 5230 5290 5155 5190 15478
2016-03-28 5200 5235 5090 5095 20620
2016-03-29 5100 5125 5015 5020 24194
2016-03-30 5030 5115 5030 5115 26074
2016-03-31 5090 5110 5030 5080 19686
2016-04-01 5100 5195 5090 5185 18690
2016-04-06 5135 5140 5030 5050 18432
2016-04-07 5075 5095 5035 5040 13352
2016-04-08 5015 5015 4920 4975 33640
2016-04-11 5050 5060 4965 4990 30540
2016-04-12 5005 5010 4950 4985 16942
2016-04-13 5035 5110 4960 4980 50224
2016-04-14 4975 5020 4950 5015 26852
2016-04-15 5020 5065 5010 5020 29538
2016-04-18 4970 5025 4945 4990 29384
2016-04-19 5015 5040 4965 4985 32648
2016-04-20 5015 5090 5005 5060 67428
2016-04-21 5115 5245 5110 5245 76418
2016-04-22 5175 5220 5125 5150 51004
2016-04-25 5120 5255 5110 5240 48948
2016-04-26 5235 5355 5210 5220 55432
2016-04-27 5255 5315 5210 5270 38794
2016-04-28 5265 5280 5225 5255 24528
2016-04-29 5320 5320 5235 5285 21122
2016-05-03 5255 5270 5130 5160 35740
2016-05-04 5150 5150 5075 5080 35054
2016-05-05 5100 5110 5050 5055 21260
2016-05-06 5005 5115 5000 5080 32938
2016-05-09 5120 5120 5020 5040 22816
2016-05-10 5015 5090 5000 5055 19524
2016-05-11 5070 5095 5060 5085 12520
2016-05-12 5100 5110 5065 5095 14730
2016-05-13 5045 5080 5020 5070 21570
2016-05-16 5070 5085 5035 5045 15378
2016-05-17 5070 5080 5050 5060 11562
2016-05-18 5070 5145 5070 5090 28736
2016-05-19 5070 5145 5065 5145 25586
2016-05-20 5170 5220 5125 5210 31272
2016-05-23 5165 5230 5120 5150 40374
2016-05-24 5140 5170 5095 5095 24540
2016-05-25 5120 5140 5095 5110 19218
2016-05-26 5115 5150 5070 5095 21948
2016-05-27 5075 5100 5040 5045 24910
2016-05-30 5050 5145 5005 5130 26250
2016-05-31 5120 5175 5120 5155 21858
2016-06-01 5140 5185 5130 5180 23064
2016-06-02 5200 5200 5130 5170 21354
2016-06-03 5180 5190 5150 5150 17600
2016-06-06 5155 5180 5140 5155 16058
2016-06-07 5165 5200 5135 5170 20512
2016-06-08 5170 5180 5105 5115 18422
2016-06-13 5090 5100 5045 5050 32216
2016-06-14 5050 5080 5020 5020 25412
2016-06-15 5020 5045 4965 5020 24198
2016-06-16 5005 5065 5005 5025 18040
2016-06-17 5010 5095 5005 5090 23982
2016-06-20 5105 5230 5090 5225 41116
2016-06-21 5230 5295 5185 5280 40936
2016-06-22 5290 5380 5265 5360 43652
2016-06-23 5365 5555 5355 5485 138844
2016-06-24 5480 5545 5455 5505 91760
2016-06-27 5520 5700 5520 5665 109444
2016-06-28 5675 5765 5600 5715 90088
