date open high low close volume
2016-01-04 2892 3002 2890 2917 9796
2016-01-05 2912 2916 2902 2911 10772
2016-01-06 2910 2916 2892 2916 8074
2016-01-07 2917 2932 2910 2919 11440
2016-01-08 2918 2925 2906 2924 8792
2016-01-11 2922 2923 2839 2887 19662
2016-01-12 2875 2894 2875 2890 7188
2016-01-13 2888 2890 2878 2884 9132
2016-01-14 2883 2896 2880 2891 6958
2016-01-15 2890 2892 2885 2891 2870
2016-01-18 2891 2896 2885 2896 5602
2016-01-19 2893 2916 2891 2892 8724
2016-01-20 2890 2893 2872 2888 5564
2016-01-21 2885 2892 2876 2881 6108
2016-01-22 2883 2889 2874 2885 4206
2016-01-25 2889 2891 2883 2887 2200
2016-01-26 2890 2897 2876 2880 6732
2016-01-27 2880 2885 2880 2881 2020
2016-01-28 2880 2883 2872 2876 2390
2016-01-29 2876 2880 2861 2875 4840
2016-02-01 2873 2886 2873 2883 3456
2016-02-02 2885 2886 2881 2885 1410
2016-02-03 2883 2889 2883 2887 3030
2016-02-04 2888 2893 2887 2889 3738
2016-02-05 2888 2892 2887 2888 2408
2016-02-15 2880 2893 2880 2888 1572
2016-02-16 2890 2890 2882 2885 1748
2016-02-17 2885 2892 2879 2881 5052
2016-02-18 2884 2888 2872 2885 3006
2016-02-19 2885 2891 2876 2881 4092
2016-02-22 2879 2890 2876 2887 3496
2016-02-23 2887 2887 2879 2881 3960
2016-02-24 2880 2886 2875 2885 3394
2016-02-25 2885 2889 2881 2883 4738
2016-02-26 2889 2889 2869 2880 13074
2016-02-29 2876 2941 2848 2887 27362
2016-03-01 2887 2899 2877 2878 12352
2016-03-02 2880 2890 2875 2887 4056
2016-03-03 2886 2895 2837 2845 15282
2016-03-04 2845 2854 2818 2845 9344
2016-03-07 2852 2881 2847 2856 7320
2016-03-08 2865 2874 2853 2854 6300
2016-03-09 2840 2858 2828 2855 2850
2016-03-10 2855 2855 2834 2841 3482
2016-03-11 2843 2855 2836 2850 2126
2016-03-14 2852 2872 2852 2864 2582
2016-03-15 2858 2870 2855 2870 1724
2016-03-16 2870 2876 2856 2856 6430
