date open high low close volume
2016-01-04 0 2011 2011 2011 0
2016-01-05 0 2011 2011 2011 0
2016-01-06 0 2011 2011 2011 0
2016-01-07 0 2011 2011 2011 0
2016-01-08 0 2011 2011 2011 0
2016-01-11 0 2011 2011 2011 0
2016-01-12 0 2011 2011 2011 0
2016-01-13 0 2011 2011 2011 0
2016-01-14 0 2011 2011 2011 0
2016-01-15 0 2011 2011 2011 0
2016-01-18 0 2011 2011 2011 0
2016-01-19 0 2011 2011 2011 0
2016-01-20 0 2011 2011 2011 0
2016-01-21 0 2011 2011 2011 0
2016-01-22 0 2011 2011 2011 0
2016-01-25 0 2011 2011 2011 0
2016-01-26 0 2011 2011 2011 0
2016-01-27 0 2011 2011 2011 0
2016-01-28 0 2011 2011 2011 0
2016-01-29 0 2011 2011 2011 0
2016-02-01 0 2011 2011 2011 0
2016-02-02 0 2011 2011 2011 0
2016-02-03 0 2011 2011 2011 0
2016-02-04 0 2011 2011 2011 0
2016-02-05 0 1982 1982 1982 0
2016-02-15 0 1982 1982 1982 0
2016-02-16 0 1982 1982 1982 0
2016-02-17 0 1982 1982 1982 0
2016-02-18 0 2011 2011 2011 0
2016-02-19 0 2011 2011 2011 0
2016-02-22 0 2011 2011 2011 0
2016-02-23 0 2011 2011 2011 0
2016-02-24 0 2011 2011 2011 0
2016-02-25 0 2011 2011 2011 0
2016-02-26 0 2011 2011 2011 0
2016-02-29 0 2011 2011 2011 0
2016-03-01 0 2011 2011 2011 0
2016-03-02 0 2011 2011 2011 0
2016-03-03 0 2011 2011 2011 0
2016-03-04 0 2011 2011 2011 0
2016-03-07 0 2011 2011 2011 0
2016-03-08 0 2011 2011 2011 0
2016-03-09 0 2011 2011 2011 0
2016-03-10 0 2011 2011 2011 0
2016-03-11 0 2011 2011 2011 0
2016-03-14 0 2011 2011 2011 0
2016-03-15 0 2011 2011 2011 0
2016-03-16 0 2011 2011 2011 0
2016-03-17 0 2011 2011 2011 0
2016-03-18 0 2128 2128 2128 0
2016-03-21 0 2128 2128 2128 0
2016-03-22 0 2128 2128 2128 0
2016-03-23 0 2128 2128 2128 0
2016-03-24 2128 2340 2128 2340 6
2016-03-25 0 2073 2073 2073 0
2016-03-28 2340 2340 2340 2340 4
2016-03-29 2340 2340 2340 2340 0
2016-03-30 2340 2340 2340 2340 4
2016-03-31 2340 2340 2340 2340 0
2016-04-01 2340 2340 2340 2340 4
2016-04-05 0 2016 2016 2016 0
2016-04-06 0 2340 2340 2340 0
2016-04-07 0 2340 2340 2340 0
2016-04-08 0 2340 2340 2340 0
2016-04-11 0 2340 2340 2340 0
2016-04-12 0 2340 2340 2340 0
2016-04-13 0 2340 2340 2340 0
2016-04-14 0 2340 2340 2340 0
2016-04-15 0 2340 2340 2340 0
2016-04-18 0 2340 2340 2340 0
2016-04-19 0 2340 2340 2340 0
2016-04-20 0 2340 2340 2340 0
2016-04-21 0 2340 2340 2340 0
2016-04-22 0 2340 2340 2340 0
2016-04-25 0 2340 2340 2340 0
2016-04-26 2524 2524 2524 2524 0
2016-04-27 2524 2524 2524 2524 4
2016-04-29 0 2117 2117 2117 0
2016-05-03 2649 2649 2649 2649 0
2016-05-04 2649 2649 2649 2649 4
2016-05-05 2649 2649 2649 2649 0
2016-05-06 2649 2649 2649 2649 4
2016-05-09 2649 2649 2649 2649 0
2016-05-10 2649 2649 2649 2649 4
2016-05-11 2649 2649 2649 2649 0
2016-05-12 2649 2649 2649 2649 4
2016-05-13 2649 2649 2649 2649 0
2016-05-16 2649 2779 2649 2779 4
2016-05-17 2649 2779 2649 2779 0
2016-05-18 2283 2283 2283 2283 0
2016-05-19 2283 2283 2283 2283 2
2016-05-20 2283 2283 2283 2283 0
2016-05-23 2283 2283 2283 2283 2
2016-05-24 2283 2283 2283 2283 0
2016-05-25 2283 2283 2283 2283 2
2016-05-26 2283 2283 2283 2283 0
2016-05-27 2283 2283 2283 2283 2
2016-05-30 2283 2283 2283 2283 0
2016-05-31 0 2283 2283 2283 0
2016-06-01 0 2283 2283 2283 0
2016-06-02 0 2283 2283 2283 0
2016-06-03 0 2283 2283 2283 0
2016-06-06 0 2283 2283 2283 0
2016-06-07 0 2283 2283 2283 0
2016-06-08 0 2283 2283 2283 0
2016-06-13 0 2283 2283 2283 0
2016-06-14 0 2283 2283 2283 0
2016-06-15 0 2283 2283 2283 0
2016-06-16 0 2283 2283 2283 0
2016-06-17 0 2779 2779 2779 0
2016-06-20 0 2779 2779 2779 0
2016-06-21 0 2779 2779 2779 0
2016-06-22 0 2779 2779 2779 0
2016-06-23 0 2779 2779 2779 0
2016-06-24 0 2779 2779 2779 0
2016-06-27 2640 2779 2640 2640 2
2016-06-28 2508 2508 2508 2508 4
2016-06-29 0 2508 2508 2508 0
2016-06-30 2382 2580 2382 2383 6
2016-07-01 0 2122 2122 2122 0
2016-07-04 2382 2580 2382 2448 6
2016-07-05 2382 2580 2382 2448 0
2016-07-06 2382 2580 2382 2448 6
2016-07-07 2382 2580 2382 2448 0
2016-07-08 0 2397 2169 2397 0
2016-07-11 2169 2397 2169 2317 12
2016-07-12 2169 2397 2169 2317 0
2016-07-13 2553 2553 2169 2432 12
2016-07-14 2553 2553 2553 2553 2
2016-07-15 2553 2553 2553 2553 0
2016-07-18 0 2553 2553 2553 0
2016-07-19 0 2553 2553 2553 0
2016-07-20 2431 2553 2431 2431 16
2016-07-21 0 2187 2187 2187 0
2016-07-22 2431 2431 2431 2431 16
2016-07-25 0 2431 2431 2431 0
2016-07-26 0 2431 2431 2431 0
2016-07-27 0 2431 2431 2431 0
2016-07-28 0 2431 2431 2431 0
2016-07-29 0 2431 2431 2431 0
2016-08-01 0 2431 2431 2431 0
2016-08-02 0 2431 2431 2431 0
2016-08-03 0 2431 2431 2431 0
2016-08-04 0 2431 2431 2431 0
2016-08-05 0 2431 2431 2431 0
2016-08-08 0 2431 2431 2431 0
2016-08-09 0 2431 2431 2431 0
2016-08-10 0 2431 2431 2431 0
2016-08-11 0 2431 2431 2431 0
2016-08-12 0 2431 2431 2431 0
2016-08-15 0 2431 2431 2431 0
2016-08-16 0 2431 2431 2431 0
2016-08-17 0 2431 2431 2431 0
2016-08-18 0 2431 2431 2431 0
2016-08-19 0 2431 2431 2431 0
2016-08-22 0 2431 2431 2431 0
2016-08-23 0 2431 2431 2431 0
2016-08-24 0 2431 2431 2431 0
2016-08-25 0 2431 2431 2431 0
2016-08-26 0 2431 2431 2431 0
2016-08-29 0 2431 2431 2431 0
2016-08-30 0 2431 2431 2431 0
2016-08-31 0 2431 2431 2431 0
2016-09-01 0 2431 2431 2431 0
2016-09-02 0 2431 2431 2431 0
2016-09-05 0 2431 2431 2431 0
2016-09-06 0 2431 2431 2431 0
2016-09-07 0 2431 2431 2431 0
2016-09-08 0 2431 2431 2431 0
2016-09-09 0 2431 2431 2431 0
