date open high low close volume
2016-01-04 5716 5760 5634 5658 534146
2016-01-05 5658 5706 5644 5702 521010
2016-01-06 5692 5706 5616 5620 681138
2016-01-07 5606 5658 5598 5626 694042
2016-01-08 5618 5666 5606 5624 573404
2016-01-11 5634 5642 5566 5576 685554
2016-01-12 5570 5582 5522 5530 552676
2016-01-13 5532 5574 5530 5542 506316
2016-01-14 5560 5586 5512 5526 763510
2016-01-15 5520 5556 5504 5532 542842
2016-01-18 5518 5594 5500 5576 697838
2016-01-19 5580 5628 5564 5612 533498
2016-01-20 5620 5646 5550 5568 634436
2016-01-21 5560 5598 5518 5526 739728
2016-01-22 5530 5606 5526 5590 650236
2016-01-25 5612 5630 5570 5584 502394
2016-01-26 5572 5638 5568 5608 656944
2016-01-27 5622 5644 5586 5642 617330
2016-01-28 5640 5660 5620 5630 532372
2016-01-29 5626 5668 5576 5578 632654
2016-02-01 5580 5610 5572 5610 347236
2016-02-02 5606 5662 5592 5660 394286
2016-02-03 5656 5662 5608 5642 337542
2016-02-04 5646 5692 5626 5682 377912
2016-02-05 5674 5750 5666 5736 408818
2016-02-15 5840 5872 5756 5818 427458
2016-02-16 5808 5844 5772 5788 377194
2016-02-17 5784 5788 5748 5754 360270
2016-02-18 5774 5814 5756 5766 420704
2016-02-19 5776 5778 5736 5776 487938
2016-02-22 5750 5808 5742 5784 494360
2016-02-23 5774 5776 5712 5740 437638
2016-02-24 5740 5766 5658 5670 517310
2016-02-25 5654 5698 5648 5658 357440
2016-02-26 5664 5674 5616 5662 368222
2016-02-29 5662 5690 5620 5672 377956
2016-03-01 5672 5696 5638 5680 357870
2016-03-02 5680 5732 5594 5608 714842
2016-03-03 5600 5640 5576 5630 621732
2016-03-04 5648 5686 5632 5672 549120
2016-03-07 5672 5760 5660 5728 541190
2016-03-08 5778 5860 5738 5776 467768
2016-03-09 5800 5806 5714 5804 264068
2016-03-10 5820 5872 5780 5790 478830
2016-03-11 5790 5974 5770 5928 1110758
2016-03-14 5926 5992 5882 5884 956272
2016-03-15 5880 5920 5850 5870 651146
2016-03-16 5872 5918 5858 5866 597590
2016-03-17 5858 5978 5858 5976 667650
2016-03-18 5986 6076 5978 6020 943752
2016-03-21 6020 6056 5972 6040 757116
2016-03-22 6038 6108 6026 6062 882500
2016-03-23 6066 6094 6012 6018 850026
2016-03-24 6000 6010 5924 5930 675006
2016-03-25 5916 6010 5912 6006 708526
2016-03-28 6012 6044 5980 5994 725118
2016-03-29 6012 6058 5984 6008 742552
2016-03-30 6058 6058 5972 6002 730310
2016-03-31 5994 6040 5976 6040 561038
2016-04-01 6018 6182 6006 6170 1194436
2016-04-06 6148 6152 6044 6058 740424
2016-04-07 6038 6094 6034 6078 484644
2016-04-08 6060 6066 6012 6036 481016
2016-04-11 6038 6130 6024 6046 878452
2016-04-12 6040 6094 6030 6072 667982
2016-04-13 6068 6268 6062 6130 1265764
2016-04-14 6120 6188 6118 6166 646408
2016-04-15 6172 6222 6120 6120 847348
2016-04-18 6098 6156 6078 6150 795482
2016-04-19 6176 6240 6156 6200 839470
2016-04-20 6220 6358 6202 6296 1173082
2016-04-21 6266 6486 6242 6400 1239600
2016-04-22 6402 6426 6252 6302 999016
2016-04-25 6280 6392 6238 6290 832192
2016-04-26 6288 6372 6250 6296 801950
2016-04-27 6360 6360 6278 6300 637692
2016-04-28 6278 6290 6136 6190 864360
2016-04-29 6200 6252 6136 6142 650746
2016-05-03 6100 6178 6082 6172 495396
2016-05-04 6142 6186 6094 6170 784514
2016-05-05 6196 6214 6156 6198 503414
2016-05-06 6216 6234 6044 6104 744504
2016-05-09 6120 6272 6108 6236 974500
2016-05-10 6226 6248 6122 6226 738870
2016-05-11 6214 6424 6200 6384 1125284
2016-05-12 6356 6370 6238 6244 1033786
2016-05-13 6238 6260 6044 6044 1050096
2016-05-16 6000 6064 5938 5974 840246
2016-05-17 6012 6076 5998 6068 527728
2016-05-18 6058 6148 5924 6000 1029326
2016-05-19 5996 6042 5902 5912 783540
2016-05-20 5856 5932 5814 5902 678872
2016-05-23 5902 5930 5680 5738 874884
2016-05-24 5744 5842 5712 5806 675760
2016-05-25 5828 5848 5782 5828 499658
2016-05-26 5870 5934 5862 5922 599138
2016-05-27 5938 5958 5832 5890 571734
2016-05-30 5880 5994 5862 5984 521442
2016-05-31 6008 6020 5888 5890 550944
2016-06-01 5920 5956 5886 5914 510404
2016-06-02 5896 6024 5866 6016 602582
2016-06-03 6030 6118 6022 6118 663800
2016-06-06 6140 6184 6070 6174 495524
2016-06-07 6196 6240 6106 6232 656206
2016-06-08 6196 6224 6138 6168 531432
2016-06-13 6276 6280 6122 6132 473150
2016-06-14 6114 6172 6038 6076 557338
2016-06-15 6098 6122 5996 6000 507696
2016-06-16 6000 6032 5902 5912 528742
2016-06-17 5910 5952 5828 5946 566880
2016-06-20 5966 5986 5906 5944 486024
2016-06-21 5928 6044 5914 5958 694908
2016-06-22 5940 6030 5916 6012 432888
2016-06-23 5998 6054 5958 5988 488782
2016-06-24 6006 6034 5898 5910 590776
2016-06-27 5906 6044 5888 6034 413602
2016-06-28 6020 6130 6012 6100 619484
2016-06-29 6100 6142 6036 6072 490330
2016-06-30 6080 6166 6042 6162 577512
2016-07-01 6150 6296 6136 6226 765168
2016-07-04 6234 6470 6230 6390 1015202
2016-07-05 6420 6498 6126 6310 1035318
2016-07-06 6500 6514 6246 6246 422410
2016-07-07 6190 6210 6060 6112 521000
2016-07-08 6150 6200 6028 6106 401040
2016-07-11 6132 6232 6122 6192 310234
2016-07-12 6228 6234 6126 6172 324492
2016-07-13 6160 6320 6154 6280 415434
2016-07-14 6312 6340 6234 6328 423268
2016-07-15 6332 6354 6222 6302 476538
2016-07-18 6280 6346 6246 6282 601716
2016-07-19 6270 6284 6172 6224 601126
2016-07-20 6222 6336 6188 6324 646134
2016-07-21 6308 6352 6274 6288 778844
2016-07-22 6296 6318 6148 6182 710566
2016-07-25 6170 6190 6084 6128 542228
2016-07-26 6088 6112 6022 6088 557420
2016-07-27 6084 6132 6072 6084 463556
2016-07-28 6106 6118 6054 6064 521748
2016-07-29 6052 6108 6018 6036 649766
2016-08-01 6062 6178 6044 6154 604934
2016-08-02 6138 6166 6072 6124 511454
2016-08-03 6130 6172 6112 6156 567872
2016-08-04 6210 6218 6124 6178 575860
2016-08-05 6200 6204 6134 6136 545866
2016-08-08 6124 6210 6106 6196 558432
2016-08-09 6208 6272 6176 6254 558164
2016-08-10 6244 6278 6208 6226 446690
2016-08-11 6262 6274 6144 6148 550676
2016-08-12 6150 6214 6140 6204 504490
2016-08-15 6198 6368 6160 6342 837174
2016-08-16 6352 6390 6324 6376 661766
2016-08-17 6382 6416 6330 6382 588618
2016-08-18 6400 6468 6370 6418 823048
2016-08-19 6392 6446 6372 6416 538506
2016-08-22 6380 6442 6348 6354 512310
2016-08-23 6330 6390 6320 6372 370886
2016-08-24 6400 6444 6384 6418 516328
2016-08-25 6416 6420 6264 6326 715824
2016-08-26 6316 6324 6242 6280 456384
2016-08-29 6300 6320 6258 6276 404890
2016-08-30 6266 6314 6246 6290 410350
2016-08-31 6284 6322 6176 6186 654472
2016-09-01 6180 6204 6152 6180 374076
2016-09-02 6182 6236 6164 6196 450896
2016-09-05 6226 6296 6216 6264 546498
2016-09-06 6268 6340 6258 6322 454730
2016-09-07 6302 6318 6262 6284 434782
2016-09-08 6280 6308 6246 6296 462020
2016-09-09 6302 6348 6296 6342 519486
2016-09-12 6330 6336 6220 6224 496116
2016-09-13 6222 6262 6186 6260 514900
2016-09-14 6218 6222 6098 6106 543394
2016-09-19 6156 6218 6150 6206 267624
2016-09-20 6224 6394 6224 6380 1062300
2016-09-21 6358 6388 6330 6354 669088
2016-09-22 6338 6440 6326 6372 682972
2016-09-23 6400 6448 6360 6394 511508
2016-09-26 6360 6478 6352 6458 565816
2016-09-27 6454 6460 6342 6384 518184
2016-09-28 6348 6374 6294 6318 555188
2016-09-29 6290 6356 6272 6282 509340
2016-09-30 6282 6322 6250 6310 442128
2016-10-10 6298 6344 6262 6334 339394
2016-10-11 6320 6452 6316 6438 611290
2016-10-12 6446 6456 6362 6394 600766
2016-10-13 6410 6462 6302 6314 815948
2016-10-14 6320 6386 6238 6382 627662
2016-10-17 6376 6620 6376 6620 1348414
2016-10-18 6642 6666 6566 6624 815342
2016-10-19 6570 6718 6514 6686 952176
2016-10-20 6680 6738 6630 6630 859546
2016-10-21 6624 6664 6516 6572 826544
2016-10-24 6586 6718 6546 6714 721524
2016-10-25 6760 6880 6698 6710 1012550
2016-10-26 6710 6810 6682 6806 876254
2016-10-27 6810 6824 6710 6710 650130
2016-10-28 6706 6770 6666 6758 627524
