date open high low close volume
2016-01-04 13415 13450 13140 13165 167156
2016-01-05 13135 13345 13135 13335 238844
2016-01-06 13255 13300 13030 13070 382576
2016-01-07 13020 13120 12835 12885 454548
2016-01-08 12800 12965 12670 12885 574042
2016-01-11 12850 12960 12765 12840 413970
2016-01-12 12805 12865 12335 12375 534352
2016-01-13 12465 12535 12380 12490 477974
2016-01-14 12500 12675 12440 12620 496748
2016-01-15 12610 12810 12515 12530 609326
2016-01-18 12470 12775 12440 12690 500620
2016-01-19 12650 12880 12640 12830 495620
2016-01-20 12865 12875 12660 12720 397918
2016-01-21 12715 12760 12595 12625 396170
2016-01-22 12635 12865 12630 12785 402478
2016-01-25 12850 12890 12685 12760 273002
2016-01-26 12790 12840 12725 12795 274738
2016-01-27 12950 13140 12895 13095 468614
2016-01-28 13100 13100 12955 12980 358634
2016-01-29 12965 13085 12910 13080 280098
2016-02-01 13080 13210 13000 13140 245050
2016-02-02 13205 13365 13145 13340 189248
2016-02-03 13400 13510 13275 13490 243488
2016-02-04 13480 14010 13455 13945 386774
2016-02-05 13890 13970 13705 13835 258254
2016-02-15 13780 13960 13720 13815 165790
2016-02-16 13735 13830 13615 13660 310634
2016-02-17 13660 13720 13505 13555 288158
2016-02-18 13580 13650 13535 13615 255860
2016-02-19 13615 13960 13605 13915 425508
2016-02-22 13945 14285 13870 14220 446626
2016-02-23 14270 14320 14060 14140 461744
2016-02-24 14115 14125 13870 13955 434868
2016-02-25 13965 14360 13915 14070 602836
2016-02-26 14120 14140 13815 13945 666318
2016-02-29 13980 14235 13935 14050 647704
2016-03-01 14215 14215 13860 14100 352114
2016-03-02 14215 14430 14120 14370 395026
2016-03-03 14360 14480 14315 14420 495832
2016-03-04 14490 14680 14410 14480 627482
2016-03-07 14490 14785 14355 14420 1033434
2016-03-08 14485 14615 14165 14290 850516
2016-03-09 14355 14370 13785 14090 785172
2016-03-10 14190 14295 14030 14065 566740
2016-03-11 14095 14165 13985 14160 449450
2016-03-14 14115 14335 14100 14180 513666
2016-03-15 14200 14245 14025 14060 438642
2016-03-16 13990 14075 13825 13970 518388
2016-03-17 13930 14185 13920 14170 400660
2016-03-18 14185 14595 14170 14405 614274
2016-03-21 14460 14560 14290 14400 448350
2016-03-22 14450 14585 14400 14440 403238
2016-03-23 14445 14520 14355 14385 293180
2016-03-24 14385 14385 14180 14200 336172
2016-03-25 14120 14250 14060 14250 167050
2016-03-28 14285 14350 14205 14205 150100
2016-03-29 14265 14410 14125 14180 91728
2016-03-30 14250 14275 14080 14140 140428
2016-03-31 14140 14300 14075 14140 153372
2016-04-01 14200 14475 14155 14445 242164
2016-04-05 14380 14430 14345 14350 2290
2016-04-06 14390 14410 14220 14240 235568
2016-04-07 14200 14305 14160 14185 235488
2016-04-08 14050 14085 13900 13955 330896
2016-04-11 13980 14200 13965 14055 307442
2016-04-12 14020 14140 14015 14115 243594
2016-04-13 14280 14775 14235 14775 561464
2016-04-14 14810 15200 14740 14865 779818
2016-04-15 14980 15025 14760 14925 485822
2016-04-18 14900 15315 14815 14990 713690
2016-04-19 15200 15275 14945 15140 543140
2016-04-20 15170 15310 15030 15130 532926
2016-04-21 15200 15460 15040 15325 653826
2016-04-22 15420 15455 14825 15050 620886
2016-04-25 15100 15500 14965 15120 490190
2016-04-26 15080 15115 14775 14790 351856
2016-04-27 14910 15060 14805 14925 267814
2016-04-28 14985 15025 14790 14900 275844
2016-04-29 14930 15320 14890 15290 306392
2016-05-03 15250 15390 15155 15345 116524
2016-05-04 15180 15260 14900 14925 213356
2016-05-05 14960 15080 14885 14900 303390
2016-05-06 14955 15010 14715 14865 395974
2016-05-09 14850 15135 14650 14745 549774
2016-05-10 14780 14795 14515 14715 382792
2016-05-11 14700 14935 14630 14905 378172
2016-05-12 15030 15260 14940 15180 488800
2016-05-13 15180 15275 14730 15020 575576
2016-05-16 14950 15170 14925 15105 433922
2016-05-17 15060 15220 15005 15190 327140
2016-05-18 15115 15270 14955 15005 379444
2016-05-19 14990 15095 14905 14945 296070
2016-05-20 14865 15030 14805 15010 249428
2016-05-23 15070 15150 14740 14825 386476
2016-05-24 14775 14850 14445 14465 486502
2016-05-25 14595 14700 14490 14525 405952
2016-05-26 14630 14955 14575 14920 391056
2016-05-27 14950 15050 14810 15005 350080
2016-05-30 15070 15095 14950 15045 231786
2016-05-31 15060 15130 14920 15095 193010
2016-06-01 15185 15205 14920 14970 177388
2016-06-02 15000 15690 14935 15580 657278
2016-06-03 15580 15630 15365 15590 418406
2016-06-06 15700 15890 15580 15750 461252
2016-06-07 15800 15870 15630 15755 343848
2016-06-08 15705 15735 15475 15625 385858
2016-06-13 15890 16070 15760 15860 284918
2016-06-14 15895 15980 15690 15705 337120
2016-06-15 15650 15730 15555 15725 323680
2016-06-16 15830 15875 15540 15595 302736
2016-06-17 15590 15690 15380 15645 318696
2016-06-20 15530 15665 15460 15590 278240
2016-06-21 15600 15795 15550 15655 285762
2016-06-22 15600 15810 15535 15770 292744
2016-06-23 15810 15850 15690 15790 217906
2016-06-24 15765 15820 15460 15495 323172
2016-06-27 15525 15730 15500 15685 263356
2016-06-28 15620 15945 15550 15900 351896
2016-06-29 16010 16345 15975 16210 417438
2016-06-30 16200 16520 16140 16450 203890
2016-07-01 16445 16570 16300 16545 246792
2016-07-04 16565 16975 16530 16755 482648
2016-07-05 16740 16760 16320 16450 408016
2016-07-06 16570 16620 16270 16420 501674
2016-07-07 16220 16600 16130 16395 399630
2016-07-08 16430 16505 16250 16465 425202
2016-07-11 16580 16830 16480 16805 389136
2016-07-12 16780 16860 16650 16770 299680
2016-07-13 16980 17200 16860 16905 574996
2016-07-14 16970 17000 16795 16990 327256
2016-07-15 17000 17130 16855 17055 315914
2016-07-18 17160 17250 16845 16940 434324
2016-07-19 16985 17340 16945 17290 525210
2016-07-20 17300 17330 17100 17205 414656
2016-07-21 17075 17395 17000 17380 408666
2016-07-22 17385 17555 17270 17285 511672
