1,华泰期货,42153,-12225,永安期货,48425,1607,华泰期货,45091,-344,2016-10-18
2,海通期货,30850,-17169,中信期货,31090,186,中粮期货,43131,-204,2016-10-18
3,光大期货,22208,-9445,光大期货,31072,712,永安期货,32836,-134,2016-10-18
4,冠通期货,21007,-9396,华信万达期货,30907,318,华信万达期货,31804,-13,2016-10-18
5,中信期货,17316,-5271,中粮期货,28718,-1032,中信期货,26247,-310,2016-10-18
6,东海期货,16491,404,华泰期货,28160,-899,混沌天成期货,24057,320,2016-10-18
7,广发期货,14063,-8732,中信建投,24318,-7,申银万国,18485,85,2016-10-18
8,中银国际,13126,5087,金瑞期货,18938,419,浙商期货,18461,-332,2016-10-18
9,徽商期货,12342,-7130,国投安信期货,15650,837,光大期货,18385,-276,2016-10-18
10,国泰君安,12153,-5257,申银万国,15513,94,英大期货,18026,-35,2016-10-18
11,国海良时,11764,-5364,海通期货,13655,372,宝城期货,16631,50,2016-10-18
12,中辉期货,11651,-4751,广发期货,13141,152,国海良时,15887,84,2016-10-18
13,创元期货,11376,-4332,国泰君安,10237,-119,海通期货,15468,-418,2016-10-18
14,华信万达期货,11127,-5224,五矿经易期货,10127,43,国投安信期货,14525,-253,2016-10-18
15,金瑞期货,9086,-10349,建信期货,9848,-183,大地期货,13416,201,2016-10-18
16,东航期货,8648,-3357,大连良运,9482,0,东兴期货,11625,196,2016-10-18
17,铜冠金源,8555,-335,宏源期货,9009,213,招商期货,9043,-572,2016-10-18
18,上海东亚,8532,-2544,浙商期货,8170,786,宏源期货,7826,-100,2016-10-18
19,永安期货,7909,-9970,招商期货,8109,-1138,银河期货,7410,-23,2016-10-18
20,方正中期,7899,-3261,东航期货,8101,336,国泰君安,7192,-68,2016-10-18
