date open high low close volume
2016-05-04 5768 5861 5768 5851 90976
2016-05-05 5859 5873 5838 5862 72578
2016-05-06 5875 5885 5766 5803 88238
2016-05-09 5809 5826 5772 5785 80730
2016-05-10 5788 5829 5761 5821 103994
2016-05-11 5824 5828 5780 5812 85876
2016-05-12 5842 5922 5810 5878 188726
2016-05-13 5874 5889 5817 5860 130510
2016-05-16 5856 5885 5841 5878 103336
2016-05-17 5868 5885 5838 5849 82628
2016-05-18 5845 5848 5760 5763 178316
2016-05-19 5746 5799 5740 5752 74244
2016-05-20 5756 5784 5750 5750 85020
2016-05-23 5761 5832 5753 5827 185708
2016-05-24 5810 5818 5776 5779 68358
2016-05-25 5784 5795 5718 5749 133328
2016-05-26 5744 5813 5738 5806 88178
2016-05-27 5810 5842 5786 5814 67740
2016-05-30 5807 5860 5791 5856 89500
2016-05-31 5861 5882 5833 5877 80694
2016-06-01 5870 5878 5796 5815 85136
2016-06-02 5808 5828 5800 5820 36540
2016-06-03 5840 5971 5831 5967 223446
2016-06-06 5961 6047 5915 6042 316836
2016-06-07 6043 6043 5956 5976 223554
2016-06-08 6002 6016 5970 5977 152400
2016-06-13 6020 6128 6006 6070 214950
2016-06-14 6068 6098 6040 6060 190654
2016-06-15 6050 6060 5976 6028 223990
2016-06-16 6047 6114 6017 6043 333930
2016-06-17 6056 6099 6004 6097 270558
2016-06-20 6107 6176 6080 6110 414846
2016-06-21 6104 6129 6063 6079 202584
2016-06-22 6050 6077 6030 6074 179526
2016-06-23 6071 6096 6044 6052 198528
2016-06-24 6065 6071 5989 5992 271940
2016-06-27 5993 6097 5992 6073 196760
2016-06-28 6067 6164 6066 6136 258612
2016-06-29 6149 6172 6115 6141 204594
2016-06-30 6190 6394 6188 6377 578212
2016-07-01 6250 6356 6233 6271 401264
2016-07-04 6298 6458 6290 6372 479080
2016-07-05 6373 6385 6212 6308 372974
2016-07-06 6340 6387 6239 6318 496580
2016-07-07 6240 6308 6230 6245 314344
2016-07-08 6270 6284 6107 6132 501146
2016-07-11 6131 6206 6105 6185 276600
2016-07-12 6212 6350 6200 6318 454596
2016-07-13 6290 6308 6233 6285 352894
2016-07-14 6310 6351 6200 6248 325056
2016-07-15 6313 6320 6236 6265 258236
2016-07-18 6243 6257 6180 6220 239248
2016-07-19 6210 6300 6205 6280 420372
2016-07-20 6270 6288 6224 6247 297568
2016-07-21 6234 6260 6197 6245 241168
2016-07-22 6274 6310 6206 6216 500774
2016-07-25 6214 6248 6188 6228 296744
2016-07-26 6249 6282 6200 6233 445984
2016-07-27 6185 6218 6162 6190 446172
2016-07-28 6162 6202 6122 6124 562064
2016-07-29 6134 6156 6090 6105 615812
2016-08-01 6124 6187 6124 6157 495070
2016-08-02 6151 6192 6127 6134 449460
2016-08-03 6159 6176 6130 6136 445162
2016-08-04 6130 6163 6049 6070 814612
2016-08-05 6070 6131 6061 6103 534676
2016-08-08 6114 6177 6100 6151 578340
2016-08-09 6176 6191 6140 6152 380422
2016-05-04 5569 5647 5555 5637 1160782
2016-05-05 5641 5655 5622 5644 766260
2016-05-06 5657 5667 5556 5588 947732
2016-05-09 5595 5607 5542 5561 717704
2016-05-10 5555 5593 5535 5584 904290
2016-05-11 5590 5595 5549 5576 882128
2016-05-12 5605 5663 5579 5629 1229060
2016-05-13 5622 5631 5559 5583 875316
2016-05-16 5581 5603 5568 5582 695002
2016-05-17 5576 5599 5561 5569 608852
2016-05-18 5563 5576 5500 5505 1407574
2016-05-19 5497 5538 5484 5493 661138
2016-05-20 5515 5521 5475 5475 712072
2016-05-23 5489 5536 5464 5530 1119966
2016-05-24 5515 5525 5491 5497 510120
2016-05-25 5495 5508 5432 5471 1005048
2016-05-26 5465 5522 5460 5518 583378
2016-05-27 5528 5550 5502 5519 479996
2016-05-30 5516 5560 5503 5557 555842
2016-05-31 5558 5583 5533 5573 587866
2016-06-01 5567 5579 5500 5515 514372
2016-06-02 5513 5531 5507 5520 303086
2016-06-03 5538 5683 5532 5676 1243836
2016-06-06 5675 5732 5622 5724 1148220
2016-06-07 5716 5720 5652 5659 765546
2016-06-08 5682 5696 5659 5666 507536
2016-06-13 5700 5808 5688 5759 775136
2016-06-14 5763 5783 5730 5742 566254
2016-06-15 5730 5741 5663 5709 691694
2016-06-16 5722 5800 5700 5732 1135770
2016-06-17 5745 5784 5692 5781 887040
2016-06-20 5795 5864 5766 5833 1415938
2016-06-21 5828 5859 5801 5811 689472
2016-06-22 5781 5799 5757 5793 581282
2016-06-23 5790 5814 5762 5766 612490
2016-06-24 5778 5787 5701 5705 775476
2016-06-27 5700 5815 5700 5781 574230
2016-06-28 5777 5867 5775 5833 704630
2016-06-29 5850 5880 5819 5841 663472
2016-06-30 5883 6090 5883 6090 1571808
2016-07-01 6090 6095 5953 5984 1384552
2016-07-04 6010 6170 6005 6074 1539478
2016-07-05 6068 6088 5889 5978 924152
2016-07-06 6001 6064 5902 5971 1169134
2016-07-07 5900 5961 5881 5885 704970
2016-07-08 5903 5916 5758 5784 939852
2016-07-11 5785 5848 5755 5821 614046
2016-07-12 5850 5956 5833 5924 766158
2016-07-13 5900 5940 5847 5907 738184
2016-07-14 5930 5968 5819 5878 618678
2016-07-15 5938 5948 5860 5897 569010
2016-07-18 5879 5887 5811 5850 487106
2016-07-19 5840 5914 5836 5902 634520
2016-07-20 5893 5909 5835 5860 483650
2016-07-21 5840 5878 5818 5867 347172
2016-07-22 5892 5916 5806 5815 534404
2016-07-25 5817 5853 5789 5834 320992
2016-07-26 5851 5882 5808 5841 353250
2016-07-27 5800 5826 5771 5806 276406
2016-07-28 5780 5813 5742 5745 212942
2016-07-29 5750 5775 5720 5730 258402
2016-08-01 5747 5793 5745 5761 180374
2016-08-02 5755 5795 5734 5747 135282
2016-08-03 5764 5783 5745 5748 108394
2016-08-04 5744 5769 5664 5676 224460
2016-08-05 5680 5725 5667 5688 124082
2016-08-08 5697 5735 5668 5721 143670
2016-08-09 5740 5758 5700 5717 77536
