1,华信万达期货,59007,18897,混沌天成期货,102795,1179,华泰期货,70196,2484,2016-04-01
2,华泰期货,50437,5112,华泰期货,54246,-4165,中粮期货,70136,3169,2016-04-01
3,国泰君安,40274,7307,宏源期货,29882,124,永安期货,56500,-1749,2016-04-01
4,光大期货,39261,8475,国泰君安,29037,3581,光大期货,42232,907,2016-04-01
5,海通期货,31916,3003,中粮期货,28964,-1495,申银万国,29166,-516,2016-04-01
6,东海期货,31544,22995,永安期货,25450,3982,中信期货,28949,-1452,2016-04-01
7,中辉期货,27079,4916,一德期货,22356,-1238,国投期货,23278,344,2016-04-01
8,中信期货,26686,6957,海通期货,19309,3847,华信万达期货,20832,5246,2016-04-01
9,申银万国,23914,12873,华信万达期货,19279,925,宝城期货,18921,1189,2016-04-01
10,永安期货,22659,7820,光大期货,19237,-1008,宏源期货,16472,-267,2016-04-01
11,五矿经易期货,22442,4507,迈科期货,16149,91,国都期货,16439,-90,2016-04-01
12,铜冠金源,22257,13388,中信期货,15543,-392,浙商期货,16333,-847,2016-04-01
13,广发期货,21287,11826,瑞达期货,13989,1419,海通期货,15409,607,2016-04-01
14,中国国际,21001,9637,国富期货,13397,-358,金瑞期货,15210,-359,2016-04-01
15,混沌天成期货,18927,1994,兴证期货,13055,1270,英大期货,12479,448,2016-04-01
16,兴证期货,18342,8102,国联期货,11539,1572,中投天琪,12185,-54,2016-04-01
17,东证期货,18265,10765,东航期货,11109,796,东证期货,11383,2569,2016-04-01
18,平安期货,16650,11734,倍特期货,10144,-1511,五矿经易期货,10858,1081,2016-04-01
19,瑞达期货,15970,5980,广发期货,9935,-60,中国国际,10271,4408,2016-04-01
20,金瑞期货,15727,6645,浙商期货,9616,169,大地期货,9534,210,2016-04-01
