1,海通期货,18762,6566,永安期货,12129,3830,国投安信期货,34359,1945,2016-10-12
2,华泰期货,17744,7506,华信万达期货,8995,862,中粮期货,20280,635,2016-10-12
3,中原期货,15355,5841,中信期货,6056,691,华信万达期货,16029,2618,2016-10-12
4,东证期货,13046,7315,中投天琪,5788,2740,东证期货,8589,2343,2016-10-12
5,光大期货,11612,4704,国投安信期货,5620,214,光大期货,5872,125,2016-10-12
6,中信期货,10139,2141,格林大华期货,5442,-38,永安期货,5345,330,2016-10-12
7,永安期货,9450,5654,华泰期货,4997,1200,信达期货,4339,340,2016-10-12
8,东海期货,8169,1828,西部期货,4690,2465,银河期货,3618,25,2016-10-12
9,国投安信期货,8003,-794,方正中期,3856,-385,格林大华期货,3432,20,2016-10-12
10,华信万达期货,7716,5515,弘业期货,3171,341,中国国际,3312,238,2016-10-12
11,西部期货,7198,4873,东航期货,2993,-98,南证期货,3231,69,2016-10-12
12,南华期货,6490,1423,申银万国,2894,345,海通期货,2879,562,2016-10-12
13,东航期货,5588,1036,国海良时,2764,-1037,新湖期货,2825,-469,2016-10-12
14,国泰君安,5309,504,光大期货,2720,-137,中信期货,2464,-442,2016-10-12
15,冠通期货,4925,1589,华联期货,2563,-267,东吴期货,2084,0,2016-10-12
16,新湖期货,4899,-1139,信达期货,2386,227,西部期货,1885,1653,2016-10-12
17,广发期货,4878,2607,国泰君安,2358,-178,华泰期货,1819,-200,2016-10-12
18,瑞达期货,4645,-2200,中粮期货,2347,420,神华期货,1526,7,2016-10-12
19,申银万国,4597,2075,中国国际,2312,-429,广州期货,1230,255,2016-10-12
20,招商期货,4493,1353,东证期货,2180,373,首创期货,1210,-2,2016-10-12
