1,东海期货,40957,-38076,华泰期货,61914,-3526,永安期货,69786,-1130,2016-05-19
2,华泰期货,39201,-42767,中粮期货,47879,2674,华泰期货,64907,-1949,2016-05-19
3,海通期货,32592,-28872,光大期货,40026,473,中粮期货,35692,-5050,2016-05-19
4,华信万达期货,28233,-50898,华信万达期货,31388,131,申银万国,27037,220,2016-05-19
5,光大期货,27710,-32600,永安期货,30903,2512,中信期货,24042,-160,2016-05-19
6,广发期货,22986,-18214,中信期货,15598,1109,国投期货,21566,268,2016-05-19
7,永安期货,22774,-43574,中国国际,12338,831,宝城期货,20141,225,2016-05-19
8,中辉期货,22463,-2907,国都期货,11341,-46,英大期货,19703,-77,2016-05-19
9,五矿经易期货,20631,-12290,国泰君安,11081,-908,华信万达期货,15476,246,2016-05-19
10,中信期货,20069,-19520,中信建投,10044,-446,海通期货,15475,123,2016-05-19
11,金瑞期货,17970,-22820,徽商期货,8978,145,浙商期货,13323,-158,2016-05-19
12,国泰君安,16924,-18641,宏源期货,8831,-386,光大期货,13159,-817,2016-05-19
13,中国国际,16642,-7306,东证期货,8635,-70,宏源期货,13123,-4649,2016-05-19
14,徽商期货,15437,-20759,弘业期货,8364,975,东证期货,12893,2437,2016-05-19
15,中粮期货,14536,-12595,格林大华期货,8263,101,大地期货,11965,530,2016-05-19
16,平安期货,14252,-89,首创期货,7787,-7,中投天琪,9018,15,2016-05-19
17,申银万国,12756,-22466,国联期货,7535,1013,国泰君安,7233,36,2016-05-19
18,弘业期货,12457,-12370,建信期货,7373,-3,东兴期货,6711,-182,2016-05-19
19,宏源期货,12167,-5698,海通期货,7077,899,红塔期货,6684,-216,2016-05-19
20,东航期货,11084,-18472,广发期货,6368,-786,首创期货,6559,86,2016-05-19
